Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Psylliodes hyoscyami	10311	Psylliodes hyoscyami	Henbane Flea Beetle	Chrysomelidae	Coleoptera	32	CR(PE); NR	CR(PE); Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)									Psylliodes		hyoscyami		NBNSYS0000024972	NBNSYS0000024972	R	Taxon
Psylliodes laticollis	1325	Psylliodes laticollis		Chrysomelidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	herbivore	wetland	running water					Psylliodes		laticollis		NHMSYS0001744247	NHMSYS0020153240	R	Taxon
Psylliodes luridipennis	1326	Psylliodes luridipennis	Lundy Cabbage Flea Beetle	Chrysomelidae	Coleoptera	32	CR; NR; Section 41 Priority Species	CR; Nationally Rare; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	herbivore	herbivore	open habitats	short sward & bare ground	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry	F111		Coincya wrightii	Psylliodes		luridipennis		NBNSYS0000011324	NBNSYS0000011324	R	Taxon
Psylliodes luteola	1327	Psylliodes luteola		Chrysomelidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	herbivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer				Psylliodes		luteola		NBNSYS0000011325	NHMSYS0020153242	R	Taxon
Psylliodes marcida	1328	Psylliodes marcida		Chrysomelidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	herbivore	coastal	sandy beach	saline silt	M211		Cakile maritima	Psylliodes		marcida		NBNSYS0000011326	NBNSYS0000011326	R	Taxon
Psylliodes napi	1329	Psylliodes napi		Chrysomelidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	herbivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> variable humidity			Brassicaceae	Psylliodes		napi		NBNSYS0000011327	NHMSYS0020153243	R	Taxon
Psylliodes picina	1330	Psylliodes picina		Chrysomelidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> variable humidity			Asteraceae	Psylliodes		picina		NBNSYS0000011328	NBNSYS0000011328	R	Taxon
Psylliodes tricolor	1331	Psylliodes tricolor	Flixweed Leaf Beetle	Chrysomelidae	Coleoptera	16	EN; NR	EN; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	herbivore	open habitats	short sward & bare ground	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry	F111		Descurainia	Psylliodes		tricolor		NHMSYS0021366974	NHMSYS0021366974	R	Taxon
Psyllobora vigintiduopunctata	9021	Psyllobora vigintiduopunctata	22-spot Ladybird	Coccinellidae	Coleoptera	1				saprophagous	saprophagous	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> variable humidity				Psyllobora		vigintiduopunctata		NBNSYS0000008334	NBNSYS0000008334	R	Taxon
Pteleobius vittatus	9794	Pteleobius vittatus		Curculionidae	Coleoptera	1				xylophagous	unknown	tree-associated	decaying wood	bark & cambium >> beneath tight bark, conifer or broadleaved >> broadleaved only, dead trunks & branches >> freshly dead	A212		Fraxinus, Tilia, Ulmus	Pteleobius		vittatus		NBNSYS0000025536	NHMSYS0020153246	R	Taxon
Ptenidium brenskei	9070	Ptenidium brenskei		Ptiliidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	saprophagous	saprophagous	wetland	running water	exposed riverine sediments >> riparian shingle	W111	ERS (Coleoptera): 1		Ptenidium		brenskei		NBNSYS0000022867	NBNSYS0000022867	R	Taxon
Ptenidium fuscicorne	10608	Ptenidium fuscicorne		Ptiliidae	Coleoptera											Wadensee Saltmarsh fidelity index: hal-2		Ptenidium		fuscicorne		NBNSYS0000022869	NBNSYS0000022869	R	Taxon
Ptenidium gressneri	851	Ptenidium gressneri		Ptiliidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, heartrot >> decaying wood, heartrot >> hollow tree cavities, wet hollows >> rot holes, woodmould >> dry wood mould	A211	IEC: 2, IEC (older version): 2		Ptenidium		gressneri		NBNSYS0000022870	NBNSYS0000022870	R	Taxon
Ptenidium longicorne	9071	Ptenidium longicorne		Ptiliidae	Coleoptera	1				saprophagous	saprophagous	wetland	running water	exposed riverine sediments >> riparian sand	W122	ERS (Coleoptera): 1		Ptenidium		longicorne		NBNSYS0000022873	NBNSYS0000022873	R	Taxon
Ptenidium myrmicophilum	9855	Ptenidium myrmicophilum		Ptiliidae	Coleoptera	1				unknown	unknown	tree-associated	shaded woodland floor	woodland habitat >> woodland litter			Fagales	Ptenidium		myrmicophilum		NHMSYS0021439220	NHMSYS0021439220	R	Taxon
Ptenidium turgidum	852	Ptenidium turgidum		Ptiliidae	Coleoptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, heartrot >> decaying wood, heartrot >> hollow tree cavities, wet hollows >> rot holes, woodmould >> dry wood mould	A211	IEC: 2, IEC (older version): 2		Ptenidium		turgidum		NBNSYS0000022877	NBNSYS0000022877	R	Taxon
