Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Abax parallelepipedus	6903	Abax parallelepipedus		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	shaded woodland floor	shaded woodland floor	habitats >> sward/field layer, humidity >> damp, soil humidity >> damp, tree-associated >> shaded woodland floor				Abax		parallelepipedus		NBNSYS0000007302	NBNSYS0000007302	R	Taxon
Abax parallelus	10113	Abax parallelus		Carabidae	Coleoptera	1												Abax		parallelus		NBNSYS0000007303	NBNSYS0000007303	R	Taxon
Abdera affinis	822	Abdera affinis		Melandryidae	Coleoptera	32	RE	RE	IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies	A213		Betula	Abdera		affinis		NBNSYS0000024888	NBNSYS0000024888	R	Taxon
Abdera biflexuosa	823	Abdera biflexuosa		Melandryidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> aerial branches	A212	IEC: 1, IEC (older version): 1	Quercus	Abdera		biflexuosa		NBNSYS0000024889	NBNSYS0000024889	R	Taxon
Abdera flexuosa	824	Abdera flexuosa		Melandryidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies	A213		Alnus, Betula, Salix	Abdera		flexuosa		NBNSYS0000024890	NBNSYS0000024890	R	Taxon
Abdera quadrifasciata	825	Abdera quadrifasciata		Melandryidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> aerial branches	A212	IEC: 3, IEC (older version): 3	Quercus	Abdera		quadrifasciata		NBNSYS0000024891	NBNSYS0000024891	R	Taxon
Abida secale	2480	Abida secale	Large Chrysalis Snail	Chondrinidae	Pulmonata	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	herbivore	open habitats	short sward & bare ground	habitats >> litter & ground layer	F112		Fagales	Abida		secale		NBNSYS0000006678	NBNSYS0000006678	R	Taxon
Ablattaria laevigata	7492	Ablattaria laevigata		Silphidae	Coleoptera	1				predator	predator	open habitats	short sward & bare ground	habitats >> litter & ground layer, soil humidity >> dry		calcareous grassland: Moderate		Ablattaria		laevigata		NHMSYS0021366624	NHMSYS0021366624	R	Taxon
Abraeus granulum	7334	Abraeus granulum		Histeridae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, heartrot >> woodmould, wet hollows >> rot hole detritus	A211	IEC: 3, IEC (older version): 3	Fagales	Abraeus		granulum		NBNSYS0000022820	NBNSYS0000022820	R	Taxon
Abraeus perpusillus	7335	Abraeus perpusillus		Histeridae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, heartrot >> woodmould, wet hollows >> rot hole detritus	A211		Fagales	Abraeus		perpusillus		NHMSYS0001716357	NHMSYS0001716357	R	Taxon
Abraxas grossulariata	4244	Abraxas grossulariata	Magpie Moth	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Asteraceae, Fagales	Abraxas		grossulariata		NBNSYS0000005975	NBNSYS0000005975	R	Taxon
Abraxas pantaria	4245	Abraxas pantaria	Light Magpie	Geometridae	Lepidoptera	1				herbivore	nectivore							Abraxas		pantaria		NBNSYS0000005977	NBNSYS0000005977	R	Taxon
Abraxas sylvata	4246	Abraxas sylvata	Clouded Magpie	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only			Ulmus glabra	Abraxas		sylvata		NBNSYS0000005976	NBNSYS0000005976	R	Taxon
Abrostola tripartita	4720	Abrostola tripartita	Spectacle	Noctuidae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Urtica dioica	Abrostola		tripartita		NBNSYS0100001391	NBNSYS0100001391	R	Taxon
Abrostola triplasia	4721	Abrostola triplasia	Dark Spectacle	Noctuidae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Urtica dioica	Abrostola		triplasia		NBNSYS0000006555	NBNSYS0000006555	R	Taxon
Acalles misellus	9742	Acalles misellus		Curculionidae	Coleoptera	1				xylophagous	unknown	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> trunks & branches	A212		Hedera	Acalles		misellus		NBNSYS0000025282	NBNSYS0000025282	R	Taxon
Acalles ptinoides	9743	Acalles ptinoides		Curculionidae	Coleoptera	4	[Nb]	[Scarce]	[GB Rarity listing] (1)	xylophagous	unknown	tree-associated	decaying wood	conifer or broadleaved >> conifer only, dead trunks & branches >> trunks & branches	A212		Calluna, Quercus	Acalles		ptinoides		NBNSYS0000025283	NBNSYS0000025283	R	Taxon
Acalypta brunnea	12123	Acalypta brunnea		Tingidae	Hemiptera	1				herbivore		tree-associated	arboreal; decaying wood	epiphytes >> moss	A215		Plantae	Acalypta		brunnea		NBNSYS0000010029	NHMSYS0020308879	R	Taxon
Acalypta carinata	12124	Acalypta carinata		Tingidae	Hemiptera	1				herbivore		tree-associated	arboreal; decaying wood	epiphytes >> moss	A215	calcareous grassland: Moderate	Plantae	Acalypta		carinata		NBNSYS0000010030	NHMSYS0020308880	R	Taxon
Acalypta nigrina	2395	Acalypta nigrina		Tingidae	Hemiptera	1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> dry			Marchantiophyta	Acalypta		nigrina		NBNSYS0000010031	NHMSYS0020308881	R	Taxon
Acalypta parvula	2396	Acalypta parvula		Tingidae	Hemiptera	1				herbivore	herbivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: Low	Marchantiophyta	Acalypta		parvula		NBNSYS0000010032	NHMSYS0020308882	R	Taxon
Acalypta platycheila	2397	Acalypta platycheila		Tingidae	Hemiptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> damp	F001		Marchantiophyta	Acalypta		platycheila		NBNSYS0000010033	NHMSYS0020308883	R	Taxon
Acalyptus carpini	1338	Acalyptus carpini		Curculionidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	tree-associated	arboreal	canopy, carr/wet woodland, conifer or broadleaved >> broadleaved only, inflorescence >> flowers, buds & shoots, terrestrial aspect >> pupate in foliage on ground				Acalyptus		carpini		NBNSYS0000025483	NHMSYS0020151142	R	Taxon
Acanthinula aculeata	2544	Acanthinula aculeata	Prickly Snail	Valloniidae	Pulmonata	1				herbivore	herbivore	tree-associated	shaded woodland floor	base status >> base rich, conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat			Plantae	Acanthinula		aculeata		NBNSYS0000006687	NHMSYS0020528089	R	Taxon
Acanthiophilus helianthi	3184	Acanthiophilus helianthi		Tephritidae	Diptera	4	[Notable]	[Scarce]	[GB Rarity listing] (1)	herbivore	nectivore	open habitats	short sward & bare ground; tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Centaurea nigra sens. lat. (=nigra/debeauxii)	Acanthiophilus		helianthi		NBNSYS0000012930	NBNSYS0000012930	R	Taxon
Acanthocardia aculeata	12800	Acanthocardia aculeata	Spiny cockle	Cardiidae	Veneroida	8	NR (marine)	Nationally Rare (marine species)	GB Rarity listing (1)									Acanthocardia		aculeata		NBNSYS0000173547	NBNSYS0000173547	R	Taxon
Acanthocinus aedilis	9740	Acanthocinus aedilis	Timberman Beetle	Cerambycidae	Coleoptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	xylophagous	unknown	tree-associated	decaying wood	bark & cambium >> cambial layer, conifer or broadleaved >> conifer only, dead trunks & branches >> freshly dead	A212		Pinus	Acanthocinus		aedilis		NBNSYS0000011056	NBNSYS0000011056	R	Taxon
Acanthocnema glaucescens	11762	Acanthocnema glaucescens		Scathophagidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	predator		wetland	running water		W113		Trichoptera	Acanthocnema		glaucescens		NBNSYS0000030395	NBNSYS0000030395	R	Taxon
Acanthocnema nigrimana	11763	Acanthocnema nigrimana		Scathophagidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	predator		wetland	running water				Trichoptera	Acanthocnema		nigrimana		NBNSYS0000030394	NBNSYS0000030394	R	Taxon
Acanthodelphax denticauda	2079	Acanthodelphax denticauda		Delphacidae	Hemiptera	1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer				Acanthodelphax		denticauda		NHMSYS0020705529	NHMSYS0020705529	R	Taxon
Acanthopsyche atra	620	Acanthopsyche atra	Dusky Sweep	Psychidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	does not feed	open habitats	tall sward & scrub	habitats >> sward/field layer			Poaceae	Acanthopsyche		atra		NHMSYS0000500906	NHMSYS0000500906	R	Taxon
Acanthoscelides obtectus	10277	Acanthoscelides obtectus	Common Bean Weevil	Chrysomelidae	Coleoptera	1												Acanthoscelides		obtectus		NBNSYS0000011076	NBNSYS0000011076	R	Taxon
Acanthosoma haemorrhoidale	1787	Acanthosoma haemorrhoidale	Hawthorn Shieldbug	Acanthosomatidae	Hemiptera	1		LC	IUCN Threat listing (1)	herbivore	herbivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Crataegus	Acanthosoma		haemorrhoidale		NBNSYS0000009869	NHMSYS0020308885	R	Taxon
Acartauchenius scurrilis	6403	Acartauchenius scurrilis		Linyphiidae	Araneae	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> dry, soil type >> sand	F111		Tetramorium caespitum	Acartauchenius		scurrilis		NBNSYS0000009048	NBNSYS0000009048	R	Taxon
Acartophthalmus bicolor	10923	Acartophthalmus bicolor		Acartophthalmidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	fungivore		tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies			Plantae	Acartophthalmus		bicolor		NBNSYS0000029322	NBNSYS0000029322	R	Taxon
Acartophthalmus nigrinus	10924	Acartophthalmus nigrinus		Acartophthalmidae	Diptera	1				fungivore		tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies			Fagus	Acartophthalmus		nigrinus		NBNSYS0000029323	NBNSYS0000029323	R	Taxon
Acasis viretata	4247	Acasis viretata	Yellow-barred Brindle	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, foliage >> leaves and/or stems, inflorescence >> flowers, buds & shoots			Asteraceae, Fagales	Acasis		viretata		NHMSYS0021144153	NHMSYS0021144153	R	Taxon
Acentria ephemerella	3824	Acentria ephemerella	Water Veneer	Crambidae	Lepidoptera	1				herbivore	nectivore						Elodea canadensis	Acentria		ephemerella		NHMSYS0021143779	NHMSYS0021143779	R	Taxon
Acentrotypus brunnipes	1019	Acentrotypus brunnipes		Apionidae	Coleoptera	16	[RDB 1]	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	open habitats	short sward & bare ground	habitats >> exposed sand, habitats >> sward/field layer, soil humidity >> dry, soil type >> sand	F111		Filago vulgaris	Acentrotypus		brunnipes		NBNSYS0000025038	NBNSYS0000025038	R	Taxon
Acericerus vittifrons	1808	Acericerus vittifrons		Cicadellidae	Hemiptera	1				herbivore	herbivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer campestre	Acericerus		vittifrons		NHMSYS0020705647	NHMSYS0020705647	R	Taxon
Acetropis gimmerthalii	2225	Acetropis (Acetropis) gimmerthalii		Miridae	Hemiptera	1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> variable humidity			Asteraceae	Acetropis	Acetropis	gimmerthalii		NHMSYS0020920319	NHMSYS0020308889	R	Taxon
Achaeus cranchii	10906	Achaeus cranchii	Cranch's Spider Crab	Inachidae	Decapoda	8	NR (marine)	Nationally Rare (marine species)	GB Rarity listing (1)									Achaeus		cranchii		NBNSYS0000173566	NBNSYS0000173566	R	Taxon
Achalcus bimaculatus	8019	Achalcus bimaculatus		Dolichopodidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat, wetland vegetation	W314		Arthropoda	Achalcus		bimaculatus		NBNSYS0100001400	NBNSYS0100001400	R	Taxon
Achalcus britannicus	8020	Achalcus britannicus		Dolichopodidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat			Arthropoda	Achalcus		britannicus		NBNSYS0100001401	NBNSYS0100001401	R	Taxon
Achalcus cinereus	8021	Achalcus cinereus		Dolichopodidae	Diptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat			Arthropoda	Achalcus		cinereus		NBNSYS0000012747	NBNSYS0000012747	R	Taxon
Achalcus flavicollis	8022	Achalcus flavicollis		Dolichopodidae	Diptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat			Arthropoda	Achalcus		flavicollis		NBNSYS0000012748	NBNSYS0000012748	R	Taxon
Achalcus thalhammeri	8023	Achalcus thalhammeri		Dolichopodidae	Diptera	8	NR	LC; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat			Arthropoda	Achalcus		thalhammeri		NBNSYS0100001402	NBNSYS0100001402	R	Taxon
Achalcus vaillanti	8024	Achalcus vaillanti		Dolichopodidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat, wetland vegetation	W314		Arthropoda	Achalcus		vaillanti		NBNSYS0100001403	NBNSYS0100001403	R	Taxon
Achanthiptera rohrelliformis	5968	Achanthiptera rohrelliformis		Muscidae	Diptera	1				predator	phytosaprophagous	tree-associated	decaying wood; shaded woodland floor	conifer or broadleaved >> broadleaved only, nests >> wasp nests, shadiness >> light shade, wet hollows >> rot holes			Fagales, Plantae, Vespula	Achanthiptera		rohrelliformis		NBNSYS0000030708	NBNSYS0000030708	R	Taxon
Achenium depressum	7504	Achenium depressum		Staphylinidae	Coleoptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> variable humidity				Achenium		depressum		NBNSYS0000023366	NBNSYS0000023366	R	Taxon
Achenium humile	7505	Achenium humile		Staphylinidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> damp				Achenium		humile		NBNSYS0000023367	NBNSYS0000023367	R	Taxon
Acherontia atropos	5299	Acherontia atropos	Death's-head Hawk-moth	Sphingidae	Lepidoptera	1				herbivore	nectivore							Acherontia		atropos		NBNSYS0000006064	NBNSYS0000006064	R	Taxon
Achlya flavicornis	3917	Achlya flavicornis	Yellow Horned	Drepanidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, flowers (adult), honeydew & sap runs (adult) >> sap runs (adult)			Betula	Achlya		flavicornis		NBNSYS0000005732	NBNSYS0000005732	R	Taxon
Achyrolimonia decemmaculata	173	Achyrolimonia decemmaculata		Limoniidae	Diptera	1				saprophagous	does not feed	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> trunks & branches, fungal fruiting bodies	A212	coarse woody debris: c	Fagales	Achyrolimonia		decemmaculata		NBNSYS0100001404	NBNSYS0100001404	R	Taxon
Acicula fusca	8991	Acicula fusca	Point Snail	Aciculidae	Architaenioglossa	1		LC	IUCN Threat listing (1)	saprophagous	saprophagous	tree-associated	shaded woodland floor	base status >> base rich, conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter		seepage (woodland): B	Plantae	Acicula		fusca		NBNSYS0000006618	NBNSYS0000006618	R	Taxon
Acidia cognata	3185	Acidia cognata		Tephritidae	Diptera	1				herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> damp			Petasites	Acidia		cognata		NBNSYS0000012860	NBNSYS0000012860	R	Taxon
Acidota crenata	10645	Acidota crenata		Staphylinidae	Coleoptera	1						open habitats			F003			Acidota		crenata		NBNSYS0000023115	NHMSYS0001716360	R	Taxon
Acidota cruentata	7506	Acidota cruentata		Staphylinidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	predator	predator	open habitats	short sward & bare ground	habitats >> litter & ground layer				Acidota		cruentata		NBNSYS0000023116	NBNSYS0000023116	R	Taxon
Acilius canaliculatus	7198	Acilius canaliculatus		Dytiscidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		acid mire: B, grazing marsh - salinity: 0, grazing marsh - status: 4	Arthropoda	Acilius		canaliculatus		NBNSYS0000007625	NBNSYS0000007625	R	Taxon
Acilius sulcatus	7199	Acilius sulcatus		Dytiscidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda	Acilius		sulcatus		NBNSYS0000007626	NBNSYS0000007626	R	Taxon
Acinia corniculata	3186	Acinia corniculata		Tephritidae	Diptera	16	[RDB 1]	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Centaurea nigra sens. lat. (=nigra/debeauxii)	Acinia		corniculata		NBNSYS0000012900	NBNSYS0000012900	R	Taxon
Acleris abietana	5332	Acleris abietana	Perth Button	Tortricidae	Lepidoptera	4				herbivore	nectivore						Picea	Acleris		abietana		NHMSYS0021143078	NHMSYS0021143078	R	Taxon
Acleris aspersana	5333	Acleris aspersana	Ginger Button	Tortricidae	Lepidoptera	1				herbivore	nectivore						Asteraceae	Acleris		aspersana		NHMSYS0021143095	NHMSYS0021143095	R	Taxon
Acleris bergmanniana	5334	Acleris bergmanniana	Yellow Rose Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Rosa	Acleris		bergmanniana		NBNSYS0100001405	NBNSYS0100001405	R	Taxon
Acleris caledoniana	5335	Acleris caledoniana	Caledonian Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Asteraceae, Vaccinium myrtillus, Vaccinium vitis-idaea	Acleris		caledoniana		NBNSYS0000026556	NHMSYS0000500924	R	Taxon
Acleris comariana	5336	Acleris comariana	Strawberry Tortrix	Tortricidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Potentilla, Sanguisorba officinalis	Acleris		comariana		NHMSYS0000500925	NHMSYS0000500925	R	Taxon
Acleris cristana	5337	Acleris cristana	Tufted Button	Tortricidae	Lepidoptera	1				herbivore	nectivore						Crataegus, Prunus	Acleris		cristana		NHMSYS0021143093	NHMSYS0021143093	R	Taxon
Acleris effractana	5338	Acleris effractana		Tortricidae	Lepidoptera	1	Unknown			herbivore	nectivore						Salix cinerea, Salix purpurea	Acleris		effractana		NHMSYS0021143085	NHMSYS0021143085	R	Taxon
Acleris emargana	5339	Acleris emargana	Notch Wing Tortix	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only			Salix caprea	Acleris		emargana		NHMSYS0000500927	NHMSYS0000500927	R	Taxon
Acleris ferrugana	5340	Acleris ferrugana	Rusty Oak Button	Tortricidae	Lepidoptera	1				herbivore	nectivore						Quercus	Acleris		ferrugana		NHMSYS0021143099	NHMSYS0021143099	R	Taxon
Acleris forsskaleana	5341	Acleris forsskaleana	Maple Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer	Acleris		forsskaleana		NBNSYS0100001406	NBNSYS0100001406	R	Taxon
Acleris hastiana	5342	Acleris hastiana	Sallow Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Myrica gale, Rubus chamaemorus, Salix, Vaccinium myrtillus	Acleris		hastiana		NHMSYS0000500930	NHMSYS0000500930	R	Taxon
Acleris holmiana	5343	Acleris holmiana	White-triangle Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only			Crataegus, Malus	Acleris		holmiana		NBNSYS0100001407	NBNSYS0100001407	R	Taxon
Acleris hyemana	5344	Acleris hyemana	Heath Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Ericaceae, Vaccinium myrtillus	Acleris		hyemana		NHMSYS0000500931	NHMSYS0000500931	R	Taxon
Acleris kochiella	5345	Acleris kochiella	Elm Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Ulmus	Acleris		kochiella		NHMSYS0000500932	NHMSYS0000500932	R	Taxon
Acleris laterana	5346	Acleris laterana	Dark-triangle Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only			Potentilla, Rosa, Salix, Sanguisorba officinalis, Viburnum lantana	Acleris		laterana		NBNSYS0000026554	NHMSYS0000500933	R	Taxon
Acleris lipsiana	5347	Acleris lipsiana	Northern Button	Tortricidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore						Myrica gale, Vaccinium myrtillus	Acleris		lipsiana		NHMSYS0021143106	NHMSYS0021143106	R	Taxon
Acleris literana	5348	Acleris literana	Lichen Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Acleris		literana		NBNSYS0000026577	NHMSYS0000500936	R	Taxon
Acleris logiana	5349	Acleris logiana	Grey Birch Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only			Betula	Acleris		logiana		NHMSYS0000500937	NHMSYS0000500937	R	Taxon
Acleris lorquiniana	5350	Acleris lorquiniana	Marsh Button	Tortricidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Lythrum salicaria	Acleris		lorquiniana		NHMSYS0000500938	NHMSYS0000500938	R	Taxon
Acleris maccana	5351	Acleris maccana	Marbled Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	base status >> acidic, habitats >> sward/field layer			Myrica gale, Rubus chamaemorus, Vaccinium myrtillus	Acleris		maccana		NHMSYS0000500939	NHMSYS0000500939	R	Taxon
Acleris notana	5352	Acleris notana	Rusty Birch Button	Tortricidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only			Betula, Quercus	Acleris		notana		NHMSYS0000500940	NHMSYS0000500940	R	Taxon
Acleris permutana	5353	Acleris permutana	Buff Button	Tortricidae	Lepidoptera	8	pRDB 2	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer				Acleris		permutana		NHMSYS0000500941	NHMSYS0000500941	R	Taxon
Acleris rhombana	5354	Acleris rhombana	Rhomboid Tortrix	Tortricidae	Lepidoptera	1				herbivore	nectivore						Crataegus, Fagales	Acleris		rhombana		NHMSYS0021143081	NHMSYS0021143081	R	Taxon
Acleris rufana	5355	Acleris rufana	Sweet-gale Button	Tortricidae	Lepidoptera	1				herbivore	nectivore						Myrica gale	Acleris		rufana		NHMSYS0021143107	NHMSYS0021143107	R	Taxon
Acleris schalleriana	5356	Acleris schalleriana	Viburnum Button	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only			Betula, Myrica gale, Salix, Vaccinium myrtillus, Viburnum lantana	Acleris		schalleriana		NHMSYS0000500944	NHMSYS0000500944	R	Taxon
Acleris shepherdana	5357	Acleris shepherdana	Meadow-sweet Button	Tortricidae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Filipendula ulmaria	Acleris		shepherdana		NHMSYS0000500945	NHMSYS0000500945	R	Taxon
Acleris sparsana	5358	Acleris sparsana	Ashy Button	Tortricidae	Lepidoptera	1				herbivore	nectivore						Acer, Fagus	Acleris		sparsana		NHMSYS0021143079	NHMSYS0021143079	R	Taxon
Acleris umbrana	5359	Acleris umbrana	Dark-streaked Button	Tortricidae	Lepidoptera	4				herbivore	nectivore						Asteraceae, Myrica gale, Salix	Acleris		umbrana		NHMSYS0021143091	NHMSYS0021143091	R	Taxon
Acleris variegana	5360	Acleris variegana	Garden Rose Tortrix	Tortricidae	Lepidoptera	1				herbivore	nectivore						Rosa	Acleris		variegana		NHMSYS0021143094	NHMSYS0021143094	R	Taxon
Acletoxenus formosus	11164	Acletoxenus formosus		Drosophilidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)									Acletoxenus		formosus		NBNSYS0000029510	NBNSYS0000029510	R	Taxon
Aclypea opaca	1763	Aclypea opaca	Beet Carrion Beetle	Silphidae	Coleoptera	4	[Na]	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	open habitats					Amaranthaceae	Aclypea		opaca		NBNSYS0000023047	NBNSYS0000023047	R	Taxon
Aclypea undata	1764	Aclypea undata		Silphidae	Coleoptera	16	RDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	open habitats					Amaranthaceae	Aclypea		undata		NBNSYS0000023048	NHMSYS0001716367	R	Taxon
Acnemia amoena	11456	Acnemia amoena		Mycetophilidae	Diptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)									Acnemia		amoena		NBNSYS0000005500	NBNSYS0000005500	R	Taxon
