accession	scientific_name	tax_id
PX427690	Magnolia fordiana var. calcarea	2079597
PV600630	Evacanthus stigmatus	1978016
KF460436	Protobothrops xiangchengensis	313189
MF872228	Trachypithecus pileatus	164651
MF872230	Trachypithecus hatinhensis	867383
MF872232	Trachypithecus delacouri	465717
MK426281	Sicyopterus aiensis	325683
AF133701	Salmo salar	8030
AF346997	Homo sapiens	9606
AF346999	Homo sapiens	9606
AF347004	Homo sapiens	9606
AF348079	Echinosorex gymnura	162630
AF538716	Brugia malayi	6279
AY075116	Dugong dugon	29137
AY163547	Varroa destructor	109461
AY463155	Dermatobia hominis	115427
AY500368	Dictyota dichotoma	2876
AY863426	Chlorocebus aethiops	9534
DQ316068	Elephas maximus	9783
DQ333815	Batrachuperus pinchonii	156988
DQ355300	Rhinopithecus roxellana	61622
DQ645538	Zea perennis	4580
DQ780880	Falco sparverius	56350
DQ984518	Sorghum bicolor	4558
DQ991931	Chromodoris magnifica	262608
EF204913	Pleurotus ostreatus	5322
EF466060	Ammotragus lervia	9899
EF532934	Porphyrio hochstetteri	439704
EU068697	Dosidicus gigas	346249
EU137664	Deracantha onos	441219
EU237483	Halisarca dujardinii	2583056
EU237490	Xestospongia muta	178552
EU263919	Atractomorpha sinensis	244711
EU327344	Ursus spelaeus	39097
EU332749	Pungitius kaibarae	300318
EU332751	Cottus hangiongensis	290628
EU557091	Sousa chinensis	103600
EU557094	Delphinus capensis	103584
EU557095	Grampus griseus	83653
EU725864	Hemiphaga novaeseelandiae	262124
EU747728	Anolis carolinensis	28377
FJ006534	Budorcas taxicolor	37181
FJ168563	Leucocytozoon majoris	379413
FJ211845	Gillichthys mirabilis	8222
FJ360694	Sivaloka damnosus	568780
FJ469673	Naemorhedus caudatus	37173
FJ769841	Balearica regulorum	925459
FJ986223	Apostichopus japonicus	307972
GQ888713	Cooperia oncophora	27828
GU047878	Dendronephthya suensoni	151773
GU370125	Oreochromis aureus	47969
HM045017	Bison bonasus	9902
HM204705	Spilonota lechriaspis	768146
HM488008	Crocodylus johnstoni	184234
HM590866	Scylla serrata	6761
HQ335347	Anopheles deaneorum	58243
HQ890328	Anser fabalis	132587
JF293095	Simias concolor	170207
JF933905	Pleuragramma antarctica	101504
JN039362	Sesamia inferens	492764
JN089398	Crotaphatrema lamottei	1043697
JN607253	Koreocobitis rotundicaudata	457520
JN635562	Zeugodacus cucurbitae	28588
JN857943	Kallima inachus	311037
JN861748	Arachnocampa flava	270899
JQ026257	Pareuchiloglanis gracilicaudata	1128653
JQ071443	Chroicocephalus saundersi	1132478
JQ746035	Acanthopagrus schlegelii	72011
JQ782215	Ara glaucogularis	303304
JX144893	Homatula variegata	297507
JX144930	Porotermes adamsoni	105774
JX392983	Mobula japanica	495868
JX827260	Taeniurops meyeni	651724
JX901074	Petroica boodang	665151
KC107815	Upogebia pusilla	1267414
KC193578	Raphanus sativus	3726
KC333650	Mauremys sinensis	260630
KC407232	Emberiza pusilla	74588
KC433409	Papilio bianor	76199
KC768038	Ostrea lurida	627230
KC784951	Callicladium imponens	49762
KC831443	Eogystia hippophaecolus	1206364
KF176560	Rhodeus shitaiensis	1356016
KF192342	Hymeniacidon sinapium	364019
KF226725	Thraustotheca clavata	74557
KF371534	Rhinogobius similis	1263952
KF373560	Pampus echinogaster	163126
KF437906	Aix galericulata	8832
KF481953	Protostrongylus rufescens	321386
KF514425	Tachysurus albomarginatus	3119312
KF573749	Nematodirus spathiger	61841
KF626446	Rapisma xizangense	1419479
KF640234	Hemibarbus medius	328525
KF648508	Dipturus chilensis	2605608
KF649851	Cherax monticola	1421710
KF658071	Asiotmethis jubatus	286173
KF660603	Chabertia erschowi	1423137
KF667531	Aquatica leii	1421715
KF736848	Semisulcospira libertina	145882
KF751801	Pyrrhura rupicola	311900
KF756943	Eubasilissa regina	1435191
KF859738	Papilio bianor	76199
KF874277	Boleophthalmus boddarti	1282961
KF908880	Thitarodes pui	507567
KF926686	Cobitis elongatoides	166482
KF928796	Schizothorax plagiostomus	203117
KF990127	Hypolimnas bolina	76215
KF990128	Polyura nepenthes	213157
KJ020931	Lophius litulon	30790
KJ101556	Plectropomus leopardus	160734
KJ101608	Acerella muscorum	187596
KJ141168	Lamproptera curius	157394
KJ148629	Pyrgilauda blanfordi	667180
KJ174087	Chilo auricilius	236789
KJ184525	Syngnathoides biaculeatus	300417
KJ184526	Syngnathus schlegeli	103720
KJ184546	Schizopyge dolichonema	343525
KJ437166	Aleurocanthus spiniferus	593793
KJ507132	Gynaephora aureata	1499727
KJ507133	Gynaephora qinghaiensis	1499728
KJ531198	Atractosteus tropicus	512342
KJ545899	Anourosorex squamipes	127560
KJ546429	Amolops mantzorum	167930
KJ607173	Tegillarca granosa	220873
KJ612407	Homologenus malayensis	1505608
KJ623250	Maruca testulalis	311903
KJ627225	Lamprotula gottschei	1470580
KJ629164	Choaspes benjaminii	218724
KJ680292	Heterocentrotus mammillatus	31180
KJ680294	Tripneustes gratilla	7673
KJ680302	Pitta nympha	397308
KJ725201	Duncanopsammia peltata	2971088
KJ752724	Tribolium audax	188755
KJ754817	Armatobalanus allium	429428
KJ754934	Sipunculus nudus	6446
KJ789166	Riftia pachyptila	6426
KJ792087	Leiopelma hochstetteri	51644
KJ806318	Dysmicohermes ingens	1518963
KJ809086	Monochamus alternatus	192382
KJ815009	Empoasca vitis	436393
KJ872501	Ridgeia piscesae	27915
KJ874428	Carassius auratus	7957
KJ874440	Amaurornis phoenicurus	261959
KJ941041	Glandirana tientaiensis	121168
KM044501	Brontostoma colossus	1532881
KM067275	Sorex tundrensis	62287
KM192364	Panagrellus redivivus	6233
KM233417	Bos mutus	72004
KM244678	Dendrolimus spectabilis	155323
KM244730	Chrysomya pinguis	192730
KM257636	Coilia nasus	365059
KM287570	Sarcophaga portschinskyi	545360
KM362176	Spodoptera frugiperda	7108
KM377093	Epinephelus coioides	94232
KM386998	Helcystogramma macroscopa	1604231
KM405637	Macrotermes natalensis	315803
KM455570	Anser indicus	8846
KM488334	Ibacus ciliatus	125897
KM516103	Xenophysogobio nudicorpa	342434
KM605252	Katsuwonus pelamis	8226
KM654981	Oreochromis esculentus	40191
KM655841	Perna perna	94826
KM657337	Comicus campestris	62773
KM658172	Brachythemis contaminata	342759
KM670011	Angaracris rhodopa	267459
KM886569	Megaleporinus piavussu	1396868
KM986880	Decapterus macarellus	146143
KP015738	Acheilognathus imberbis	154350
KP025693	Eimeria flavescens	471277
KP091691	Nasutitermes corniger	52233
KP100300	Mytilus chilensis	173667
KP100655	Parnassius cephalus	213927
KP115292	Micrura ignea	328822
KP134337	Arnoglossus tenuis	366891
KP173664	Strigamia maritima	126957
KP207595	Eurydema gebleri	286707
KP218258	Pomacanthus xanthometopon	109715
KP231180	Cyclospora cayetanensis	88456
KP281293	Hypomesus olidus	240830
KP419933	Saxidomus purpurata	311201
KP688582	Amynthas gracilis	301145
KP698408	Asbolus verrucosus	1661398
KP716634	Naticarius hebraeus	488663
KP722042	Amazilia millerii	1665411
KP749836	Nephotettix cincticeps	94400
KP764764	Melibe leonina	76178
KP892753	Rhinogobius similis	1263952
KP938439	Platyzoanthus mussoides	2650389
KP965877	Genicanthus bellus	1156109
KR013226	Meriones libycus	298886
KR078257	Neuronema laminatum	1701416
KR149293	Paroedura picta	143630
KR154461	Tylototriton shanjing	356254
KR336555	Helice tientsinensis	72983
KR701907	Scorpaenopsis cirrosa	163120
KR703239	Hierodula membranacea	516493
KR827465	Propithecus tattersalli	30601
KT119343	Dryobates pubescens	118200
KT119344	Drosophila albomicans	7291
KT166983	Poecilia formosa	48698
KT213595	Triplophysa microps	1783477
KT223828	Cleisthenes herzensteini	244449
KT241024	Triplophysa dorsalis	1783473
KT290557	Fossorochromis rostratus	137271
KT337313	Populus tremula	113636
KT380884	Chrysoporthe deuterocubensis	764597
KT428616	Acrossocheilus beijiangensis	356814
KT751364	Hemibarbus labeo	328524
KT768206	Homo sapiens	9606
KT894672	Turnagra capensis	46906
KT897925	Priacanthus macracanthus	270572
KT906089	Claea dabryi	1173612
KT933000	Lagocephalus inermis	229056
KT949346	Telmatobius chusmisensis	1229843
KT966735	Triplophysa lixianensis	1783475
KT983411	Bagarius yarrelli	175774
KT991518	Gobio cynocephalus	328536
KU140665	Aulonocara stuartgranti	286572
KU158192	Ectopistes migratorius	187118
KU159761	Cyprinus carpio	7962
KU201315	Humbertiella nada	1848995
KU244260	Ctenochaetus striatus	175436
KU308378	Ostracion rhinorhynchos	586839
KU314697	Gobiobotia pappenheimi	1050842
KU323963	Rhinogobio typus	171529
KU341409	Chionodraco hamatus	36188
KU360510	Thryssa kammalensis	435230
KU365323	Hypselodoris festiva	1884254
KU530206	Coregonus chadary	591250
KU530212	Embiotoca jacksoni	100190
KU705762	Fringilla polatzeki	1896334
KU721838	Proscyllium habereri	263716
KU870465	Mystus cavasius	205132
KU873081	Pateobatis jenkinsii	334999
KU925864	Archichauliodes deceptor	1909206
KU955344	Thunnus atlanticus	48168
KX000893	Desmophyllum dianthus	703462
KX027361	Rhinotergum shaoguanense	1452699
KX061747	Cyprinodon diabolis	69136
KX087286	Elaphrus cupreus	48623
KX087299	Hygrotus nigrolineatus	878038
KX155573	Conus capitaneus	89439
KX156764	Hemilepidotus gilberti	238838
KX169165	Homalogaster paloniae	123221
KX229692	Poeciliopsis monacha	73161
KX244761	Culter alburnus	194366
KX371345	Pimelodus maculatus	466241
KX385011	Hydatophylax nigrovittatus	1310303
KX578033	Plenogemma phyllantha	67002
KX609386	Psalidodon paranae	1123824
KX644918	Darevskia unisexualis	254669
KX673195	Acrida cinerea	244713
KX688548	Sinotaia quadrata	200191
KX753639	Stolephorus commersonnii	529104
KX812499	Eophona personata	175948
KX831093	Napothera epilepidota	201358
KX831678	Picumnus innominatus	345731
KX882745	Apalone spinifera	55534
KX902242	Goura cristata	115654
KX902246	Columba rupestris	126356
KX908208	Apis laboriosa	183418
KX950699	Sperata aor	337642
KY021065	Xyrias revulsus	189512
KY067950	Cheilopogon cyanopterus	489441
KY111436	Squalus brevirostris	436290
KY115688	Halichoeres hartzfeldii	241292
KY224394	Microcerotermes newmani	377932
KY224422	Nasutitermes matangensis	114637
KY224423	Nasutitermes matangensis	114637
KY224433	Prohamitermes mirabilis	187558
KY224460	Macrotermes falciger	138606
KY224463	Tumulitermes recalvus	1934613
KY224483	Nasutitermes longipennis	286186
KY224504	Microtermes obesi	229718
KY224506	Trichotermes ducis	1934611
KY224549	Amitermes dentatus	229674
KY224614	Rubeotermes jheringi	1778934
KY230517	Glyptothorax cavia	199216
KY287652	Saccharomyces paradoxus	27291
KY358755	Prochilodus lineatus	27695
KY358756	Prochilodus harttii	1836193
KY364233	Mammut americanum	39053
KY419885	Emberiza sulphurata	504325
KY441640	Quasipaa boulengeri	120502
KY522907	Zelandoperla fenestrata	670197
KY552907	Caenorhabditis nouraguensis	1094327
KY559407	Eunicella albicans	2025590
KY609156	Mastacembelus armatus	205130
KY623656	Himantopus himantopus	225398
KY646153	Amphioctopus marginatus	505397
KY695463	Protobothrops kaulbacki	393198
KY697386	Baicalia turriformis	96609
KY697388	Maackia herderiana	577130
KY705231	Chelodina mccordi	904177
KY705236	Elseya branderhorsti	904186
KY766921	Tetraogallus tibetanus	267427
KY780365	Donax variegatus	1920007
KY856745	Callosobruchus analis	380381
KY962416	Tachysurus intermedius	342412
KY964441	Sardinella jussieu	435220
KY996503	Notamacropus irma	196387
LC431744	Naja kaouthia	8649
LN607806	Myrmica scabrinodis	207696
MF029664	Octopus variabilis	158018
MF043989	Meitanaphis elongallis	384841
MF078637	Macrostomum lignano	282301
MF100140	Ganisa cyanogrisea	2219247
MF143498	Myotis martiniquensis	385035
MF198247	Grapsus albolineatus	156079
MF326939	Cottus asper	214916
MF351856	Dictyla platyoma	2172477
MF374731	Petalonia binghamiae	698476
MF379622	Hymenopenaeus neptunus	2291891
MF579258	Misgurnus mizolepis	93600
MF615513	Ranacephala hogei	241399
MF924390	Channa gachua	33790
MF974243	Psilogramma increta	522873
MF990206	Platanista gangetica	118798
MG018480	Gymnogobius petschiliensis	262098
MG431962	Biomphalaria pfeifferi	112525
MG587041	Netuma thalassina	435128
MG655620	Theretra japonica	644662
MG701313	Sperchon plumifer	2047715
MG704921	Darevskia saxicola	122331
MG728094	Eucryptorrhynchus scrobiculatus	1552824
MG779499	Xizicus maculatus	2516859
MG812382	Spongiocaris panglao	1986577
MG954077	Toromys albiventris	2171663
MG989218	Allocarsidara bakeri	2218082
MH000150	Holbrookia lacerata	107380
MH000157	Holbrookia lacerata	107380
MH000184	Holbrookia lacerata	107380
MH048527	Semilabeo notabilis	369670
MH085447	Amphinemura yao	2605904
MH115428	Lambis lambis	387446
MH190825	Sinorhodeus microlepis	2507734
MH260572	Ectophylla alba	148036
MH281622	Renouxia sp.	2485823
MH285816	Pseudogastromyzon cheni	425489
MH311778	Hypomecis punctinalis	439567
MH332775	Glanycus foochowensis	2893908
MH510071	Scopura longa	2508260
MH593561	Neoeriocheir leptognathus	215781
MH603591	Striatobalanus amaryllis	1414657
MH621335	Fasciola gigantica	46835
MH638286	Trachys auricollis	2705174
MH678617	Paratrypauchen microcephalus	1054630
MH717075	Macrovipera schweizeri	110205
MH751436	Trigomphus carus	2588479
MH802052	Ovalipes punctatus	331408
MH844545	Guillardia theta	55529
MH879759	Sarcophaga dux	321200
MH923236	Pseudoperonospora humuli	162120
MH985707	Apostictopterus fuliginosus	2485974
MK069496	Bothrocara hollandi	153719
MK078261	Acipenser sinensis	61970
MK215645	Ampithoe lacertosa	429030
MK225553	Camponotus concavus	605056
MK246423	Bombyx mandarina	7092
MK279704	Hermissenda emurai	1840523
MK292091	Lamprigera yunnana	370605
MK318534	Bazzania tridens	588641
MK351784	Ara macao	176014
MK388868	Hyla sanchiangensis	1214520
MK390475	Phylloscopus tenellipes	56440
MK400676	Eremiaphila sp.	2910531
MK433193	Mammilla kurodai	2713604
MK478019	Glossaulax reiniana	2510774
MK496222	Ectomomyrmex javanus	2571052
MK516738	Nerita albicilla	52928
MK520870	Tullbergia bisetosa	345630
MK522808	Dolichovespula kuami	2901320
MK630237	Takydromus septentrionalis	80462
MK738125	Olidiana ritcheriina	1306428
MK775532	Hydrophis melanocephalus	34990
MK784208	Epiplatys dageti	1573755
MK903557	Atlanticus sinensis	420841
MK903589	Chorthippus nemus	2728155
MK905885	Tringa guttifer	2604440
MK953550	Hydrophis cyanocinctus	8686
MK993559	Amanita muscaria	41956
MK993563	Paxillus involutus	71150
MN076187	Radianthus crispa	3122430
MN083190	Sphingonotus menglaensis	2708009
MN096579	Hoplisoma sterbai	570940
MN145877	Sinocyclocheilus microphthalmus	307943
MN320449	Crocuta crocuta	9678
MN356153	Casuarius casuarius	8787
MN356157	Ardeotis kori	89386
MN356300	Spizaetus tyrannus	252798
MN356439	Agelaius phoeniceus	39638
MN402459	Ammocrypta beanii	255458
MN412705	Paragonimus westermani	34504
MN422094	Gymnodiptychus dybowskii	263535
MN487068	Neodon medogensis	2613867
MN487076	Eothenomys melanogaster	82468
MN536251	Hyperoodon ampullatus	48744
MN536284	Hyperoodon ampullatus	48744
MN536302	Hyperoodon ampullatus	48744
MN536363	Hyperoodon ampullatus	48744
MN611535	Lethe titania	2773214
MN661146	Paraprenanthes diversifolia	1400673
MN683736	Sesuvium portulacastrum	221166
MN715147	Anarta trifolii	987454
MN720440	Coragyps atratus	33614
MN832874	Oryzias uwai	1907133
MN832899	Hirundo nigrita	317154
MN841274	Tanakia lanceolata	80805
MN848144	Argya affinis	2183816
MN865118	Turdus cardis	36279
MN868244	Arborophila hyperythra	2691920
MN869009	Polypedates mutus	127175
MN978926	Bipolaris sorokiniana	45130
MT019333	Ophiocordycipitaceae sp.	1907519
MT036757	Fusarium graminearum	5518
MT047459	Macrohectopus branickii	65455
MT108721	Colochirus quadrangularis	1980634
MT133686	Scatoglyphus polytrematus	2711296
MT134100	Chinapotamon maolanense	2162625
MT230543	Neritina violacea	335530
MT242600	Nabis ferus	347965
MT362562	Littorina brevicula	45748
MT375016	Coniophora puteana	80637
MT447073	Trematomus loennbergii	40692
MT499330	Bryodema kozlovi	2768109
MT527723	Ilythea japonica	2830221
MT528240	Phallus indusiatus	146777
MT610041	Scyphiphora hydrophyllacea	86994
MT614593	Saturnia japonica	37778
MT679576	Apharyngostrigea pipientis	234879
MT762288	Upogebia major	479409
MT767744		948375
MT818506	Decapterus maruadsi	58220
MT898421	Pochazia shantungensis	2891616
MT903349	Scorpiops tibetanus	500600
MT916721	Oxytauchira brachyptera	2708015
MT917174	Anopheles funestus	62324
MT921986	Gleditsia sinensis	66096
MT935700	Xenolumpenus longipterus	1317009
MT938921	Paralimna concors	2818145
MW047075	Himantolophus groenlandicus	412657
MW085031	Eudiscopus denticulus	633651
MW122291	Trachemys scripta	34903
MW222471	Gromphadorhina portentosa	36953
MW284823	Aguriahana juglandis	2893140
MW284843	Paracyba sp.	2893160
MW291631	Collichthys lucidus	240159
MW309525	Thalamita danae	3069007
MW316287	Delphinapterus leucas	9749
MW322713	Gryllus veletis	51040
MW341221	Hypophthalmichthys nobilis	7965
MW365703	Gryllodes sigillatus	13551
MW369065	Gametis jucunda	1310345
MW387958	Triopha modesta	2729424
MW405441	Cryptotympana atrata	678702
MW411454	Diagramma pictum	556049
MW413901	Paralia sulcata	216927
MW429380	Crocidura tanakae	685768
MW526391	Comaster schlegelii	1529421
MW550301	Symplana lii	2886252
MW577182	Suinzona borowieci	2856062
MW699926	Daphnia mitsukuri	1969737
MW752082	Epinephelus coioides	94232
MW760156	Sinocentrus brevicornis	3038129
MW793907	Psephenothrips eriobotryae	2913602
MW893457	Dracogyra subfuscus	2038759
MW924656	Archips podanus	2655036
MZ008553	Amitermes deplanatus	2872426
MZ128286	Fopius arisanus	64838
MZ156058	Pelagophycus porra	50953
MZ329995	Neoniphon sammara	47706
MZ342779	Machla setosa	2720694
MZ440302	Eocanthecona furcellata	696902
MZ469138	Stichopus naso	574474
MZ532559	Rhagonycha tryznai	3027150
MZ571409	Athetis thoracica	1555421
MZ593724	Anas zonorhyncha	75864
MZ673800	Hierodula zhangi	2853946
MZ853163	Pseudogastromyzon cheni	425489
MZ921933	Luciocyprinus langsoni	2935523
MZ927092	Amerila alberti	1426860
OK094455	Cucullia pustulata	2561179
OK127888	Zeugodacus mukiae	1987762
OK189512	Mesembrius sp.	2980472
OK235307	Cosmia restituta	1418666
OK328170	Cheilopogon abei	938380
OK448489	Mitjaevia diana	2896844
OK484992	Volucella latifasciata	2992823
OK514182	Aragoa cleefii	193564
OK542390	Statilia maculata	64626
OK552681	Lamellomphalus manusensis	2013113
OK583894	Oregonichthys crameri	86926
OK623671	Gila coerulea	71751
OK623676	Siphateles bicolor	71773
OK637265	Salmo trutta	8032
OK646329	Creteuchiloglanis kamengensis	278781
OK649922	Anoplodactylus australis	2992006
OK945930	Catostomus snyderi	155217
OK945940	Perca flavescens	8167
OL339409	Ameiurus natalis	66912
OL415177	Aromia bungii	320466
OL471031	Rhinogobius brunneus	933223
OL471044	Teratoscincus przewalskii	52169
OL477723	Pimephales promelas	90988
OL693688	Xeruca formosensis	1647979
OL693866	Pomoxis nigromaculatus	8182
OL799325	Rhynchospora pubera	906938
OL825609	Gambusia affinis	33528
OL856093	Epinotia rubiginosana	1869858
OL874858	Romerolagus diazi	48089
OL944346	Dorcus rectus	231732
OM202514	Neolissochilus hendersoni	1620464
OM215185	Cerceris sp.	3051921
OM574631	Toona sinensis	443222
OM792983	Fannia canicularis	307205
ON109388	Scorpaena neglecta	1585513
ON183351	Anthrenus museorum	1553085
ON209112	Coilia nasus	365059
ON209201	Nevromus intimus	2021452
ON210290	Morimospasma sp.	3037789
ON227526	Pseudohemiculter hainanensis	531403
ON243766	Ogcogaster segmentator	2991725
ON316823	Microphysogobio chenhsienensis	1394518
ON321831	Epinephelus bilobatus	1550413
ON357694	Microphysogobio oujiangensis	2951145
ON357701	Microphysogobio hsinglungshanensis	3020502
ON357710	Microphysogobio vietnamica	3020508
ON510776	Idiocerus consimilis	3004243
ON585667	Zygometra comata	2797651
ON660871	Tabanus pleskei	632608
ON675447	Sargassum macrocarpum	74092
ON892510	Gobiobotia pappenheimi	1050842
ON892511	Gobiobotia filifer	172917
ON930432	Cannabis sativa	3483
ON943041	Einfeldia sp.	2995616
ON960182	Nectoneanthes uchiwa	2854026
OP066371	Dexistes rikuzenius	641117
OP123004	Megacopta cribraria	299257
OP123008	Megacopta cribraria	299257
OP132373	Rectoris luxiensis	291821
OP177679	Luzula sylvatica	59018
OP186040	Channa bleheri	304452
OP265098	Trapezia formosa	3022722
OP311587	Acropora digitifera	70779
OP311642	Meghimatium bilineatum	318265
OP414494	Mesyatsia karakorum	3111802
OP459298	Phthiridium szechuanum	2982585
OP464905	Phyllidiopsis shireenae	1881998
OP531920	Sciocoris lateralis	2984290
OP690160	Parnassius stubbendorfii	76190
OP870081	Antheraea polyphemus	7120
OP902493	Arma koreana	1603581
OP913456	Alcyonium digitatum	51768
OP920606	Sphyranura euryceae	2996394
OQ053436	Tachina punctocincta	3023801
OQ161098	Echinococcus canadensis	519352
OQ199576	Macaca mulatta	9544
OQ199604	Macaca mulatta	9544
OQ199646	Macaca mulatta	9544
OQ199652	Macaca mulatta	9544
OQ199670	Macaca mulatta	9544
OQ199705	Macaca mulatta	9544
OQ199723	Macaca mulatta	9544
OQ199726	Macaca mulatta	9544
OQ199743	Macaca mulatta	9544
OQ241412	Myrmeleomastax wideis	3034364
OQ363454	Chrysococcyx minutillus	196524
OQ472271	Oberthueria falcigera	1464637
OQ580986	Hoplisoma julii	927900
OQ696044	Coptodon camerunensis	1628151
OQ721878	Paranaspides lacustris	92001
OQ736932	Jacobsonina aliena	3037058
OQ736977	Sigmella digitalis	2744871
OQ763226	Cylas formicarius	197179
OQ763233	Cylas formicarius	197179
OR062426	Gergithus frontilongus	2733716
OR066427	Myrmeleotettix palpalis	573381
OR296460	Ribes nigrum	78511
OR346835	Cacopsylla melanoneura	428564
OR463910	Dendrodoris krusensternii	3032029
OR473611	Baeodon alleni	153295
OR500726	Pseudocoladenia festa	2585919
OR633238	Buniapone amblyops	613574
OR663911	Hevea spruceana	1318718
OR699290	Chrysopa formosa	417569
OR790197	Lepidotrigla kishinouyi	1522389
OR818399	Leptobotia elongata	143403
OR906199	Orbicella faveolata	48498
OR988131	Assiminea estuarina	2904674
PP072305	Corythucha ciliata	369451
PP175348	Homatula wuliangensis	759875
PP265275	Hoplobrotula armata	1604580
PP375289	Byasa confusa	3078925
PP389278	Austruca annulipes	196277
AF302933	Neoceratodus forsteri	7892
AF346984	Homo sapiens	9606
AF347011	Homo sapiens	9606
AF482987	Ictalurus punctatus	7998
AY074885	Arenaria interpres	54971
AY074886	Haematopus ater	185689
AY309455	Anseranas semipalmata	8851
AY347307	Talaromyces marneffei	37727
AY456250	Gegeneophis ramaswamii	194526
AY525783	Okamejei kenojei	432798
AY659993	Ambystoma andersoni	282260
AY714387	Carassius carassius	217509
AY762971	Pangasianodon gigas	30993
AY898626	Cranoglanis bouderius	175798
AY954505	Geotrypetes seraphini	260995
AY994157	Anisakis simplex	6269
DQ157222	Schistosoma haematobium	6185
DQ191826	Pantholops hodgsonii	59538
DQ353946	Crocodylus siamensis	68455
DQ536427	Iberochondrostoma lemmingii	77803
EF175763	Romanomermis nielseni	416167
EF536353	Syncerus caffer	9970
EF551002	Panthera pardus	9691
EF551004	Panthera uncia	29064
EU155210	Mammuthus primigenius	37349
EU237486	Iotrochota birotulata	283497
EU305669	Pseudomys chapmani	221128
EU349015	Parafronurus youi	490128
EU417810	Lophura nycthemera	9046
EU431224	Carica papaya	3649
EU591678	Ephemera orientalis	515277
EU647222	Gandalfus yunohana	585898
EU660217	Cricetulus griseus	10029
EU681954	Lama guanicoe	9840
EU719645	Acipenser sinensis	61970
EU861052	Branchiostegus japonicus	270562
EU877951	Chaetosoma scaritides	546502
FJ207526	Capra ibex	72542
FJ207527	Capra nubiana	72543
FJ422961	Sipunculus nudus	6446
FJ456948	Laccotrephes robustus	575834
FJ495086	Taenia multiceps	94034
FJ515917	Pseudopungtungia tenuicorpus	581200
FJ518620	Taenia hydatigena	85431
FJ555185	Onisimus nanseni	583350
FJ752427	Tragopan temminckii	9071
FJ785423	Plecturocebus donacophilus	230833
FJ827759	Scylla tranquebarica	85553
FJ841968	Saccostrea mordax	157729
FJ860267	Tachypleus tridentatus	6853
GQ292769	Oratosquilla oratoria	337810
GQ856147	Citrullus lanatus	3654
GU086203	Eunapius subterraneus	681720
GU475465	Triops longicaudatus	58777
GU573488	Ursus maritimus	29073
HF969008	Serinus canaria	9135
HG942172	Pastinachus ater	2338056
HM034867	Apodemus chejuensis	754351
HM126547	Euphaea formosa	476664
HM147136	Callorhinchus capensis	765184
HM235722	Alloeorhynchus bakeri	796621
HM243593	Ochlodes venata	797160
HM563681	Teinopalpus aureus	202796
HM583652	Euchorthippus fusigeniculatus	868577
HM640214	Leptotila verreauxi	135631
HM991331	Hymenochirus boettgeri	247094
HQ009761	Tetrancistrum nebulosi	879209
HQ130030	Bactrocera tryoni	59916
HQ215537	Solenopsis geminata	121131
HQ333255	Apodemus draco	129247
HQ452340	Choristoneura longicellana	928821
HQ645959	Sirthenea flavipes	941641
HQ694727	Echinogorgia complexa	986334
HQ833841	Tuarega ouarzazatensis	997597
HQ834451	Penelopides panini	175834
HQ875717	Siphluriscus chinensis	981053
JF439070	Argynnis hyperbius	405014
JF504707	Fabriciana nerippe	1004790
JF801742	Apatura metis	642990
JF825142	Porites okinawensis	627021
JF911715	Minimugil cascasia	1040955
JN242415	Ricania marginalis	1082597
JN367461	Wuchereria bancrofti	6293
JN399997	Elaphurus davidianus	43332
JN542716	Panulirus homarus	150425
JN606066	Leucophytia bidentata	999262
JN606067	Myosotella myosotis	252580
JN689221	Acetes chinensis	439396
JN710452	Oncicola luehei	1100885
JN827386	Gondogeneia antarctica	1109128
JN861747	Cramptonomyia spenceri	209689
JN869311	Oryx dammah	59534
JN897376	Austinogebia edulis	516884
JN991197	Procambarus clarkii	6728
JQ035657	Opaepele loihi	98080
JQ035660	Austinograea alayseae	1131899
JQ040802	Pseudois schaeferi	112503
JQ061319	Flustra foliacea	478208
JQ071620	Tachycineta albiventer	173223
JQ234674	Bunostomum trigonocephalum	66065
JQ290080	Dendrophyllia cribrosa	1140371
JQ343984	Mystus rhegma	1080460
JQ407802	Phyxioschema suthepium	1155482
JQ639069	Pseudorhombus cinnamoneus	171416
JQ743657	Petaurista alborufus	89094
JQ821836	Rhinopithecus brelichi	224329
JQ838172	Labeo catla	72446
JQ996232	Trichuris ovis	93034
JX065074	Gossypium hirsutum	3635
JX133087	Neophema chrysogaster	678581
JX499144	Pneumocystis murina	263815
JX516059	Agelasticus xanthophthalmus	1235644
JX519466	Neotetracus sinensis	977878
KC107808	Panulirus versicolor	150436
KC185405	Vertigo pusilla	1282417
KC196075	Amoya chusanensis	1285437
KC262636	Plectropomus areolatus	327818
KC554065	Pelotretis flavilatus	526618
KC572131	Timelaea maculata	378393
KC592391	Callimico goeldii	9495
KC688268	Hirudinaria manillensis	1348078
KC701385	Chanodichthys mongolicus	291816
KC709481	Homo sapiens	9606
KC710981	Prosadenoporus spectaculum	1332185
KC756280	Corythucha ciliata	369451
KC757128	Liobagrus marginatus	349546
KC757387	Avahi laniger	122246
KC757395	Eulemur rufus	859983
KC757396	Galago moholi	30609
KC757397	Hapalemur griseus	13557
KC757406	Papio anubis	9555
KC777291	Neophocaena phocaenoides	34892
KC847078	Palinurellus wieneckii	198231
KC865424	Leptobotia microphthalma	1347091
KC875855	Pygoscelis adeliae	9238
KC887530	Neocentrocnemis stali	888042
KC905169	Acipenser schrenckii	111304
