2026-01-24 22:53:48,667 - INFO - Starting JNCC annotation (v2 - using included_tvk_list)
2026-01-24 22:53:48,667 - INFO - UKSI input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_output.tsv
2026-01-24 22:53:48,667 - INFO - JNCC input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\20231206_jncc_conservation_designations_taxon_uksi_mapped.tsv
2026-01-24 22:53:48,668 - INFO - Output file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_jncc_annotated.tsv
2026-01-24 22:53:48,668 - INFO - Log file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_jncc_annotation.log
2026-01-24 22:53:48,669 - INFO - Loading JNCC conservation designations...
2026-01-24 22:53:48,770 - INFO - Loaded 15725 unique TVKs from JNCC file (from 14395 rows)
2026-01-24 22:53:48,770 - INFO - Processing UKSI species file...
2026-01-24 22:53:49,191 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000037: rows ['576', '577']
2026-01-24 22:53:49,191 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000142: rows ['348', '349']
2026-01-24 22:53:49,192 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000035: rows ['381', '382', '383']
2026-01-24 22:53:49,192 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000151: rows ['385', '386']
2026-01-24 22:53:49,192 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000030: rows ['518', '519']
2026-01-24 22:53:49,192 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000146: rows ['584', '585']
2026-01-24 22:53:49,192 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000145: rows ['586', '587', '588']
2026-01-24 22:53:49,192 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000032: rows ['637', '638']
2026-01-24 22:53:49,193 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000034: rows ['777', '778']
2026-01-24 22:53:49,194 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530308: rows ['455', '456']
2026-01-24 22:53:49,194 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530743: rows ['499', '500']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530420: rows ['560', '561']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530421: rows ['562', '563']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000172474: rows ['608', '609']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530376: rows ['524', '525']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000219: rows ['524', '526']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000220: rows ['524', '527']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0020695935: rows ['524', '528']
2026-01-24 22:53:49,195 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000218: rows ['524', '529']
2026-01-24 22:53:49,196 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530133: rows ['299', '300']
2026-01-24 22:53:49,196 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530139: rows ['303', '304']
2026-01-24 22:53:49,197 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530266: rows ['414', '415']
2026-01-24 22:53:49,197 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530289: rows ['440', '441', '442']
2026-01-24 22:53:49,197 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530374: rows ['522', '523']
2026-01-24 22:53:49,197 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530800: rows ['717', '718']
2026-01-24 22:53:49,197 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001688304: rows ['487', '488']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530247: rows ['407', '408']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021002985: rows ['431', '432']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530367: rows ['513', '514']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021004282: rows ['589', '590', '591']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021004297: rows ['592', '593']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530454: rows ['598', '599']
