For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act	included_tvk_list
flowering plant	Epipactis atrorubens	(Hoffm.) Besser		NBNSYS0000002294										RedList_ENG_post2001-LC,RedList_GB_post2001-LC				NS-excludes											NBNSYS0000002294
flowering plant	Epipactis dunensis	(T. & T.A. Stephenson) Godfery		NHMSYS0000458443										RedList_ENG_post2001-DD,RedList_GB_post2001-DD				NR-excludes											NHMSYS0000458443
flowering plant	Epipactis helleborine	(L.) Crantz		NBNSYS0000002289										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000002289
flowering plant	Epipactis leptochila	(Godfery) Godfery		NHMSYS0000458447										RedList_ENG_post2001-DD,RedList_GB_post2001-DD				NS-excludes			Scottish_Biodiversity_List								NHMSYS0000458447
flowering plant	Epipactis leptochila agg.	(Godfery) Godfery		NBNSYS0000002291										RedList_ENG_post2001-LC															NBNSYS0000002291
flowering plant	Epipactis palustris	(L.) Crantz		NHMSYS0000458452						ECCITES-B				RedList_ENG_post2001-NT,RedList_GB_post2001-LC							Scottish_Biodiversity_List				W(NI)O-Sch8_part1				NHMSYS0000458452
flowering plant	Epipactis phyllanthes	G.E. Sm.		NHMSYS0000458454						ECCITES-B				RedList_ENG_post2001-LC,RedList_GB_post2001-LC				NS-excludes					NI_Priority		W(NI)O-Sch8_part1				NHMSYS0000458454
flowering plant	Epipactis purpurata	Sm.		NHMSYS0000458456										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458456
flowering plant	Epipactis sancta	(P. Delforge) P. Delforge		NHMSYS0020110557										RedList_ENG_post2001-EN,RedList_GB_post2001-EN				NR-excludes	BAP-2007	England_NERC_S.41									NHMSYS0020110557
flowering plant	Epipactis youngiana	A.J. Richards & A.F. Porter		NHMSYS0000458462						ECCITES-B																			NHMSYS0000458462;NHMSYS0021875442
flowering plant	Epipogium aphyllum	Sw.		NBNSYS0000002295						ECCITES-B				RedList_ENG_post2001-CR,RedList_GB_post2001-CR										WACA-Sch8					NBNSYS0000002295
flowering plant	Erica ciliaris	L.		NBNSYS0000003907										RedList_ENG_post2001-LC,RedList_GB_post2001-LC				NR-excludes											NBNSYS0000003907
