Date Added,Status,Pest family,Pest Name,Common name or abbreviation,Type of pest,EU and EPPO listing,High levels of uncertainty associated with the risk scores for this pest,Key uncertainty,Potential impact of key uncertainty,Climate uncertainty,Potential impact of Climate uncertainty,Current Distribution uncertainty,Potential impact of Current Distribution uncertainty,UK Distribution uncertainty,Potential impact of UK Distribution uncertainty,Hosts uncertainty,Potential impact of Hosts uncertainty,Impact uncertainty,Potential impact of Impact uncertainty,Pathways uncertainty,Potential impact of Pathways uncertainty,Regulation uncertainty,Potential impact of Regulation uncertainty,Taxonomy uncertainty,Potential impact of Taxonomy uncertainty,Other uncertainty,Potential impact of Other uncertainty,Major Hosts,UK,Europe,Global Distribution,Pathways,Pathway Assessed for Entry to UK,Scenario for Risk Register,Likelihood,Impact ,Value at Risk,UK Relative Risk Rating (unmitigated),Regulation,Surveillance,Industry Scheme,Contingency plan,Awareness,Research,Likelihood,Impact ,UK Relative Risk Rating (mitigated),Regulation,Deregulation or reduced regulation,Management by Industry,Targeted Survey,PRA,Contingency Plan,Publicity,Research,Action,General Comments
11-May-15,Live,Acholeplasmataceae,'Candidatus Phytoplasma fraxini',Ash yellows,Phytoplasma,Provisional quarantine pest (Great Britain). Regulated quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,,,,,,Acacia melanoxylon; Croton; Eugenia; Fraxinus americana; Fraxinus angustifolia ssp. angustifolia; Fraxinus bungeana; Fraxinus excelsior; Fraxinus latifolia; Fraxinus nigra; Fraxinus ornus; Fraxinus quadrangulata; Fraxinus syriaca; Fraxinus tomentosa; Fraxinus uhdei; Fraxinus velutina; Gaultheria phillyreifolia; Liquidambar styraciflua; Magnolia grandiflora; Myrtus ugni; Paeonia; Pittosporum undulatum; Populus nigra; Prunus persica; Syringa diversifolia (S. x diversifolia); Syringa henryi (S. x henryi); Syringa josiflexa (S. x josiflexa); Syringa josikaea; Syringa komarowii; Syringa laciniata; Syringa meyeri; Syringa nanceiana ( s. x nanceiana); Syringa oblata; Syringa persica (S. x persica); Syringa pubescens; Syringa sweginzowii; Syringa tomentella; Syringa villosa; Syringa vulgaris; Syringa yunnanensis; Vitis vinifera; Fraxinus pennsylvanica; Quercus humboldtii,Absent,Italy,Canada; United States; Chile; Colombia,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,4,5,60,Temporary prohibiton pending PRA on some hosts. Regulated quarantine pest (Northern Ireland). Provisional quarantine pest (Great Britain).,,,,,,2,4,40,Y,,,,,,,,Statutory action on findings. ,Pathogen causing phytoplasma disease of certain tree species in the Americas.  Regulation of hosts already provides some mitigation; but further regulation could be considered to include Syringa.
26-May-22,Live,Acholeplasmataceae,'Candidatus Phytoplasma hispanicum' (Mexican periwinkle virescence phytoplasma),,Phytoplasma,Regulated quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,,,,,,Brassica oleracea; Carica papaya; Catharanthus roseus; Celosia argentea; Fragaria; Ipomoea batatas; Opuntia ficus-indica; Solanum tuberosum,Absent,,Canada; Mexico; United States; Argentina; Brazil; Chile; New Caledonia; Japan,,,,,,,,Regulated quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,Statutory action,The Risk Register entry for this pest is extremely incomplete and it cannot be compared with other pests on the Risk Register at the current time. As this pest is listed in the legislation; we are making available the information we have gathered on the pest so far. We will add new information to this pest entry in due course. 
08-Oct-13,Live,Acholeplasmataceae,'Candidatus Phytoplasma mali',Phytoplasma mali; Proliferation of apple; Witches broom of apple,Phytoplasma,Regulated quarantine pest (Great Britain). Regulated non quarantine pest (Northern Ireland). EPPO A2,,,,,,,,,,,,,,,,,,,,,,Dahlia; Forsythia suspensa; Lilium hybrids; Malus; Malus domestica; Prunus avium; Prunus cerasus; Pyrus pyraster; Spiraea x vanhouttei; Viburnum lantana,Absent,Albania; Austria; Bosnia-Herzegovina; Belgium; Bulgaria; Belarus; Switzerland; Czech Republic; Germany; Spain; Finland; France; Greece; Croatia; Hungary; Italy; Luxembourg; Moldova; Netherlands; Poland; Romania; Serbia; Russia; Slovenia; Slovakia; T�rkiye; Ukraine,Canada,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,4,4,4,64,Regulated quarantine pest (Great Britain). Northern Ireland: Regulated non quarantine pest,,Industry accreditation scheme,,,,3,4,48,,,,,,,,,Statutory action on findings in Great Britain; statutory action on specified hosts in Northern Ireland,Phytoplasma which causes apple proliferation disease in Europe.
15-Jul-22,Live,Acholeplasmataceae,'Candidatus Phytoplasma noviguineense',,Phytoplasma,Regulated quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,,,,,,Cocos nucifera; Musa,Absent,,Papua New Guinea,,,,,,,,Regulated quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,Statutory action (Northern Ireland),The Risk Register entry for this pest is extremely incomplete and it cannot be compared with other pests on the Risk Register at the current time. As this pest is listed in the legislation; we are making available the information we have gathered on the pest so far. We will add new information to this pest entry in due course. 
08-Oct-13,Live,Acholeplasmataceae,'Candidatus Phytoplasma palmae',Awka disease of coconut; Bronze leaf wilt of coconut; Cape St Paul wilt of coconut; Kaincope disease of coconut; Kribi disease of coconut; Lethal yellowing of coconut,Phytoplasma,Regulated quarantine pest (Northern Ireland). EPPO A1,,,,,,,,,,,,,,,,,,,,,,Cocos; Cocos nucifera; Palmae; Phoenix; Phoenix canariensis; Phoenix dactylifera; Arecaceae (family),Absent,,Mexico; United States; Mozambique; Antigua and Barbuda; Belize; Cuba; Dominican Republic; Guatemala; Honduras; Haiti; Jamaica; Saint Kitts and Nevis; Cayman Islands,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced with vector or finds vector,1,2,2,4,Regulated quarantine pest (Northern Ireland),,,,,,1,2,4,,,,,,,,,Statutory action against findings in Northern Ireland. No statutory action in Great Britain.,Primarily a phytoplasma pest of coconut; but can also cause the disease and death of Phoenix palms.
22-Aug-16,Live,Acholeplasmataceae,'Candidatus Phytoplasma phoenicium',Phytoplasma disease of almond,Phytoplasma,Regulated quarantine pest. EPPO A1,,,,,,,,,,,,,,,,,,,,,,Anthemis; Prunus amygdalo-persica (P. x amygdalo-persica); Prunus armeniaca; Prunus domestica ssp. italica; Prunus dulcis; Prunus persica; Prunus persica var. nucipersica; Prunus scoparia; Smilax aspera,Absent,T�rkiye,Iran; Jordan; Lebanon,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,2,4,1,8,Regulated quarantine pest (GB &amp; NI),,,,,,2,4,8,,,,,,,,,Statutory action against findings ,Phytoplasma causing substantial damage to peach; nectarine and almond trees in Iran and Lebanon.  Limited risk of introduction to the UK due to low import volumes of hosts from affected countries and current regulations; but statutory action would be taken against findings.
18-Feb-16,Live - Archived,Acholeplasmataceae,'Candidatus Phytoplasma pini',Pine shoot proliferation; pine witches'-broom,Phytoplasma,,,,,,,,,,,,,,,,,,,,,,,Abies procera; Picea pungens; Pinus halepensis; Pinus mugo; Pinus nigra; Pinus sylvestris; Pinus yunnanensis; Tsuga canadensis; Taxodium distichum,Absent,Czech Republic; Spain; Croatia; Lithuania; Poland,China,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,4,1,5,20,,,,,,,4,1,20,,,,,,,,,No statutory action against findings.,Phytoplasma which causes witches? broom of pine; present in several European countries; where significant damage has not been observed.
08-Oct-13,Live,Acholeplasmataceae,'Candidatus Phytoplasma pruni',Albino disease of cherry; Buckskin of cherry; Cherry buckskin; Leaf casting yellows of peach; X disease of peach; Yellow leafroll of peach,Phytoplasma,Regulated quarantine pest (Great Britain); regulated non quarantine pest (Northern Ireland). EPPO A1,,,,,,,,,,,,,,,,,,,,,,Fragaria; Malus domestica; Prunus; Prunus armeniaca; Prunus avium; Prunus cerasus; Prunus domestica; Prunus dulcis var. dulcis; Prunus persica; Prunus salicina; Prunus virginiana; Vaccinium,Absent,,Canada; United States; Argentina,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,3,3,27,Regulated quarantine pest (Great Britain); Northern Ireland: RNQP,,Industry accreditation scheme,,,,2,3,18,,,,,,,,,Statutory action against findings in Great Britain. Statutory action on specified hosts in Northern Ireland.,Predominantly a pest of peaches in North America. Prunus spp. grown on black cherry rootstock are potentially the most at risk hosts in the UK. However the UK grower practice is not to use this species and in addition to the current legislation effectively mitigates the risk to the UK.
08-Oct-13,Live,Acholeplasmataceae,'Candidatus Phytoplasma prunorum',Chlorotic leafroll of apricot; Chlorotic leafroll of nectarine; Chlorotic leafroll of peach; Decline of Japanese plum; Decline of peach; Dieback of apricot; European stone fruit yellows; European yellows of peach; Italian rosette of peach; Leptonecrosis of plum; Moli�res disease of cherry; Vein clearing of peach; Vein enlargement of peach,Phytoplasma,Regulated quarantine pest (Great Britain); regulated non quarantine pest (Northern Ireland).,,Distribution and migratory behaviour of the vector in the UK,,,,Pest could be present in the UK on less susceptible host species/cultivars,,Pest could have entered on less susceptible host species/cultivars,,,,Cultivars confuse the observed severity of impacts on different Prunus species,,Pest could be entering on less susceptible host species/cultivars,,,,Variation in virulence amongst strains,,,,Convolvulus arvensis; Cynodon dactylon; Malus domestica; Prunus; Prunus armeniaca; Prunus avium; Prunus cerasifera; Prunus cerasus; Prunus domestica; Prunus dulcis; Prunus mahaleb; Prunus persica; Prunus salicina; Prunus spinosa,Present (Limited),Albania; Austria; Bosnia-Herzegovina; Belgium; Bulgaria; Belarus; Switzerland; Czech Republic; Germany; Spain; Greece; Hungary; Italy; Poland; Romania; Serbia; Slovenia; Slovakia; T�rkiye,Egypt; Tunisia; Azerbaijan,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest spreads to maximum extent,4,5,3,60,Regulated quarantine pest (Great Britain); Northern Ireland: Regulated non quarantine pest,,England and Wales Fruit Propagation Certification Scheme,,UK local or industry awareness,Targeted EU or international projects only,2,5,30,,,,,,,,,Statutory action against interceptions and outbreaks in Great Britain. Statutory action on specified hosts in Northern Ireland.,Causal agent of European stone fruit yellows disease present at one site in England where control is ongoing.
08-Oct-13,Live,Acholeplasmataceae,'Candidatus Phytoplasma pyri' on dessert pears,Decline of pear; Leaf curl of pear; Moria disease of pear; Parry's disease of pear; PD; Pear leaf curl,Phytoplasma,Regulated non quarantine pest. EPPO A2,,,,,,,,,,,,,,,,,,,,,,Cydonia oblonga; Prunus dulcis; Prunus persica; Pyrus; Pyrus betulifolia; Pyrus calleryana; Pyrus communis; Pyrus pyraster; Pyrus pyrifolia var. culta; Pyrus ussuriensis,Present (Limited),Albania; Austria; Bosnia-Herzegovina; Belgium; Bulgaria; Switzerland; Czech Republic; Germany; Spain; France; Greece; Croatia; Hungary; Italy; Luxembourg; Moldova; Netherlands; Norway; Poland; Portugal; Serbia; Slovenia; Slovakia; T�rkiye,Canada; United States; Argentina; Chile; Libya; Tunisia; Azerbaijan; Israel; Iran; Jordan; Lebanon,Plants for planting (except seeds bulbs and tubers),,Pest spreads to maximum extent,2,3,2,12,Regulated non quarantine pest,,Industry accreditation scheme,,UK local or industry awareness,Targeted EU or international projects only,2,3,12,,,,,,,,,Statutory action in line with legislation,Phytoplasma pest of pears; already present in the UK with its vector. Industry may want to review their management practices.
