row	taxon_name	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	original list	synonyms
343	Anastrepha furcata	Anastrepha furcata Lima, 1934	1624991	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha furcata	genus	
344	Anastrepha fuscata	Anastrepha fuscata Norrbom & Korytkowski, 2009	11847595	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha fuscata	genus	
345	Anastrepha fuscicauda	Anastrepha fuscicauda Norrbom & Korytkowski, 2007	1625198	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha fuscicauda	genus	
346	Anastrepha fuscoalata	Anastrepha fuscoalata Norrbom, 2021	11691372	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha fuscoalata	genus	
347	Anastrepha galbina	Anastrepha galbina Stone, 1942	1625245	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha galbina	genus	
348	Anastrepha gangadini	Anastrepha gangadini Norrbom, 2021	11560902	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha gangadini	genus	
349	Anastrepha gigantea	Anastrepha gigantea Stone, 1942	1625106	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha gigantea	genus	
350	Anastrepha glochin	Anastrepha glochin Uramoto & Zucchi, 2010	8339284	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha glochin	genus	
351	Anastrepha gonzalezi	Anastrepha gonzalezi Norrbom, 2015	10878235	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha gonzalezi	genus	
352	Anastrepha grandicarina	Anastrepha grandicarina Norrbom & Korytkowski, 2012	8568658	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha grandicarina	genus	
353	Anastrepha grandicula	Anastrepha grandicula Norrbom, 1991	1625243	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha grandicula	genus	
354	Anastrepha grandis	Anastrepha grandis (Macquart, 1846)	1625200	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha grandis	genus	
355	Anastrepha greenei	Anastrepha greenei Lima, 1937	1625111	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha greenei	genus	
356	Anastrepha guevarai	Anastrepha guevarai Norrbom, 2015	11163478	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha guevarai	genus	
357	Anastrepha guianae	Anastrepha guianae Stone, 1942	1625008	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha guianae	genus	
358	Anastrepha gusi	Anastrepha gusi Norrbom, 2015	11143299	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha gusi	genus	
359	Anastrepha hadracantha	Anastrepha hadracantha	8599114	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha hadracantha	genus	
360	Anastrepha hadropickeli	Anastrepha Schiner, 1868	1624988	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha		genus	
361	Anastrepha hamadryas	Anastrepha hamadryas (Stone, 1939)	1625147	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha hamadryas	genus	
362	Anastrepha hamata	Anastrepha hamata (Loew, 1873)	1625027	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha hamata	genus	
363	Anastrepha hambletoni	Anastrepha hambletoni Lima, 1934	1625048	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha hambletoni	genus	
364	Anastrepha handracantha	Anastrepha handracantha Norrbom & Korytkowski, 2012	11717514	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha handracantha	genus	
365	Anastrepha haplacantha	Anastrepha haplacantha Norrbom & Korytkowski, 2012	8474169	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha haplacantha	genus	
366	Anastrepha hastata	Anastrepha hastata Stone, 1942	1625002	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha hastata	genus	
367	Anastrepha haywardi	Anastrepha haywardi Blanchard, 1937	1625025	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha haywardi	genus	
368	Anastrepha hermosa	Anastrepha hermosa Norrbom, 1988	1625203	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha hermosa	genus	
369	Anastrepha hyperacantha	Anastrepha hyperacantha Norrbom & Korytkowski, 2012	8598527	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha hyperacantha	genus	
370	Anastrepha inaequalis	Anastrepha inaequalis Norrbom & Korytkowski, 2012	8682665	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha inaequalis	genus	
371	Anastrepha insulae	Anastrepha insulae Stone, 1942	1625103	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha insulae	genus	
372	Anastrepha integra	Anastrepha integra (Loew, 1873)	1625057	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha integra	genus	
373	Anastrepha intermedia	Anastrepha intermedia Norrbom & Korytkowski, 2012	8629849	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha intermedia	genus	
374	Anastrepha interrupta	Anastrepha interrupta Stone, 1942	1625206	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha interrupta	genus	
375	Anastrepha irradiata	Anastrepha irradiata Blanchard, 1961	1625225	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha irradiata	genus	
376	Anastrepha irretita	Anastrepha irretita Stone, 1942	1625100	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha irretita	genus	
377	Anastrepha isolata	Anastrepha isolata Norrbom & Korytkowski, 2009	7723621	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha isolata	genus	
378	Anastrepha jamaicensis	Anastrepha jamaicensis Norrbom & Korytkowski, 2009	11883514	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha jamaicensis	genus	
379	Anastrepha juxtalanceola	Anastrepha juxtalanceola Norrbom, 2021	11542435	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha juxtalanceola	genus	
380	Anastrepha katiyari	Anastrepha katiyari Norrbom, 1998	1625026	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha katiyari	genus	
381	Anastrepha kimi	Anastrepha kimi Norrbom, 2015	11118754	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha kimi	genus	
382	Anastrepha korytkowskii	Anastrepha korytkowskii Norrbom, 2015	10533318	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha korytkowskii	genus	
383	Anastrepha kuhlmanni	Anastrepha kuhlmanni Lima, 1934	1625033	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha kuhlmanni	genus	
384	Anastrepha lambayecae	Anastrepha lambayecae Korytkowski & Ojeda, 1968	1625193	EXACT	98	SYNONYM	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha fratercula	genus	
385	Anastrepha lambda	Anastrepha lambda Hendel, 1914	1625116	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha lambda	genus	
386	Anastrepha lanceola	Anastrepha lanceola Stone, 1942	1625144	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha lanceola	genus	
387	Anastrepha latilanceola	Anastrepha latilanceola Norrbom, 2015	10008799	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha latilanceola	genus	
388	Anastrepha latilanceolata	Anastrepha latilanceolata Norrbom, 2015	11175917	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha latilanceolata	genus	
389	Anastrepha leptozona	Anastrepha leptozona Hendel, 1914	1625276	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha leptozona	genus	
390	Anastrepha levefasciata	Anastrepha levefasciata Norrbom & Korytkowski, 2011	8303580	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha levefasciata	genus	
391	Anastrepha ligae	Anastrepha Schiner, 1868	1624988	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha		genus	
392	Anastrepha limae	Anastrepha limae Stone, 1942	1625166	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha limae	genus	
393	Anastrepha linharensis	Anastrepha linharensis Uramoto & Zucchi, 2010	7679272	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha linharensis	genus	
394	Anastrepha littoralis	Anastrepha littoralis (Blanchard, 1960)	10713700	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha littoralis	genus	
395	Anastrepha loewi	Anastrepha loewi Stone, 1942	1625056	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha loewi	genus	
396	Anastrepha longicauda	Anastrepha longicauda Lima, 1934	1625006	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha longicauda	genus	
397	Anastrepha lopezi	Anastrepha lopezi Norrbom & Korytkowski, 2012	8650200	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha lopezi	genus	
398	Anastrepha ludens	Anastrepha ludens (Loew, 1873)	1625041	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha ludens	genus	
399	Anastrepha luederwaldti	Anastrepha luederwaldti Lima, 1934	1625123	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha luederwaldti	genus	
400	Anastrepha lutea	Anastrepha lutea Stone, 1942	1625253	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha lutea	genus	
401	Anastrepha lutzi	Anastrepha lutzi Lima, 1934	1625237	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha lutzi	genus	
402	Anastrepha macra	Anastrepha macra Stone, 1942	1625241	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha macra	genus	
403	Anastrepha macracantha	Anastrepha macracantha Norrbom & Korytkowski, 2012	8519909	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha macracantha	genus	
404	Anastrepha macrura	Anastrepha macrura Hendel, 1914	1625127	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha macrura	genus	
405	Anastrepha maculata	Anastrepha maculata Norrbom, 1998	1625016	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha maculata	genus	
406	Anastrepha magna	Anastrepha magna Norrbom, 1997	1625073	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha magna	genus	
407	Anastrepha magnicurva	Anastrepha magnicurva Norrbom & Korytkowski, 2012	8446579	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha magnicurva	genus	
408	Anastrepha magnifica	Anastrepha Schiner, 1868	1624988	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha		genus	
409	Anastrepha manhioti	Anastrepha manhioti Lima, 1934	1625135	EXACT	98	SYNONYM	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha manihoti	genus	
410	Anastrepha manihoti	Anastrepha manihoti Lima, 1934	1625134	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha manihoti	genus	
411	Anastrepha manizaliensis	Anastrepha manizaliensis Norrbom, Korytkowski, GonzÃ¡lez & Orduz, 2005	1625053	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha manizaliensis	genus	
412	Anastrepha margarita	Anastrepha margarita Caraballo, 1985	1625032	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha margarita	genus	
413	Anastrepha martinsi	Anastrepha martinsi Uramoto & Zucchi, 2010	7819516	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha martinsi	genus	
414	Anastrepha matertela	Anastrepha matertela Zucchi, 1979	1625244	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha matertela	genus	
415	Anastrepha matogrossensis	Anastrepha matogrossensis Norrbom & Uchoa, 2011	9517284	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha matogrossensis	genus	
416	Anastrepha maya	Anastrepha maya HernÃ¡ndez-Ortiz, 2004	1625052	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha maya	genus	
417	Anastrepha mburucuyae	Anastrepha mburucuyae Blanchard, 1961	1625141	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha mburucuyae	genus	
418	Anastrepha megacantha	Anastrepha megacantha Zucchi, 1984	1625097	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha megacantha	genus	
419	Anastrepha melanoptera	Anastrepha melanoptera Norrbom, 2015	10005040	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha melanoptera	genus	
420	Anastrepha mellea	Anastrepha Schiner, 1868	1624988	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha		genus	
421	Anastrepha microstrepha	Anastrepha microstrepha Norrbom, 2021	11502344	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha microstrepha	genus	
422	Anastrepha minensis	Anastrepha minensis Lima, 1937	1625070	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha minensis	genus	
423	Anastrepha minuta	Anastrepha minuta Stone, 1942	1625121	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha minuta	genus	
424	Anastrepha mitaraka	Anastrepha mitaraka Norrbom, 2021	11528492	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha mitaraka	genus	
425	Anastrepha mixta	Anastrepha mixta Zucchi, 1979	1625224	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha mixta	genus	
426	Anastrepha miza	Anastrepha miza Norrbom & Korytkowski, 2009	11735986	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha miza	genus	
427	Anastrepha mollyae	Anastrepha mollyae Norrbom, 2015	10702708	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha mollyae	genus	
428	Anastrepha montei	Anastrepha montei Lima, 1934	1625221	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha montei	genus	
429	Anastrepha morvasi	Anastrepha morvasi Uramoto & Zucchi, 1999	1625128	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha morvasi	genus	
430	Anastrepha mucronota	Anastrepha mucronota Stone, 1942	1625256	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha mucronota	genus	
431	Anastrepha munda	Anastrepha munda Schiner, 1868	1625062	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha munda	genus	
432	Anastrepha murrayi	Anastrepha murrayi Norrbom, 1998	1624996	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha murrayi	genus	
433	Anastrepha nambacoli	Anastrepha nambacoli Tigrero, 1992	11919427	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nambacoli	genus	
434	Anastrepha nascimentoi	Anastrepha nascimentoi Zucchi, 1979	1625233	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nascimentoi	genus	
435	Anastrepha neogigantea	Anastrepha neogigantea Norrbom & Korytkowski, 2012	8549504	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha neogigantea	genus	
436	Anastrepha neptis	Anastrepha neptis Norrbom, 2021	11830011	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha neptis	genus	
437	Anastrepha nigra	Anastrepha nigra (Blanchard, 1960)	10618098	EXACT	97	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nigra	genus	
438	Anastrepha nigrifascia	Anastrepha nigrifascia Stone, 1942	1625012	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nigrifascia	genus	
439	Anastrepha nigrina	Anastrepha nigrina Norrbom, 2018	11775821	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nigrina	genus	
440	Anastrepha nigripalpis	Anastrepha nigripalpis Hendel, 1914	1625035	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nigripalpis	genus	
441	Anastrepha nigrivittata	Anastrepha nigrivittata Norrbom & Korytkowski, 2009	10194942	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nigrivittata	genus	
442	Anastrepha nigrotaenia	Anastrepha Schiner, 1868	1624988	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha		genus	
443	Anastrepha nolazcoae	Anastrepha nolazcoae Norrbom & Korytkowski, 2011	7477070	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nolazcoae	genus	
444	Anastrepha normalis	Anastrepha normalis Norrbom, 2002	1625158	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha normalis	genus	
445	Anastrepha norrbomi	Anastrepha Schiner, 1868	1624988	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha		genus	
446	Anastrepha nunezae	Anastrepha nunezae Steyskal, 1977	1625119	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha nunezae	genus	
448	Anastrepha obliqua	Anastrepha obliqua (Macquart, 1835)	1625082	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha obliqua	allied_species	
449	Anastrepha obscura	Anastrepha obscura Aldrich, 1925	1625242	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha obscura	genus	
450	Anastrepha ocresia	Anastrepha ocresia (Walker, 1849)	1625058	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha ocresia	genus	
451	Anastrepha oiapoquensis	Anastrepha oiapoquensis Norrbom & Uchoa, 2011	9441623	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha oiapoquensis	genus	
452	Anastrepha ornata	Anastrepha ornata Aldrich, 1925	1625239	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha ornata	genus	
453	Anastrepha otongensis	Anastrepha otongensis Tigrero & Norrbom, 2020	11794141	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha otongensis	genus	
454	Anastrepha pacifica	Anastrepha pacifica HernÃ¡ndez-Ortiz, 1991	1625197	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha pacifica	genus	
455	Anastrepha palae	Anastrepha palae Stone, 1942	1625240	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha palae	genus	
456	Anastrepha pallens	Anastrepha pallens Coquillett, 1904	1625218	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha pallens	genus	
457	Anastrepha pallida	Anastrepha pallida Norrbom, 1997	9973329	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha pallida	genus	
458	Anastrepha pallidipennis	Anastrepha pallidipennis Greene, 1934	1624990	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha pallidipennis	genus	
459	Anastrepha panamensis	Anastrepha panamensis Greene, 1934	1625122	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha panamensis	genus	
460	Anastrepha paradentata	Anastrepha paradentata Norrbom & Korytkowski, 2011	7639790	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha paradentata	genus	
461	Anastrepha parallela	Anastrepha parallela (Wiedemann, 1830)	1625039	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha parallela	genus	
462	Anastrepha parishi	Anastrepha parishi Stone, 1942	1625049	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha parishi	genus	
463	Anastrepha partita	Anastrepha partita Norrbom & Korytkowski, 2009	10336971	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha partita	genus	
464	Anastrepha passiflorae	Anastrepha passiflorae Greene, 1934	1625104	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha passiflorae	genus	
465	Anastrepha pastranai	Anastrepha pastranai Blanchard, 1961	1625107	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha pastranai	genus	
466	Anastrepha peneramosa	Anastrepha peneramosa Norrbom & Korytkowski, 2012	8682041	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha peneramosa	genus	
467	Anastrepha perdita	Anastrepha perdita Stone, 1942	1625118	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha perdita	genus	
468	Anastrepha perezi	Anastrepha perezi Norrbom, 2015	10822203	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha perezi	genus	
469	Anastrepha peruana	Anastrepha peruana Rosillo, 1953	1625184	EXACT	98	SYNONYM	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha fratercula	genus	
