row	taxon_name	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	original list	synonyms
81	Acidoxantha totoflava	Acidoxantha totoflava Hardy, 1973	1621258	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acidoxantha	Acidoxantha totoflava	genus	
82	Acleris abietana	Acleris abietana (HÃ¼bner, 1819-1822)	8215326	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris abietana	allied_species	
83	Acleris aspersana	Acleris aspersana (HÃ¼bner, 1814-1817)	1740053	EXACT	97	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris aspersana	allied_species	
84	Acleris bergmanniana	Acleris bergmanniana (Linnaeus, 1758)	1739797	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris bergmanniana	allied_species	
85	Acleris caledoniana	Acleris caledoniana (Stephens, 1852)	1740087	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris caledoniana	allied_species	
86	Acleris comariana	Acleris comariana (Lienig & Zeller, 1846)	1739816	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris comariana	allied_species	
87	Acleris cristana	Acleris cristana (Denis & SchiffermÃ¼ller) , 1775	1739819	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris cristana	allied_species	
88	Acleris effractana	Acleris effractana (HÃ¼bner, 1799)	1740116	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris effractana	allied_species	
89	Acleris emargana	Acleris emargana (Fabricius, 1775)	1740183	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris emargana	allied_species	
90	Acleris ferrugana	Acleris ferrugana (Denis & SchiffermÃ¼ller) , 1775	1739748	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris ferrugana	allied_species	
91	Acleris forsskaleana	Acleris forsskaleana (Linnaeus, 1758)	1739922	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris forsskaleana	allied_species	
92	Acleris gloveranus	Acleris gloveranus (Walsingham, 1879)	1739770	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris gloveranus	species	
93	Acleris hastiana	Acleris hastiana (Linnaeus, 1758)	1740392	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris hastiana	allied_species	
94	Acleris holmiana	Acleris holmiana (Linnaeus, 1758)	1740069	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris holmiana	allied_species	
95	Acleris hyemana	Acleris hyemana (Haworth, 1811)	1740005	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris hyemana	allied_species	
96	Acleris issikii	Acleris issikii Oku, 1957	1739730	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris issikii	species	
97	Acleris kochiella	Acleris kochiella (Goeze, 1783)	4530501	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris kochiella	allied_species	
98	Acleris laterana	Acleris laterana (Fabricius, 1794)	1740185	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris laterana	allied_species	
99	Acleris lipsiana	Acleris lipsiana (Denis & SchiffermÃ¼ller) , 1775	1739999	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris lipsiana	allied_species	
100	Acleris literana	Acleris literana (Linnaeus, 1758)	1739931	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris literana	allied_species	
101	Acleris logiana	Acleris logiana (Clerck, 1759)	1739980	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris logiana	allied_species	
102	Acleris lorquiniana	Acleris lorquiniana (Duponchel, 1835)	1739788	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris lorquiniana	allied_species	
103	Acleris maccana	Acleris maccana (Treitschke, 1835)	1740305	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris maccana	allied_species	
104	Acleris minuta	Acleris minuta (Robinson, 1869)	1739988	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris minuta	species	
105	Acleris nishidai	Acleris nishidai Brown, 2008	12230159	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris nishidai	species	
106	Acleris nivisellana	Acleris nivisellana (Walsingham, 1879)	1740389	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris nivisellana	species	
107	Acleris notana	Acleris notana (Donovan, 1806)	1740374	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris notana	allied_species	
108	Acleris permutana	Acleris permutana (Duponchel, 1836)	1739866	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris permutana	allied_species	
109	Acleris rhombana	Acleris rhombana (Denis & SchiffermÃ¼ller) , 1775	1740120	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris rhombana	allied_species	
110	Acleris robinsoniana	Acleris robinsoniana (Forbes, 1923)	1739973	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris robinsoniana	species	
111	Acleris rufana	Acleris rufana (Denis & SchiffermÃ¼ller) , 1775	1739891	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris rufana	allied_species	
