organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	species	synonyms	synonym_tvk_list	recommended_name_authority	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag
NBNORG0000077125	BMSSYS0000728900	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Hodophilus	Hodophilus hymenocephalus s. lat.	Armillariella hymenocephala;Camarophyllopsis hymenocephala;Camarophyllus hymenocephalus;Hygrocybe hymenocephala;Hygrotrama hymenocephalum	NHMSYS0001474880;NHMSYS0001476739;NBNSYS0000143556;NHMSYS0001484473;NHMSYS0001484710			Y		
NBNORG0000136584	NHMSYS0021835626	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis	Ramariopsis kunzei s. str.			(Fr.) Corner		Y		
NBNORG0000078825	NHMSYS0021576643	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma bloxamii s. lat.	Entoloma bloxamii;Entoloma bloxamii var. triste;Entoloma madidum	NHMSYS0001481464;BMSSYS0000006462;NHMSYS0001481595			Y		
NBNORG0000133453	NHMSYS0021553039	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma bloxamii s. str.	Agaricus rubellus;Entoloma bloxamii var. rubellum;Entoloma rubellum	BMSSYS0000042256;BMSSYS0000533746;BMSSYS0000045289	(Berk. & Broome) Sacc.		Y		
NBNORG0000078842	NHMSYS0021823736	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma corvinum s. lat.	Entoloma corvinum;Leptonia corvina	NHMSYS0001481534;NHMSYS0001487485			Y		
NBNORG0000002002	NHMSYS0021832816	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma longistriatum s. lat.	Entoloma longistriatum;Entoloma longistriatum var. longistriatum;Entoloma longistriatum var. microsporum;Entoloma sarcitulum var. majusculum;Leptonia longistriata;Leptonia majuscula;Leptonia spurceifolia;Rhodophyllus sarcitus var. majusculus	BMSSYS0000006491;BMSSYS0000006492;BMSSYS0000006493;NHMSYS0001481659;BMSSYS0000010364;NHMSYS0001487512;NHMSYS0001487538;NBNSYS0000101165			Y		
NBNORG0000078924	NHMSYS0021835636	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma rhombisporum s. lat.	Entoloma rhombisporum;Entoloma rhombisporum var. rhombisporum;Leptonia rhombispora;Nolanea rhombispora;Nolanea rhombisporus;Rhodophyllus rhombisporus	NHMSYS0001481651;BMSSYS0000045288;NHMSYS0001487527;NHMSYS0001490958;BMSSYS0000012108;NBNSYS0000155882	(Kühner & Boursier) E. Horak		Y		
NBNORG0000136585	NHMSYS0021835631	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma rhombisporum s. str.			(Kühner & Boursier) E. Horak		Y		
NBNORG0000117683	NHMSYS0021843341	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Arrhenia	Arrhenia peltigerina s. lat.	Arrhenia peltigerina;Omphalina peltigerina	NHMSYS0001474910;BMSSYS0000038514	(Peck) Redhead, Lutzoni, Moncalvo & Vilgalys		Y		
NBNORG0000133486	NHMSYS0021553204	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Gliophorus aff. perplexus	Gliophorus sciophanus	NHMSYS0021942539			Y		
NBNORG0000002687	NHMSYS0021646085	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Gliophorus perplexus agg.	Gliophorus psittacinus var. perplexus;Hygrocybe perplexa;Hygrocybe psittacina var. perplexa;Hygrocybe sciophana;Hygrophorus sciophanus	NHMSYS0021663386;BMSSYS0000008369;BMSSYS0000008377;NHMSYS0001484518;NBNSYS0000149172			Y		
NBNORG0000136583	NHMSYS0021835621	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma crustuliniforme s. str.			(Bull.) Quél.		Y		
NBNORG0000123072	NHMSYS0021762100	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Pseudosperma	Pseudosperma rimosum s. lat.	Inocybe fastigiata;Inocybe rimosa s. lat.	NHMSYS0001485348;BMSSYS0000046680			Y		
NBNORG0000134325	NHMSYS0021623224	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma australe s. str.			(Fr.) Pat.	Y	Y		
NBNORG0000136412	NHMSYS0021832661	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Phellodon	Phellodon niger s. str.			(Fr.) P. Karst.		Y		
NBNORG0000136163	NHMSYS0021795107	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Zyzygomyces	Zyzygomyces polyblastidii s. lat.			Diederich, Flakus, Etayo & Rodr. Flakus		Y		
NBNORG0000076026	NHMSYS0021832721	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Coleosporiaceae	Coleosporium	Coleosporium tussilaginis s. lat.	Caeoma compransor;Caeoma crustaceum;Caeoma rhinanthacearum;Caeoma spinulosum;Coleosporium rhinanthacearum;Coleosporium sonchi-arvensis;Coleosporium synantherarum;Coleosporium tropaeoli;Coleosporium tussilaginis;Peridermium acerifolium;Peridermium acicola;Peridermium acicolum;Peridermium oblongisporium;Peridermium pinicola;Peridermium plowrightii;Puccinia sonchi-arvensis;Trichobasis cichoracearum	NHMSYS0001476436;BMSSYS0000043263;NHMSYS0001476453;NHMSYS0001476454;NHMSYS0001478200;NHMSYS0001478203;NHMSYS0001478205;NHMSYS0001478206;BMSSYS0000043968;NHMSYS0001492179;BMSSYS0000049071;NHMSYS0001492180;NHMSYS0021789075;NHMSYS0001492186;NHMSYS0001492187;NHMSYS0001495734;BMSSYS0000051989			Y		
NBNORG0000138341	NHMSYS0021905613	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Coleosporiaceae	Coleosporium	Coleosporium tussilaginis s. str.			(Pers.) Tul.		Y		
NBNORG0000136484	BMSSYS0000015635	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia coronata var. avenae	Puccinia coronata var. avenae f. sp. avenae;Puccinia coronata var. avenae f. sp. graminicola	NHMSYS0021833766;NHMSYS0021833771	W.P. Fraser & Ledingham		Y		
NBNORG0000085194	NHMSYS0001501126	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Uromyces	Uromyces pisi-sativi s. lat.	Coeomurus pisi;Puccinia laburni;Puccinia loti;Puccinia pisi;Uromyces loti;Uromyces phacae;Uromyces pisi	BMSSYS0000043953;NHMSYS0001495632;BMSSYS0000050316;NHMSYS0001495668;BMSSYS0000019386;BMSSYS0000019390;NHMSYS0001501124			Y		
NBNORG0000134087	NHMSYS0021600502	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Synchytriaceae	Synchytrium	Synchytrium aureum s. str.			J. Schröt.		Y		
NBNORG0000125048	BMSSYS0000598552	Fungi						Fungus (unidentified)					Y		
NBNORG0000109496	NBNSYS0000176342	Plantae						Maerl indet							Y
NBNORG0000024928	NHMSYS0021616551	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Jungermanniaceae	Mesoptychia	Mesoptychia gillmanii var. laxa	Leiocolea rutheana var. laxa;Lophozia schultzii var. laxa	NBNSYS0000041594;NBNSYS0000101507	(Schiffn. ex Burrell) L.Söderstr.		Y	Y	
NBNORG0000134184	NBNSYS0000035842	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Scapaniaceae	Lophozia	Lophozia ventricosa var. silvicola			(Buch) E.W.Jones & Schust.			Y	
NBNORG0000134185	NBNSYS0000035841	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Scapaniaceae	Lophozia	Lophozia ventricosa var. ventricosa			(Dicks.) Dumort.			Y	
NBNORG0000134545	NHMSYS0021652440	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Ptychostomum	Ptychostomum rubens sensu Bijlsma et al. 2020					Y		
NBNORG0000134311	NHMSYS0021616596	Plantae	Bryophyta	Bryopsida	Dicranales	Pottiaceae	Didymodon	Didymodon tophaceus subsp. sicculus			(Brid.) Lisa		Y	Y	
NBNORG0000134310	NHMSYS0021616591	Plantae	Bryophyta	Bryopsida	Dicranales	Pottiaceae	Didymodon	Didymodon tophaceus subsp. tophaceus			(Brid.) Lisa		Y	Y	
NBNORG0000050156	NHMSYS0021600322	Plantae	Bryophyta	Bryopsida	Dicranales	Pottiaceae	Ephemerum	Ephemerum crassinervium subsp. sessile	Ephemerella sessilis;Ephemerum sessile	NBNSYS0000146863;NBNSYS0000036524	(Bruch) Holyoak		Y	Y	
NBNORG0000050478	NHMSYS0021616561	Plantae	Bryophyta	Bryopsida	Hypnales	Plagiotheciaceae	Plagiothecium	Plagiothecium denticulatum var. denticulatum	Plagiothecium denticulatum var. undulatum;Plagiothecium ruthei	NHMSYS0021194722;NBNSYS0000036912	(Hedw.) Schimp.		Y	Y	
NBNORG0000129271	NHMSYS0021232443	Plantae	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Ulota	Ulota crispa s.str.	Ulota crispa var. crispa	NBNSYS0000036720	(Hedw.) Brid.		Y		
NBNORG0000050517	NHMSYS0021600187	Plantae	Bryophyta	Polytrichopsida	Polytrichales	Polytrichaceae	Polytrichum	Polytrichum commune s.str.	Polytrichum commune var. commune	NBNSYS0000036134	Hedw.		Y	Y	
NBNORG0000105322	NHMSYS0020825389	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium	Allium spp.							
NBNORG0000105323	NHMSYS0020825395	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae		Vicia spp.							
NBNORG0000047419	NBNSYS0500000081	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Lythraceae	Lythrum	Lythrum portula subsp. longidentatum-subsp. portula intermediate					Y		
NBNORG0000115891	NHMSYS0021109657	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Cotoneaster	Cotoneaster microphyllus s.str.				Y	Y		
