organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	species	synonyms	synonym_tvk_list	recommended_name_authority	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag
NBNORG0000125452	NHMSYS0020103730	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Byssolomataceae	Micarea	Micarea prasina s. str.			Fr.		Y		
NBNORG0000125439	NBNSYS0000018346	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia arbuscula s. str.	Cladonia arbuscula subsp. arbuscula;Cladonia arbuscula subsp. squarrosa	NHMSYS0001477597;NBNSYS0000100702	(Wallr.) Flot.		Y		
NBNORG0000091505	NHMSYS0020105992	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia chlorophaea s. str.			(Flörke ex Sommerf.) Spreng.		Y		
NBNORG0000125454	NHMSYS0020105993	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia coccifera s. str.	Cladonia coccifera f. asotea	BMSSYS0000003897	(L.) Willd.		Y		
NBNORG0000108541	NHMSYS0021576563	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia grayi s. lat.	Cladonia grayi	NBNSYS0000018378			Y		
NBNORG0000133402	NHMSYS0021552784	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia grayi s. str.			G.K. Merr. ex Sandst.		Y		
NBNORG0000015433	NBNSYS0000018579	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	Lecanora chlarotera s. lat.	Lecanora allophana;Lecanora chlarona;Lecanora chlarotera f. crassula;Lecanora crassula;Lecanora distincta var. chlarona;Lecanora rugosa;Lecanora subfusca;Lecanora subfusca var. allophana;Lecanora subfusca var. chlarona;Lichen subfuscus;Parmelia subfusca	NHMSYS0001442830;NHMSYS0001486339;BMSSYS0000009479;BMSSYS0000009499;NHMSYS0001486366;NHMSYS0001486446;NHMSYS0001442854;NHMSYS0001486468;NHMSYS0001486470;NHMSYS0020990566;BMSSYS0000048923			Y		
NBNORG0000136166	NHMSYS0021795122	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	Lecanora chlarotera s. str.			Nyl.		Y		
NBNORG0000091504	NHMSYS0020105991	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Cetrelia	Cetrelia olivetorum s. str.			(Nyl.) W.L. Culb. & C.F. Culb.		Y		
NBNORG0000108574	NHMSYS0020987692	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypotrachyna	Hypotrachyna revoluta s. str.	Parmelia revoluta	NHMSYS0001491862	(Flörke) Hale		Y		
