Lithobius (Lithobius) melanops;? Lithobius borealis;Lithobius glabratus;Lithobius melanops
Allopauropus (Decapauropus) gracilis;?Allopauropus minutus;Allopauropus (Decapauropus) Amaudruti;Allopauropus Amaudruti var. Cordieri;Allopauropus Cordieri;Allopauropus gracilis;Allopauropus gracilis var. Amaudruti;Allopauropus gracilis var. sabaudianus;Allopauropus gracilis var. sequanus;Allopauropus sequanus;Allopauropus sequanus var. sinuatus;Allopauropus tenuis form sequanus;Decapauropus amaudruti;Decapauropus gracilis;Decapauropus sabaudianus;Pauropus gracilis;Remypus sequanus
Phyllodoce longipes;Aanaitides jeffresyii;Anaitides longipes
Abarenicola claparedi;Abarenicola claparedei
Abax parallelepipedus;Abax ater;Abax parallelopipedus;Abax striola;Pterostichus striola
Wanachia triguttata;Abdera 3-guttata;Abdera triguttata
Abdera quadrifasciata;Abdera 4-fasciata;Abdera ?bifasciata
Abdera biflexuosa;Abdera bifasciata
Abia aenea;Abia bifida;Abia bigens;Cimbex aenea;Zaraea aenea;Zaraea lonicerae
Abia nitens;Abia sericea;Tenthredo sericea
Holothrips schaubergeri;Abiastothrips schaubergeri
Larsia atrocincta;Ablabesmyia atrocincta
Thienemannimyia geijkesi;Ablabesmyia geijkesi;Thienemannimyia geijskesi
Ablabesmyia monilis;Ablabesmyia maculata;Tipula maculata;Tipula monilis
Arctopelopia melanosoma;Ablabesmyia melanosoma
Abra segmentum;Abra ovata
Abraeus perpusillus;Abraeus globosus
Blicca bjoerkna;Abramis bjoerkna
Abraxas sylvata;Abraxas ulmata
Abrostola triplasia;Abrostola trigemina;Abrostola tripartita
Abrostola tripartita;Abrostola trigemina;Abrostola triplasia
Absyrtus vicinator;Absyrtus luteus;Ichneumon vicinator
Absyrtus vernalis;Absyrtus vicinator subsp. vernalis
Acalitus stenaspis;Acalitus blastophthirus;Eriophyes stenaspis
Acalles misellus;Acalles ?parvulus;Acalles turbatus
Kyklioacalles roboris;Acalles roboris
Acalypta carinata;Acalypta cervina
Acalypta brunnea;Acalypta concinna
Acalypta parvula;Acalypta obscura
Acanella arbuscula;Acanella eburnea
Acanosema nervosa;Acanosema microcera;Acanosema rufiventris
Acanopsilus clavatus;Acanospilus clavatus
Acanopsilus heterocerus;Acanospilus heterocerus
Acartia (Acanthacartia) bifilosa;Acanthacartia bifilosa;Acartia bifilosa;Dias bifilosa
Acartia (Acanthacartia) tonsa;Acanthacartia tonsa;Acartia tonsa
Ceratapion onopordi;Acanthephodus onopordi;Apion onopordi
Hystrix (Acanthion) brachyura;Acanthion brachyura;Hystrix brachyura;Hystrix hodgsoni;Hystrix hodgsonii
Acanthiophilus helianthi;Acanthiophilus elutus;Musca helianthi;Trypeta eluta
Linaria cannabina;Acanthis cannabina;Carduelis cannabina
Linaria flavirostris;Acanthis flavirostris;Carduelis flavirostris;Linota montium
Ilyocryptus sordidus;Acanthocercus sordidus
Acanthochitona fascicularis;Acanthochitona communis
Acanthocirrus retirostris;Acanthocirrus retrirostris
Cixius (Acanthocixius) similis;Acanthocixius similis;Cixius musivus;Cixius similis;Cixius stigmaticus
Rhembobius quadrispinus;Acanthocryptus limnophilus
Diacyclops bicuspidatus;Acanthocyclops bicuspidatus;Cyclops bicuspidatus
Diacyclops bisetosus;Acanthocyclops bisetosus;Cyclops bisetosus
Diacyclops crassicaudis;Acanthocyclops crassicaudis;Cyclops crassicaudis
Megacyclops gigas;Acanthocyclops gigas;Cyclops gigas
Diacyclops languidoides;Acanthocyclops languidoides;Cyclops languidoides
Diacyclops languidus;Acanthocyclops languidus;Cyclops languidus
Megacyclops latipes;Acanthocyclops latipes;Cyclops latipes
Diacyclops nanus;Acanthocyclops nanus;Cyclops nanus
Megacyclops viridis;Acanthocyclops viridis;Monoculus viridis
Actinocythereis dunelmensis;Acanthocythereis dunelmensis;Trachyleberis dunelmensis
Acanthodelphax denticauda;Acanthodelphax insignis
Acanthogorgia armata;Acanthogorgia granulata
Acantholaimus polydentatus;Acantholaimus ewensis
Drepanothrix dentata;Acantholeberis dentata
Odiellus spinosus;Acantholophus spinosus;Oligolophus spinosus;Opilio histrix;Phalangium spinosum
Lacinius ephippiatus;Acantholopus ephippiatus;Opilio ephippiatus
Oligolophus hanseni;Acantholopus hansenii;Oligolophus hansenii
Acantholyda erythrocephala;Acantholyda (Acantholyda) erythrocephala;Tenthredo erythrocephala
Acantholyda posticalis;Acantholyda (Itycorsia) posticalis;Acantholyda nemoralis;Acantholyda pinivora;Itycorsia nemoralis;Itycorsia pinivora;Itycorsia posticalis;Itycorsia stellata;Tenthredo stellata
Dichomeris alacella;Acanthophila alacella
Baryphyma gowerense;Acanthophyma gowerensis
Acanthopsyche atra;Acanthopsyche opacella
Acanthoscelides obtectus;Acanthoscelides obsoletus;Bruchidius obtectus;Laria obtectus
Acanthoxyla inermis;Acanthoxyla prasina subsp. inermis
Acanthoxyla geisovii;Acanthoxyla prasina;Acanthoxyla prasina subsp. geisovii
Acarus farris;Acaris farris
Antho (Acarnia) circonflexa;Acarnia circonflexa;Antho (Plocamilla) circonflexa;Antho circonflexa;Plocamilla circonflexa
Antho (Acarnia) coriacea;Acarnia coriacea;Antho (Plocamilla) coriacea;Antho coriacea;Plocamilla coriacea
Acartauchenius scurrilis;Acartauchenius aequus
Acartia (Acartiura) clausi;Acartia clausi;Acartia clausii;Acartiura clausi
Acartia (Acartia) danae;Acartia danae
Acartia (Acartiura) discaudata;Acartia discaudata;Acartiura discaudata;Dias discaudata
Paracartia grani;Acartia grani
Paracartia latisetosa;Acartia latisetosa
Acartia (Acartiura) lefevreae;Acartia lefevreae;Acartiura lefevreae
Acartia (Acartiura) longiremis;Acartia longiremis;Acartiura longiremis
Acartia (Acartiura) margalefi;Acartia margalefi;Acartiura margalefi
Acartia (Acartia) negligens;Acartia negligens
Acaudinum (Acaudinum) centaureae;Acaudinum centaureae
Brachycaudus (Acaudus) klugkisti;Acaudus klugkisti;Brachycaudus klugkisti
Brachycaudus (Acaudus) lychnidis;Acaudus lychnidis;Brachycaudus lychnidis
Brachycaudus (Acaudus) populi;Acaudus populi;Brachycaudus populi
Prunella collaris;Accentor alpinus
Tachyspiza brachyura;Accipiter brachyurus
Tachyspiza brevipes;Accipiter brevipes
Astur gentilis arrigonii;Accipiter gentilis arrigonii
Astur atricapillus;Accipiter gentilis atricapillus
Astur gentilis gentilis;Accipiter gentilis gentilis
Astur gentilis;Accipiter gentilis;Astur palumbarius
Astur gundlachi;Accipiter gundlachi
Tachyspiza imitator;Accipiter imitator
Tachyspiza nanus;Accipiter nanus
Acentria ephemerella;Acentria nivea
Acentrotypus brunnipes;Acentrotypus laevigatum;Apion brunnipes
Filientomon barberi;Acerella barberi;Acerella tenuiceps
Acerentomon affine;Acerentomon agrorum;Acerentomon metarhinus;Acerentomon oblongum;Acerentomon propinquum
Acerentulus confinis;Acerentomon cephalotes;Acerentulus aureus;Acerentulus macrocephalus;Acerentulus paulinoi
Acerentomon nemorale;Acerentomon pinus
Gracilentulus gracilis;Acerentulus mediocris
Aceria myriadeum;Aceria aceriscampestris
Aceria campestricola;Aceria brevipunctatus;Aceria ulmicola
Aceria centaureae;Aceria centaurae;Aceria centaurea
Aceria cephalonea;Aceria cephaloneus
Aceria lycopersici;Aceria cladophthirus
Aceria enantha;Aceria enanthus
Aceria erinea;Aceria erineus
Aceria macrocheluserinea;Aceria eriobia;Aceria eriobius
Aceria exigua;Aceria exiguus
