Organism,Common Name,Common Name Source,Current Status,INSDC ID,ToL ID
Nudaria mundana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB64089,"ilNudMund2, ilNudMund1"
Drosophila subobscura,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB98339,"idDroSubo14, idDroSubo2, idDroSubo4, idDroSubo16, idDroSubo15, idDroSubo1, idDroSubo17, idDroSubo9, idDroSubo10, idDroSubo5, idDroSubo3, idDroSubo7, idDroSubo6, idDroSubo8, idDroSubo13, idDroSubo11, idDroSubo12"
Cyclophora puppillaria,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB96585,"ilCycPupp6, ilCycPupp1, ilCycPupp8, ilCycPupp5, ilCycPupp7"
Trigonophora flammea,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB96577,ilTriFlam1
Meconema thalassinum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB48393,"iqMecThal2, iqMecThal1"
Dolomedes plantarius,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB22206,qDolPla1
Schoenus nigricans,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB81090,lpSchNigr1
Eptesicus nilssonii,northern bat,NCBI_taxon,Assemblies - Submitted,PRJEB61924,mEptNil1
Polytrichum piliferum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB94791,"cbPolPili12, cbPolPili13, cbPolPili8, cbPolPili2, cbPolPili7, cbPolPili4, cbPolPili6, cbPolPili10, cbPolPili14, cbPolPili15, cbPolPili1, cbPolPili5, cbPolPili16, cbPolPili11, cbPolPili9, cbPolPili3"
Loeskeobryum brevirostre,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB80502,"cbLoeBrev1, cbLoeBrev3, cbLoeBrev2"
Prunus avium,sweet cherry,NCBI_taxon,Assemblies - Submitted,PRJEB73957,drPruAviu1
Phyllobius argentatus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB79422,"icPhyArge3, icPhyArge2, icPhyArge4, icPhyArge1"
Salix reticulata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85357,"ddSalReti8, ddSalReti7, ddSalReti5, ddSalReti4, ddSalReti9, ddSalReti3, ddSalReti6, ddSalReti2, ddSalReti1, ddSalReti10"
Herina lugubris,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97613,"idHerLugu2, idHerLugu3, idHerLugu1, idHerLugu4"
Falco tinnunculus,common kestrel,NCBI_taxon,Assemblies - Submitted,PRJEB74953,"bFalTin2, bFalTin1"
Anser anser,Domestic goose,NCBI_taxon,Assemblies - Submitted,PRJEB73444,bAnsAns1
Polypogon plumigeralis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB81653,"ilPolPlum1, ilPolPlum2"
Pyrausta purpuralis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB65709,"ilPyrPurp1, ilPyrPurp2"
Melanomya nana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85045,"idMelNana2, idMelNana5, idMelNana1, idMelNana3, idMelNana4"
Dicranum flexicaule,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97988,"cbDicFlex17, cbDicFlex8, cbDicFlex7, cbDicFlex4, cbDicFlex16, cbDicFlex14, cbDicFlex6, cbDicFlex15, cbDicFlex10, cbDicFlex2, cbDicFlex1, cbDicFlex11, cbDicFlex13, cbDicFlex9, cbDicFlex3, cbDicFlex12, cbDicFlex5"
Lemna minuta,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB58249,laLemMinu1
Rhopobota naevana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB55963,"ilRhoNaev6, ilRhoNaev7, ilRhoNaev8, ilRhoNaev1, ilRhoNaev10, ilRhoNaev9, ilRhoNaev2, ilRhoNaev11, ilRhoNaev3"
Riccia beyrichiana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB90017,"cmRicBeyr6, cmRicBeyr7, cmRicBeyr20, cmRicBeyr18, cmRicBeyr9, cmRicBeyr21, cmRicBeyr12, cmRicBeyr8, cmRicBeyr13, cmRicBeyr16, cmRicBeyr19, cmRicBeyr17, cmRicBeyr10, cmRicBeyr11, cmRicBeyr15, cmRicBeyr14"
Phycita roborella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB62410,"ilPhyRobo7, ilPhyRobo2, ilPhyRobo1, ilPhyRobo6, ilPhyRobo3, ilPhyRobo4, ilPhyRobo5"
Heteropelma amictum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB58953,iyHetAmic1
Pterapherapteryx sexalata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB73967,"ilPteSexa1, ilPteSexa5, ilPteSexa3, ilPteSexa2"
Rhopobota ustomaculana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB82190,ilRhoUsto1
Astropecten irregularis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB64717,eaAstIrre1
Macroglossum stellatarum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB92301,"ilMacStel9, ilMacStel10, ilMacStel1"
Glyphipterix thrasonella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB76326,"ilGlyThra1, ilGlyThra2, ilGlyThra7, ilGlyThra5, ilGlyThra6, ilGlyThra8"
Ornithomya chloropus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB68249,idOrnChlo1
Mesopsocus fuscifrons,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB60721,iuMesFusc1
Lestiphorus bicinctus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB66082,iyLesBici1
Phalacrocorax carbo,great cormorant,NCBI_taxon,Assemblies - Submitted,PRJEB70848,"bPhaCar2, bPhaCar3, bPhaCar5, bPhaCar4"
Noctuidae sp. SAN22000473,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB70848,ilNocSpea1
Ornithomya fringillina,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB68263,idOrnFrin1
Bimastos eiseni,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB63409,"whEisEise2, whEisEise1, whEisEise3"
Opomyza germinationis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB79817,"idOpoGerm3, idOpoGerm5, idOpoGerm6, idOpoGerm8, idOpoGerm4, idOpoGerm1, idOpoGerm7, idOpoGerm2"
Arge ochropus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB83139,iyArgOchr1
Actenicerus siaelandicus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB77635,"icActSiae2, icActSiae4, icActSiae5, icActSiae1, icActSiae3"
Arenaria serpyllifolia,thyme-leaf sandwort,NCBI_taxon,Assemblies - Submitted,PRJEB78643,"dcAreSerp4, dcAreSerp1, dcAreSerp3, dcAreSerp2"
Juncus bufonius,toad rush,NCBI_taxon,Assemblies - Submitted,PRJEB76509,"lpJunBufo1, lpJunBufo2, lpJunBufo4, lpJunBufo3"
Syndemis musculana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89133,"ilSynMusc1, ilSynMusc5, ilSynMusc2, ilSynMusc4"
Stragania apicalis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89602,"ihStrApic1, ihStrApic2"
Pelophylax lessonae,pool frog,NCBI_taxon,Assemblies - Submitted,PRJEB80340,"aPelLes1, aPelLes2"
Carex nigra,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB68031,"lpCarNigr4, lpCarNigr2, lpCarNigr1, lpCarNigr6, lpCarNigr5, lpCarNigr3"
Ulmus minor,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB81849,drUlmMino1
Conocephalum conicum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB107283,"cmConConi13, cmConConi1, cmConConi3, cmConConi14, cmConConi2, cmConConi4, cmConConi6, cmConConi12, cmConConi10, cmConConi7, cmConConi5, cmConConi16, cmConConi15, cmConConi9, cmConConi11, cmConConi8"
Tetropium fuscum,brown spruce longhorn beetle,NCBI_taxon,Assemblies - Submitted,PRJEB74594,"icTetFusc2, icTetFusc1"
Senecio sylvaticus,woodland ragwort,NCBI_taxon,Assemblies - Submitted,PRJEB84435,"daSenSylv3, daSenSylv2, daSenSylv1, daSenSylv4"
Longitarsus dorsalis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB84110,"icLonDors1, icLonDors3, icLonDors2"
Physeter macrocephalus,sperm whale,NCBI_taxon,Assemblies - Submitted,PRJEB105530,"mPhyCat1, mPhyCat2"
Aphelia paleana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB78811,"ilAphPale2, ilAphPale1"
Lepisma saccharinum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85215,"izLepSacc6, izLepSacc1, izLepSacc5, izLepSacc3, izLepSacc7, izLepSacc2, izLepSacc4"
Accipiter nisus,Eurasian sparrowhawk,NCBI_taxon,Assemblies - Submitted,PRJEB80342,bAccNis1
Macrophya annulata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB65724,iyMacAnnu1
Rallus aquaticus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB75638,"bRalAqu1, bRalAqu2"
Eulagius filicornis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB78954,"icEulFili4, icEulFili2, icEulFili3, icEulFili1"
Baetis atlanticus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB103039,"ieBaeAtla1, ieBaeAtla4, ieBaeAtla3, ieBaeAtla6, ieBaeAtla2, ieBaeAtla5"
Oedipodium griffithianum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97849,"cbOedGrif4, cbOedGrif17, cbOedGrif7, cbOedGrif1, cbOedGrif22, cbOedGrif8, cbOedGrif20, cbOedGrif11, cbOedGrif24, cbOedGrif12, cbOedGrif9, cbOedGrif6, cbOedGrif18, cbOedGrif3, cbOedGrif19, cbOedGrif21, cbOedGrif23, cbOedGrif16, cbOedGrif13, cbOedGrif15, cbOedGrif5, cbOedGrif10, cbOedGrif14, cbOedGrif2"
Ascidiella scabra,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB80336,"kaAscScab1, kaAscScab2, kaAscScab3"
Neophilaenus exclamationis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97317,"ihNeoExcl1, ihNeoExcl2, ihNeoExcl3"
Microlophium carnosum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB105643,"ihMicCarn4, ihMicCarn8, ihMicCarn3, ihMicCarn6, ihMicCarn2, ihMicCarn5, ihMicCarn1, ihMicCarn7"
Ptilophora plumigera,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB81591,"ilPtiPlum1, ilPtiPlum2"
Balaenoptera physalus,Fin whale,NCBI_taxon,Assemblies - Submitted,PRJEB76338,mBalPhy2
Atylotus rusticus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB103924,idAtyRust1
Sylvicola cinctus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB64986,"idSylCinc5, idSylCinc9, idSylCinc1, idSylCinc2, idSylCinc4, idSylCinc6, idSylCinc3, idSylCinc7, idSylCinc8"
Campiglossa producta,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB73428,"idCamProd2, idCamProd1"
Ophiocomina nigra,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB84094,"eoOphNigr1, eoOphNigr4, eoOphNigr3"
Protonemura montana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB56616,"ipProMont5, ipProMont2, ipProMont6, ipProMont1, ipProMont4, ipProMont3"
Amphigerontia contaminata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB103912,iuAmpCont1
Trichostomum littorale,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97863,"cbTriLitt9, cbTriLitt11, cbTriLitt10, cbTriLitt13, cbTriLitt8, cbTriLitt16, cbTriLitt2, cbTriLitt14, cbTriLitt15, cbTriLitt3, cbTriLitt12, cbTriLitt4, cbTriLitt1, cbTriLitt6, cbTriLitt7, cbTriLitt5"
Heringocrania unimaculella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97013,"ilHerUnim1, ilHerUnim2, ilHerUnim3"
Ampedus sanguinolentus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB78327,icAmpSanu1
Campylopus flexuosus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97831,"cbCamFlex8, cbCamFlex14, cbCamFlex3, cbCamFlex1, cbCamFlex6, cbCamFlex5, cbCamFlex4, cbCamFlex13, cbCamFlex2, cbCamFlex7, cbCamFlex9, cbCamFlex12, cbCamFlex11, cbCamFlex16, cbCamFlex15, cbCamFlex10"
Berytinus crassipes,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89600,ihBerCras1
Gallinula chloropus,common moorhen,NCBI_taxon,Assemblies - Submitted,PRJEB74707,bGalChl1
Cerapteryx graminis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB76334,ilCerGram1
Quedius lateralis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB80982,icQueLate1
Dryas octopetala,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB70983,drDryOcto1
Anania funebris,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB92295,"ilAnaFune1, ilAnaFune3, ilAnaFune2"
Macrochilo cribrumalis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB88755,"ilMacCrib5, ilMacCrib4, ilMacCrib1, ilMacCrib6, ilMacCrib3, ilMacCrib2"
Xantholinus longiventris,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB103934,icXanLong1
Potamogeton natans,broadleaf pondweed,NCBI_taxon,Assemblies - Submitted,PRJEB84431,"laPotNata2, laPotNata3, laPotNata1, laPotNata4"
Anastrepta orcadensis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89636,"cjAnaOrca15, cjAnaOrca13, cjAnaOrca5, cjAnaOrca3, cjAnaOrca12, cjAnaOrca11, cjAnaOrca7, cjAnaOrca16, cjAnaOrca6, cjAnaOrca2, cjAnaOrca8, cjAnaOrca1, cjAnaOrca9, cjAnaOrca10, cjAnaOrca14, cjAnaOrca4"
Prays fraxinella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97533,"ilPraFrax3, ilPraFrax1, ilPraFrax5, ilPraFrax2, ilPraFrax4"
Aeshna juncea,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB70646,"ioAesJunc2, ioAesJunc1"
Platalea leucorodia,Eurasian spoonbill,NCBI_taxon,Assemblies - Submitted,PRJEB70850,"bPlaLeu1, bPlaLeu2"
Pelosia muscerda,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB68293,"ilPelMusc2, ilPelMusc1, ilPelMusc3"
Melanthia procellata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85017,"ilMelProc1, ilMelProc2, ilMelProc4"
Mycetophagus piceus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85191,"icMycPice1, icMycPice2"
Bimastos rubidus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB76846,"whBimRubi8, whBimRubi3, whBimRubi2, whBimRubi4, whBimRubi1, whBimRubi7, whBimRubi5, whBimRubi6"
Ontholestes murinus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB70750,"icOntMuri2, icOntMuri1"
Rhizotrogus aestivus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB80926,icRhiAest1
Promethes sulcator,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB84439,"iyProSulc4, iyProSulc2, iyProSulc1, iyProSulc3, iyProSulc5"
Tillus elongatus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB68025,"icTilElon1, icTilElon2"
Andreaea rothii,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB90007,"caAndRoth1, caAndRoth7, caAndRoth2, caAndRoth6, caAndRoth3, caAndRoth4, caAndRoth15, caAndRoth10, caAndRoth13, caAndRoth16, caAndRoth11, caAndRoth9, caAndRoth14, caAndRoth5, caAndRoth8, caAndRoth12"
Aponogeton distachyos,water-hawthorn,NCBI_taxon,Assemblies - Submitted,PRJEB77445,laApoDist1
Rhyzobius forestieri,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB83520,"icRhyFore2, icRhyFore3, icRhyFore1"
Acleris hastiana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97551,"ilAclHast3, ilAclHast4, ilAclHast1, ilAclHast2"
Ectoedemia decentella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB74969,"ilEctDece6, ilEctDece5, ilEctDece1, ilEctDece3, ilEctDece2, ilEctDece4"
Dicranum tauricum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB94733,"cbDicTaur6, cbDicTaur8, cbDicTaur1, cbDicTaur3, cbDicTaur9, cbDicTaur16, cbDicTaur2, cbDicTaur4, cbDicTaur11, cbDicTaur5, cbDicTaur13, cbDicTaur12, cbDicTaur10, cbDicTaur15, cbDicTaur14, cbDicTaur7"
Lithosia quadra,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB66747,ilLitQuad1
Colostygia multistrigaria,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB84116,"ilColMult3, ilColMult1, ilColMult2, ilColMult4"
Alnus cordata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB73941,dhAlnCord1
Rhorus exstirpatorius,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB60658,"iyRhoExst2, iyRhoExst3, iyRhoExst1, iyRhoExst4"
Megalonotus praetextatus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89620,"ihMegPrae1, ihMegPrae2"
Cupido minimus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB71181,"ilCupMini8, ilCupMini6, ilCupMini1, ilCupMini4, ilCupMini5, ilCupMini7, ilCupMini3, ilCupMini2"
Anomodon viticulosus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB80506,"cbAnoViti14, cbAnoViti16, cbAnoViti8, cbAnoViti10, cbAnoViti9, cbAnoViti12, cbAnoViti6, cbAnoViti18, cbAnoViti15, cbAnoViti4, cbAnoViti7, cbAnoViti3, cbAnoViti1, cbAnoViti17, cbAnoViti5, cbAnoViti2, cbAnoViti13, cbAnoViti11, cbAnoViti19"
Trichostegia minor,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB103902,"iiTriMino2, iiTriMino1"
Curculio glandium,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB80664,"icCurGlan1, icCurGlan2, icCurGlan3, icCurGlan4"
Andrena bicolor,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB58235,"iyAndBico2, iyAndBico1"
Larinioides cornutus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB82166,"qqLarCorn2, qqLarCorn1, qqLarCorn3, qqLarCorn4"
Cerura vinula,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB78777,ilCerVinu1
Ypsolopha sylvella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB106018,ilYpsSylv1
Oxytorus armatus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB61494,iyOxyArmt1
Pandarus bicolor,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB77347,"qhPanBico4, qhPanBico6, qhPanBico7, qhPanBico8, qhPanBico5, qhPanBico2, qhPanBico3, qhPanBico1"
Apodemus sylvaticus,European woodmouse,NCBI_taxon,Assemblies - Submitted,PRJEB53555,"mApoSyl2, mApoSyl1"
Fissidens taxifolius,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB94711,"cbFisTaxi16, cbFisTaxi8, cbFisTaxi1, cbFisTaxi3, cbFisTaxi14, cbFisTaxi10, cbFisTaxi4, cbFisTaxi11, cbFisTaxi5, cbFisTaxi13, cbFisTaxi9, cbFisTaxi15, cbFisTaxi2, cbFisTaxi7, cbFisTaxi12, cbFisTaxi6"
Aphodius granarius,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB61912,"icAphGran3, icAphGran4, icAphGran1, icAphGran2"
Comibaena bajularia,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85369,"ilComBaju2, ilComBaju6, ilComBaju1, ilComBaju5"
Samolus valerandi,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB65659,ddSamVale1
Crataegus monogyna,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB103900,drCraMono1
Geomyza tripunctata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85201,"idGeoTrip1, idGeoTrip3, idGeoTrip2"
Hedwigia stellata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89996,"cbHedStel5, cbHedStel8, cbHedStel6, cbHedStel11, cbHedStel15, cbHedStel12, cbHedStel2, cbHedStel1, cbHedStel13, cbHedStel3, cbHedStel9, cbHedStel4, cbHedStel10, cbHedStel16, cbHedStel7, cbHedStel14"
Perithous albicinctus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB64966,iyPerAlbc1
Cryptomonas baltica,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB55799,uyRhoBalt1
Orthetrum coerulescens,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB74148,"ioOrtCoer2, ioOrtCoer1"
Eristalinus aeneus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB62160,idEriAene1
Diphasiastrum alpinum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB77447,"vlDipAlpi2, vlDipAlpi1"
Odontomyia ornata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB66026,idOdoOrna1
Achaius oratorius,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85187,"iyAchOrat1, iyAchOrat2"
Malva sylvestris,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB87948,ddMalSylv1
Hydrotaea similis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB73642,idHydSimi1
Spergularia bocconei,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB65699,"dcSpeBocc3, dcSpeBocc4, dcSpeBocc1, dcSpeBocc2"
Eriocrania cicatricella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB100918,"ilEriCica3, ilEriCica2, ilEriCica1, ilEriCica4"
Aulactinia verrucosa,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85007,"jaAulVerr2, jaAulVerr1, jaAulVerr3"
Trocdaris verticillata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB85361,drTroVert1
Graphomya maculata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB79163,"idGraMacu2, idGraMacu1"
Cygnus columbianus,tundra swan,NCBI_taxon,Assemblies - Submitted,PRJEB65210,"bCygCol4, bCygCol1, bCygCol3, bCygCol2"
Pyrausta despicata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB65669,"ilPyrDesp2, ilPyrDesp1"
Magdalis cerasi,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB77540,icMagCera1
Dilophus femoratus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97821,"idDilFemo1, idDilFemo2"
Aethes cnicana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB68255,"ilAetCnic1, ilAetCnic2"
Nemapogon koenigi,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB71571,"ilNemKoen1, ilNemKoen2"
Aythya ferina,common pochard,NCBI_taxon,Assemblies - Submitted,PRJEB73424,bAytFer1
Rhyacionia pinicolana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB82162,"ilRhyPini3, ilRhyPini5, ilRhyPini1, ilRhyPini6, ilRhyPini4"
Scopula ornata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB97045,ilScoOrna1
Geranium pratense,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB88765,drGerPrat1
Odontocerum albicorne,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB59793,"iiOdoAlbi2, iiOdoAlbi3, iiOdoAlbi1"
Lathraea squamaria,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB87968,daLatSqua1
Erica cinerea,gray heath,NCBI_taxon,Assemblies - Submitted,PRJEB96559,ddEriCine1
Aphodius sticticus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB70742,"icAphStic3, icAphStic2, icAphStic5, icAphStic4, icAphStic1"
Symmorphus gracilis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB74531,"iySymGrac1, iySymGrac2, iySymGrac3"
Persicaria amphibia,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB76750,"dcPerAmph2, dcPerAmph1"
Buteo buteo,common buzzard,NCBI_taxon,Assemblies - Submitted,PRJEB74951,bButBut1
Gasterosteus aculeatus,three-spined stickleback,NCBI_taxon,Assemblies - Submitted,PRJEB62002,"fGasAcu3, fGasAcu1, fGasAcu2"
Carex rostrata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB68041,"lpCarRost3, lpCarRost1, lpCarRost2"
Dysmachus trigonus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB56560,"idDysTrig5, idDysTrig1, idDysTrig8, idDysTrig4, idDysTrig6, idDysTrig12, idDysTrig3, idDysTrig9, idDysTrig10, idDysTrig2, idDysTrig7, idDysTrig11"
Clepsis dumicolana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB65190,ilCleDumi1
Ophion forticornis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB83482,iyOphFort1
Opilo mollis,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB79426,icOpiMoll1
Orchestes rusci,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB62725,icOrcRusc1
Aethes smeathmanniana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89305,"ilAetSmea6, ilAetSmea2, ilAetSmea3, ilAetSmea1"
Eana incanana,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB82140,ilEanInca1
Eriocrania chrysolepidella,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB100900,"ilEriChry1, ilEriChry4, ilEriChry3, ilEriChry2"
Acidia cognata,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB77504,idAciCogn1
Parasmittina trispinosa,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB79290,tzParTris1
Neoorthocaulis attenuatus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB89638,"cjNeoAtte4, cjNeoAtte16, cjNeoAtte14, cjNeoAtte6, cjNeoAtte9, cjNeoAtte7, cjNeoAtte2, cjNeoAtte15, cjNeoAtte10, cjNeoAtte13, cjNeoAtte5, cjNeoAtte11, cjNeoAtte12, cjNeoAtte3, cjNeoAtte1, cjNeoAtte8"
Lissotriton helveticus,palmate newt,NCBI_taxon,Assemblies - Submitted,PRJEB69287,aLisHel1
Orthotrichum anomalum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB94787,"cbOrtAnom6, cbOrtAnom3, cbOrtAnom7, cbOrtAnom11, cbOrtAnom14, cbOrtAnom16, cbOrtAnom9, cbOrtAnom12, cbOrtAnom15, cbOrtAnom4, cbOrtAnom10, cbOrtAnom13, cbOrtAnom5, cbOrtAnom8, cbOrtAnom1, cbOrtAnom2"
Thuidium tamariscinum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB47850,"cbThuTama2, cbThuTama6, cbThuTama3"
Thalictrum alpinum,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB107281,"dmThaAlpi1, dmThaAlpi2, dmThaAlpi3, dmThaAlpi5, dmThaAlpi4"
Lasius flavus,Not specified,NCBI_taxon,Assemblies - Submitted,PRJEB88759,"iyLasFlav2, iyLasFlav1"
