Organism,Common Name,Common Name Source,Current Status,INSDC ID,ToL ID
Leersia oryzoides,rice cutgrass,NCBI_taxon,Annotation Complete,PRJEB81084,lpLeeOryz1
Nematostella vectensis,starlet sea anemone,NCBI_taxon,Annotation Complete,PRJEB50784,"jaNemVect4, jaNemVect1, jaNemVect6, jaNemVect5, jaNemVect2, jaNemVect3"
Ectemnius cavifrons,Not specified,NCBI_taxon,Annotation Complete,PRJEB66040,"iyEctCavi1, iyEctCavi2"
Eupeodes latifasciatus,Not specified,NCBI_taxon,Annotation Complete,PRJEB47306,"idEupLati2, idEupLati1"
Anas platyrhynchos,mallard,NCBI_taxon,Annotation Complete,PRJEB74596,"bAnaPla1, bAnaPla2"
Nephrocerus scutellatus,Not specified,NCBI_taxon,Annotation Complete,PRJEB55888,idNepScut1
Inula conyza,Not specified,NCBI_taxon,Annotation Complete,PRJEB65695,daInuConz1
Neogale vison,American mink,NCBI_taxon,Annotation Complete,PRJEB74152,"mNeoVis1, mNeoVis2"
Verbascum thapsus,common mullein,NCBI_taxon,Annotation Complete,PRJEB68086,daVerThap1
Thera britannica,Not specified,NCBI_taxon,Annotation Complete,PRJEB52208,"ilTheBrit3, ilTheBrit2, ilTheBrit1, ilTheBrit4"
Lathyrus linifolius,Not specified,NCBI_taxon,Annotation Complete,PRJEB76346,drLatLini1
Rhinolophus hipposideros,lesser horseshoe bat,NCBI_taxon,Annotation Complete,PRJEB75440,"mRhiHip1, mRhiHip2"
Carex acutiformis,Not specified,NCBI_taxon,Annotation Complete,PRJEB81066,"lpCarAcui2, lpCarAcui1"
Acrobasis repandana,Not specified,NCBI_taxon,Annotation Complete,PRJEB65198,"ilAcrRepa3, ilAcrRepa1"
Crocallis elinguaria,Not specified,NCBI_taxon,Annotation Complete,PRJEB44979,ilCroElin1
Aelia acuminata,Not specified,NCBI_taxon,Annotation Complete,PRJEB45166,"ihAelAcum5, ihAelAcum3, ihAelAcum9, ihAelAcum8, ihAelAcum10, ihAelAcum6, ihAelAcum2, ihAelAcum1, ihAelAcum7, ihAelAcum4"
Pecten maximus,Not specified,NCBI_taxon,Annotation Complete,PRJEB22206,"xbPecMaxi2, xbPecMaxi13, xbPecMaxi5, xbPecMaxi3, xbPecMaxi1, xbPecMaxi14, xbPecMaxi4, xPecMax1, xbPecMaxi6"
Leucophora obtusa,Not specified,NCBI_taxon,Annotation Complete,PRJEB57106,"idLeuObtu2, idLeuObtu1, idLeuObtu3"
Trifolium occidentale,Not specified,NCBI_taxon,Annotation Complete,PRJEB74949,drTriOcci1
Glaucopsyche alexis,green-underside blue,NCBI_taxon,Annotation Complete,PRJEB43781,ilGlaAlex1
Dolichopus griseipennis,Not specified,NCBI_taxon,Annotation Complete,PRJEB60316,"idDolGris1, idDolGris4, idDolGris2, idDolGris3"
Lactarius blennius,Not specified,NCBI_taxon,Annotation Complete,PRJEB77627,"gfLacBlen3, gfLacBlen4, gfLacBlen5, gfLacBlen2, gfLacBlen1"
Agrochola lota,Not specified,NCBI_taxon,Annotation Complete,PRJEB55740,"ilAgrLota3, ilAgrLota2, ilAgrLota1"
Elophila nymphaeata,Not specified,NCBI_taxon,Annotation Complete,PRJEB62162,"ilEloNymp1, ilEloNymp2, ilEloNymp3"
Pycnomerus fuliginosus,Not specified,NCBI_taxon,Annotation Complete,PRJEB59803,"icPycFuli1, icPycFuli3, icPycFuli2"
Chrysoperla carnea,Not specified,NCBI_taxon,Annotation Complete,PRJEB43790,"inChrCarn1, inChrCarn2"
Matthiola sinuata,Not specified,NCBI_taxon,Annotation Complete,PRJEB81629,ddMatSinu1
Jacobaea maritima,Not specified,NCBI_taxon,Annotation Complete,PRJEB78964,daJacMari1
Sherardia arvensis,field madder,NCBI_taxon,Annotation Complete,PRJEB50865,daSheArve1
Primula vulgaris,Not specified,NCBI_taxon,Annotation Complete,PRJEB70989,"ddPriVulg1, ddPriVulg3, ddPriVulg2"
Lasioglossum villosulum,Not specified,NCBI_taxon,Annotation Complete,PRJEB64954,"iyLasVill2, iyLasVill1"
Thracia phaseolina,Not specified,NCBI_taxon,Annotation Complete,PRJEB79292,"xbThrPhas2, xbThrPhas4, xbThrPhas3, xbThrPhas1"
Leucoma salicis,Not specified,NCBI_taxon,Annotation Complete,PRJEB58417,"ilLeuSali2, ilLeuSali3, ilLeuSali1"
Agonopterix arenella,Not specified,NCBI_taxon,Annotation Complete,PRJEB47541,ilAgoAren1
Plagiodera versicolora,willow leaf beetle,NCBI_taxon,Annotation Complete,PRJEB61612,"icPlaVers2, icPlaVers1, icPlaVers3"
Veronica arvensis,wall speedwell,NCBI_taxon,Annotation Complete,PRJEB78313,daVerArve1
Rhodophaea formosa,Not specified,NCBI_taxon,Annotation Complete,PRJEB63433,"ilRhoForm2, ilRhoForm5, ilRhoForm4, ilRhoForm3, ilRhoForm1"
Urtica urens,Not specified,NCBI_taxon,Annotation Complete,PRJEB47304,"drUrtUren2, drUrtUren1"
Seladonia tumulorum,Not specified,NCBI_taxon,Annotation Complete,PRJEB45664,"iySelTumu3, iySelTumu5, iySelTumu2, iySelTumu1, iySelTumu4"
Catocala sponsa,Not specified,NCBI_taxon,Annotation Complete,PRJEB66397,ilCatSpon1
Trifolium subterraneum,Not specified,NCBI_taxon,Annotation Complete,PRJEB58233,drTriSubt1
Euphrasia tetraquetra,maritime eyebright,NCBI_taxon,Annotation Complete,PRJEB79885,"daEupTetr6, daEupTetr9, daEupTetr3, daEupTetr4, daEupTetr8, daEupTetr7, daEupTetr2, daEupTetr1, daEupTetr5"
Yponomeuta cagnagella,spindle ermine,NCBI_taxon,Annotation Complete,PRJEB56260,"ilYpoCagn12, ilYpoCagn1, ilYpoPade2, ilYpoCagn11, ilYpoCagn2"
Eupithecia subfuscata,grey pug,NCBI_taxon,Annotation Complete,PRJEB66244,"ilEupSubf1, ilEupSubf4, ilEupSubf2"
Sarcophaga carnaria,camouflaged flesh fly,NCBI_taxon,Annotation Complete,PRJEB59152,"idSarCarn1, idSarCarn2"
Archips podanus,Not specified,NCBI_taxon,Annotation Complete,PRJEB55945,"ilArcPodn3, ilArcPodn5, ilArcPodn1, ilArcPodn2, ilArcPodn4"
Juncus effusus,common rush,NCBI_taxon,Annotation Complete,PRJEB50167,lpJunEffu1
Matricaria discoidea,pineapple weed,NCBI_taxon,Annotation Complete,PRJEB79109,daMatDisc1
Mecyna flavalis,Not specified,NCBI_taxon,Annotation Complete,PRJEB59070,"ilMecFlav3, ilMecFlav1, ilMecFlav2"
Griposia aprilina,Not specified,NCBI_taxon,Annotation Complete,PRJEB46277,ilGriApri1
Craniophora ligustri,Not specified,NCBI_taxon,Annotation Complete,PRJEB42088,"ilCraLigu5, ilCraLigu1, ilCraLigu2, ilCraLigu4, ilCraLigu3"
Lagenorhynchus albirostris,white-beaked dolphin,NCBI_taxon,Annotation Complete,PRJEB60662,mLagAlb1
Amanita rubescens,blusher,NCBI_taxon,Annotation Complete,PRJEB82200,gfAmaRube1
Labia minor,Not specified,NCBI_taxon,Annotation Complete,PRJEB63624,igLabMino1
Rhagium mordax,Not specified,NCBI_taxon,Annotation Complete,PRJEB63421,icRhaMord1
Cydia fagiglandana,Not specified,NCBI_taxon,Annotation Complete,PRJEB66763,"ilCydFagi1, ilCydFagi2"
Gymnoscelis rufifasciata,Not specified,NCBI_taxon,Annotation Complete,PRJEB48373,"ilGymRufi2, ilGymRufi4, ilGymRufi3, ilGymRufi1"
Inocybe obscuroides,Not specified,NCBI_taxon,Annotation Complete,PRJEB65397,"gfInoObsi1, gfInoObsi3, gfInoObsi2, gfInoObsi5, gfInoObsi4"
Agriphila geniculea,Not specified,NCBI_taxon,Annotation Complete,PRJEB51032,ilAgrGeni1
Petrophora chlorosata,Not specified,NCBI_taxon,Annotation Complete,PRJEB61699,"ilPetChlo3, ilPetChlo2, ilPetChlo1"
Eristalis pertinax,Not specified,NCBI_taxon,Annotation Complete,PRJEB44976,"idEriPert4, idEriPert1, idEriPert6, idEriPert3, idEriPert2, idEriPert5"
Cosmia affinis,Not specified,NCBI_taxon,Annotation Complete,PRJEB83741,ilCosAffi1
Blastobasis lacticolella,Not specified,NCBI_taxon,Annotation Complete,PRJEB42085,"ilBlaLact3, ilBlaLact4, ilBlaLact2, ilBlaLact1, ilBlaLact5"
Galium aparine,catchweed,NCBI_taxon,Annotation Complete,PRJEB70987,daGalApar1
Nomada hirtipes,Not specified,NCBI_taxon,Annotation Complete,PRJEB59953,"iyNomHirt2, iyNomHirt3, iyNomHirt1"
Apamea epomidion,Not specified,NCBI_taxon,Annotation Complete,PRJEB55886,"ilApaEpom2, ilApaEpom1"
Carcina quercana,Not specified,NCBI_taxon,Annotation Complete,PRJEB45114,"ilCarQuer2, ilCarQuer1, ilCarQuer3"
Mesoligia furuncula,Not specified,NCBI_taxon,Annotation Complete,PRJEB46288,"ilMesFuru2, ilMesFuru3, ilMesFuru1"
Aporia crataegi,black-veined white,NCBI_taxon,Annotation Complete,PRJEB45663,"ilApoCrat1, ilApoCrat2"
Berberis vulgaris,common barberry,NCBI_taxon,Annotation Complete,PRJEB60725,dmBerVulg1
Drepana falcataria,Not specified,NCBI_taxon,Annotation Complete,PRJEB54058,"ilDreFalc3, ilDreFalc4, ilDreFalc1, ilDreFalc2"
Dioctria linearis,Not specified,NCBI_taxon,Annotation Complete,PRJEB64103,"idDioLine2, idDioLine1"
Earias clorana,Not specified,NCBI_taxon,Annotation Complete,PRJEB74981,"ilEarClor1, ilEarClor2"
Udea ferrugalis,Not specified,NCBI_taxon,Annotation Complete,PRJEB60826,"ilUdeFerr1, ilUdeFerr2"
Triatoma infestans,Not specified,NCBI_taxon,Annotation Complete,PRJEB87950,ihTriInfe1
Mustela nivalis,least weasel,NCBI_taxon,Annotation Complete,PRJEB80974,"mMusNiv3, mMusNiv2"
Viola odorata,Not specified,NCBI_taxon,Annotation Complete,PRJEB69495,ddVioOdor1
Schoenoplectus lacustris,Not specified,NCBI_taxon,Annotation Complete,PRJEB50863,lpSchLacu1
Lithophane leautieri,Not specified,NCBI_taxon,Annotation Complete,PRJEB59369,ilLitLeau1
Laetiporus sulphureus,chicken-of-the-woods,NCBI_taxon,Annotation Complete,PRJEB47305,"gfLaeSulp2, gfLaeSulp1"
Sesia bembeciformis,Not specified,NCBI_taxon,Annotation Complete,PRJEB52658,"ilSesBemb3, ilSesBemb2, ilSesBemb1"
Argyresthia goedartella,Not specified,NCBI_taxon,Annotation Complete,PRJEB59389,"ilArgGoed5, ilArgGoed4, ilArgGoed1, ilArgGoed3, ilArgGoed2"
Eupithecia vulgata,Not specified,NCBI_taxon,Annotation Complete,PRJEB54941,"ilEupVulg4, ilEupVulg3, ilEupVulg2, ilEupVulg1"
Taphrorychus bicolor,Not specified,NCBI_taxon,Annotation Complete,PRJEB59210,"icTapBico2, icTapBico1, icTapBico3"
Entomortierella parvispora,Not specified,NCBI_taxon,Annotation Complete,PRJEB63113,gzEntParv1
Orthosia incerta,Not specified,NCBI_taxon,Annotation Complete,PRJEB57305,"ilOrtInce1, ilOrtInce2"
Amphimallon solstitiale,Not specified,NCBI_taxon,Annotation Complete,PRJEB61996,"icAmpSols2, icAmpSols3, icAmpSols1"
Anas acuta,northern pintail,NCBI_taxon,Annotation Complete,PRJEB64745,bAnaAcu1
Lutra lutra,Eurasian river otter,NCBI_taxon,Annotation Complete,PRJEB22206,"mLutLut29, mLutLut89, mLutLut53, mLutLut55, mLutLut52, mLutLut58, mLutLut84, mLutLut75, mLutLut42, mLutLut61, mLutLut82, mLutLut87, mLutLut92, mLutLut91, mLutLut65, mLutLut77, mLutLut4, mLutLut80, mLutLut43, mLutLut18, mLutLut44, mLutLut76, mLutLut24, mLutLut28, mLutLut14, mLutLut48, mLutLut16, mLutLut25, mLutLut2, mLutLut34, mLutLut22, mLutLut79, mLutLut7, mLutLut74, mLutLut47, mLutLut23, mLutLut88, mLutLut15, mLutLut20, mLutLut21, mLutLut97, mLutLut40, mLutLut19, mLutLut5, mLutLut3, mLutLut6, mLutLut1, mLutLut36, mLutLut90, mLutLut62, mLutLut46, mLutLut83, mLutLut17, mLutLut10, mLutLut56, mLutLut27, mLutLut72, mLutLut51, mLutLut71, mLutLut45, mLutLut33, mLutLut68, mLutLut57, mLutLut32, mLutLut12, mLutLut66, mLutLut13, mLutLut54, mLutLut39, mLutLut69, mLutLut67, mLutLut60, mLutLut35, mLutLut95, mLutLut78, mLutLut86, mLutLut85, mLutLut94, mLutLut37, mLutLut41, mLutLut50, mLutLut8, mLutLut64, mLutLut63, mLutLut26, mLutLut70, mLutLut9, mLutLut11, mLutLut31, mLutLut59, mLutLut49, mLutLut81, mLutLut38, mLutLut30, mLutLut73, mLutLut96, mLutLut93"
Andrena trimmerana,Not specified,NCBI_taxon,Annotation Complete,PRJEB56903,"iyAndTrim2, iyAndTrim1"
Cerastoderma edule,Not specified,NCBI_taxon,Annotation Complete,PRJEB68233,"xbCerEdul5, xbCerEdul3, xbCerEdul2, xbCerEdul4, xbCerEdul1"
Salix viminalis,osier,NCBI_taxon,Annotation Complete,PRJEB76535,"ddSalVimi2, ddSalVimi1"
Erebia ligea,Arran brown butterfly,NCBI_taxon,Annotation Complete,PRJEB42091,ilEreLige1
Lysandra coridon,Not specified,NCBI_taxon,Annotation Complete,PRJEB42939,"ilLysCori1, ilLysCori70, ilLysCori105, ilLysCori30, ilLysCori101, ilLysCori2, ilLysCori39, ilLysCori56, ilLysCori112"
Tholera decimalis,Not specified,NCBI_taxon,Annotation Complete,PRJEB52580,ilThoDeci1
Incurvaria masculella,Not specified,NCBI_taxon,Annotation Complete,PRJEB55134,"ilIncMasc1, ilIncMasc2, ilIncMasc3"
Magelona johnstoni,Not specified,NCBI_taxon,Annotation Complete,PRJEB71421,"wdMagJohn1, wdMagJohn19, wdMagJohn22, wdMagJohn15, wdMagJohn16, wdMagJohn21, wdMagJohn2, wdMagJohn13, wdMagJohn20, wdMagJohn14, wdMagJohn17, wdMagJohn18, wdMagJohn12"
Endomychus coccineus,Not specified,NCBI_taxon,Annotation Complete,PRJEB62174,"icEndCocc5, icEndCocc4, icEndCocc3, icEndCocc1, icEndCocc2"
Flavoplaca marina,Not specified,NCBI_taxon,Annotation Complete,PRJEB59078,"glFlaMari1, glFlaMari2"
Pterostichus niger,Not specified,NCBI_taxon,Annotation Complete,PRJEB56055,"icPteNige1, icPteNige2"
Cryptocephalus moraei,Not specified,NCBI_taxon,Annotation Complete,PRJEB54796,"icCryMora3, icCryMora1, icCryMora2"
Argentina anserina,silverweed cinquefoil,NCBI_taxon,Annotation Complete,PRJEB46834,drPotAnse1
Phoxinus phoxinus,Eurasian minnow,NCBI_taxon,Annotation Complete,PRJEB59307,fPhoPho1
Anania coronata,Not specified,NCBI_taxon,Annotation Complete,PRJEB83470,ilAnaCoro1
Coprinellus micaceus,Not specified,NCBI_taxon,Annotation Complete,PRJEB58951,gfCopMica1
Paulownia tomentosa,Not specified,NCBI_taxon,Annotation Complete,PRJEB87966,daPauTome1
Tiliacea aurago,Not specified,NCBI_taxon,Annotation Complete,PRJEB57309,"ilTilAura2, ilTilAura1"
Melitaea cinxia,Glanville fritillary,NCBI_taxon,Annotation Complete,PRJEB42941,"ilMelCinx2, ilMelCinx1"
Noctua fimbriata,Not specified,NCBI_taxon,Annotation Complete,PRJEB42101,ilNocFimb1
Melieria omissa,Not specified,NCBI_taxon,Annotation Complete,PRJEB67432,"idMelOmis1, idMelOmis3, idMelOmis2"
Amblyteles armatorius,Not specified,NCBI_taxon,Annotation Complete,PRJEB50783,"iyAmbArma3, iyAmbArma2, iyAmbArma1, iyAmbArma6, iyAmbArma5, iyAmbArma4"
Macaria brunneata,Not specified,NCBI_taxon,Annotation Complete,PRJEB74572,ilMacBrun1
Sphagnum palustre,Not specified,NCBI_taxon,Annotation Complete,PRJEB79707,"csSphPalu4, csSphPalu2, csSphPalu5, csSphPalu3, csSphPalu1, csSphPalu6"
Dunaliella primolecta,Not specified,NCBI_taxon,Annotation Complete,PRJEB46283,"ucDunPrim2, ucDunPrim4, ucDunPrim1"
Pherbina coryleti,Not specified,NCBI_taxon,Annotation Complete,PRJEB52654,"idPheCory2, idPheCory7, idPheCory6, idPheCory3, idPheCory1, idPheCory5, idPheCory4"
Acronicta aceris,Not specified,NCBI_taxon,Annotation Complete,PRJEB45160,ilAcrAcer1
Euphorbia peplus,petty spurge,NCBI_taxon,Annotation Complete,PRJEB52210,ddEupPepu3
Hecatera dysodea,Not specified,NCBI_taxon,Annotation Complete,PRJEB43521,"ilHecDyso2, ilHecDyso1"
Aricia agestis,brown argus,NCBI_taxon,Annotation Complete,PRJEB42082,"ilAriAges1, ilAriAges2"
Brachythecium rutabulum,Not specified,NCBI_taxon,Annotation Complete,PRJEB80448,"cbBraRuta3, cbBraRuta4, cbBraRuta1, cbBraRuta6, cbBraRuta2, cbBraRuta5"
Platycheirus albimanus,Not specified,NCBI_taxon,Annotation Complete,PRJEB45149,"idPlaAlba7, idPlaAlba3, idPlaAlba6, idPlaAlba4, idPlaAlba5, idPlaAlba1, idPlaAlba2"
Talpa europaea,European mole,NCBI_taxon,Annotation Complete,PRJEB71539,mTalEur1
Melangyna quadrimaculata,Not specified,NCBI_taxon,Annotation Complete,PRJEB56133,idMelQuad1
Pieris brassicae,large cabbage white,NCBI_taxon,Annotation Complete,PRJEB42109,"ilPieBrab4, ilPieBrab1, ilPieBrab2, ilPieBrab3"
Cosmia pyralina,Not specified,NCBI_taxon,Annotation Complete,PRJEB54089,"ilCosPyra2, ilCosPyra3, ilCosPyra1"
Lepidochitona cinerea,Not specified,NCBI_taxon,Annotation Complete,PRJEB72110,"xpLepCine5, xpLepCine8, xpLepCine1, xpLepCine2, xpLepCine6, xpLepCine7, xpLepCine4, xpLepCine3"
Tenthredo mesomela,Not specified,NCBI_taxon,Annotation Complete,PRJEB52924,"iyTenMeso5, iyTenMeso2, iyTenMeso4, iyTenMeso1, iyTenMeso3"
Lasioglossum morio,Not specified,NCBI_taxon,Annotation Complete,PRJEB46258,"iyLasMori2, iyLasMori1"
Nymphalis c-album,Not specified,NCBI_taxon,Annotation Complete,PRJEB55961,"ilPolCalb2, ilPolCalb1, ilPolCalb3"
Ligustrum vulgare,common privet,NCBI_taxon,Annotation Complete,PRJEB65697,daLigVulg1
Onchidella celtica,Celtic sea slug,NCBI_taxon,Annotation Complete,PRJEB71537,"xgOncCelt2, xgOncCelt1, xgOncCelt3, xgOncCelt5, xgOncCelt4"
