organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000018702	NBNSYS0000027317	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Ablabesmyia	Ablabesmyia longistyla	Fittkau, 1962	Species			Y	Y		Y	Y																																				
NBNORG0000018703	NBNSYS0000027318	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Ablabesmyia	Ablabesmyia monilis	(Linnaeus, 1758)	Species	Ablabesmyia maculata;Tipula maculata;Tipula monilis		Y	Y		Y	Y																																				
NBNORG0000018704	NBNSYS0000027319	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Ablabesmyia	Ablabesmyia phatta	(Egger, 1863)	Species	Tanypus phatta		Y	Y		Y	Y																																				
NBNORG0000041014	NBNSYS0100001393	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Acamptocladius	Acamptocladius reissi	Cranston & Saether, 1981	Species			Y	Y		Y	Y																																				
NBNORG0000018821	NBNSYS0000027463	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Acamptocladius	Acamptocladius submontanus	(Edwards, 1932)	Species	Spaniotoma submontanus		Y	Y		Y	Y																																				
NBNORG0000021088	NBNSYS0000030395	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Acanthocnema	Acanthocnema glaucescens	(Loew, 1864)	Species	Cordylura glaucescens		Y	Y		Y	Y	4	Notable	[Scarce]	[GB Rarity listing] (1)	predator		wetland	running water		W113		Trichoptera														Notable										
NBNORG0000021087	NBNSYS0000030394	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Acanthocnema	Acanthocnema nigrimana	(Zetterstedt, 1846)	Species	Cordylura nigrimana		Y	Y		Y	Y	8	RDB 3	[Rare]	[GB Rarity listing] (1)	predator		wetland	running water				Trichoptera								RedList_GB_Pre94-R																
NBNORG0000085502	NHMSYS0001593149	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops robustus	Sars, 1863	Species	Acanthocyclops robustus subsp. robustus		Y	Y		Y	Y																																				
NBNORG0000085504	NHMSYS0001593151	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Species	Cyclops sensitivus		Y	Y		Y	Y																																				
NBNORG0000085505	NHMSYS0001593152	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops venustus	(Norman & Scott, 1906)	Species	Acanthocyclops venustus subsp. venustus;Cyclops venustus		Y	Y		Y	Y																																				
NBNORG0000085507	NHMSYS0001593154	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops vernalis	(Fischer, 1853)	Species	Cyclops vernalis		Y	Y		Y	Y																																				
NBNORG0000085509	NHMSYS0001593156	Animalia	Arthropoda	Branchiopoda	Diplostraca	Acantholeberidae	Acantholeberis	Acantholeberis curvirostris	(O. F. Müller, 1776)	Species	Daphne curvirostris		Y	Y		Y	Y																																				
NBNORG0000085511	NHMSYS0001593159	Animalia	Arthropoda	Maxillopoda	Calanoida	Acartiidae	Acartia	Acartia (Acanthacartia) bifilosa	(Giesbrecht, 1881)	Species	Acanthacartia bifilosa;Acartia (Acanthacartia) bifilosa subsp. bifilosa;Acartia bifilosa;Dias bifilosa		Y	Y	Y	Y	Y																																				
NBNORG0000029249	NHMSYS0021050853	Animalia	Arthropoda	Maxillopoda	Calanoida	Acartiidae	Acartia	Acartia (Acartiura) clausi	Giesbrecht, 1889	Species	Acartia clausi;Acartia clausii;Acartiura clausi		Y	Y	Y	Y	Y																																				
NBNORG0000085514	NHMSYS0001593162	Animalia	Arthropoda	Maxillopoda	Calanoida	Acartiidae	Acartia	Acartia (Acartiura) discaudata	(Giesbrecht, 1881)	Species	Acartia discaudata;Acartiura discaudata;Dias discaudata		Y	Y	Y	Y	Y																																				
NBNORG0000057240	NHMSYS0021143779	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Acentria	Acentria ephemerella	([Denis & Schiffermüller], 1775)	Species	Acentria nivea		Y	Y		Y	Y	1				herbivore	nectivore						Elodea canadensis																								
NBNORG0000012789	NBNSYS0000012748	Animalia	Arthropoda	Insecta	Diptera	Dolichopodidae	Achalcus	Achalcus flavicollis	(Meigen, 1824)	Species	Porphyrops flavicollis		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat			Arthropoda																								
NBNORG0000043668	NBNSYS0100009212	Animalia	Nematoda	Adenophorea	Chromadorida	Achromadoridae	Achromadora	Achromadora ruricola	(De Man, 1880) Micoletzky, 1924	Species				Y	Y	Y	Y																																				
NBNORG0000043669	NBNSYS0100009213	Animalia	Nematoda	Adenophorea	Chromadorida	Achromadoridae	Achromadora	Achromadora terricola	(de Man, 1880) Micoletzky, 1924	Species				Y	Y	Y	Y																																				
NBNORG0000032539	NHMSYS0021052521	Animalia	Arthropoda	Maxillopoda	Siphonostomatoida	Lernaeopodidae	Achtheres	Achtheres percarum	Nordmann, 1832	Species	Actheres percarum	Y	Y	Y	Y	Y	Y																																				
NBNORG0000041023	NBNSYS0100001404	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Achyrolimonia	Achyrolimonia decemmaculata	(Loew, 1873)	Species	Limnobia decemmaculata;Limonia decemmaculata		Y	Y		Y	Y	1				saprophagous	does not feed	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> trunks & branches, fungal fruiting bodies	A212	coarse woody debris: c	Fagales																								
NBNORG0000010012	NBNSYS0000007625	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Acilius	Acilius canaliculatus	(Nicolai, 1822)	Species	Acilius fasciatus		Y	Y		Y	Y	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		acid mire: B, grazing marsh - salinity: 0, grazing marsh - status: 4	Arthropoda														NS-excludes										
NBNORG0000010013	NBNSYS0000007626	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Acilius	Acilius sulcatus	(Linnaeus, 1758)	Species	Acilius scoticus;Acilus sulcatus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda																								
NBNORG0000018748	NBNSYS0000027374	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Acricotopus	Acricotopus lucens	(Zetterstedt, 1850)	Species	Acricotopus coaequatus;Acricotopus lucidus;Acricotopus moturus;Acricotopus nitidicollis;Acricotopus obsepiens;Acricotopus patibilis;Acricotopus pervulsus;Chironomus coaequatus;Chironomus lucens;Chironomus lucidus;Chironomus moturus;Chironomus nitidicollis;Chironomus obsepiens;Chironomus patibilis;Chironomus pervulsus		Y	Y		Y	Y																																				
NBNORG0000086649	NHMSYS0001701871	Animalia	Mollusca	Gastropoda		Acroloxidae	Acroloxus	Acroloxus lacustris	(Linnaeus, 1758)	Species				Y		Y	Y	1				herbivore	herbivore	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated		coarse woody debris: c, grazing marsh - salinity: 0, grazing marsh - status: 1	Algae										RedList_GB_post2001-LC														
NBNORG0000085517	NHMSYS0001593165	Animalia	Arthropoda	Branchiopoda	Diplostraca	Eurycercidae	Acroperus	Acroperus angustatus	Sars, 1863	Species			Y	Y		Y	Y																																				
NBNORG0000085519	NHMSYS0001593167	Animalia	Arthropoda	Branchiopoda	Diplostraca	Eurycercidae	Acroperus	Acroperus harpae	(Baird, 1835)	Species	Lynceus harpae		Y	Y		Y	Y																																				
NBNORG0000012837	NBNSYS0000012806	Animalia	Arthropoda	Insecta	Diptera	Dolichopodidae	Acropsilus	Acropsilus niger	(Loew, 1869)	Species	Chrysotus niger		Y	Y		Y	Y	8	DD; NR	DD; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water		W126		Arthropoda									RedList_GB_post94-DD															
NBNORG0000043682	NBNSYS0100009268	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Ademon	Ademon decrescens	(Nees, 1811)	Species			Y	Y		Y	Y																																				
NBNORG0000010703	NBNSYS0000008528	Animalia	Arthropoda	Insecta	Trichoptera	Leptoceridae	Adicella	Adicella filicornis	(Pictet, 1834)	Species			Y	Y		Y	Y	16	EN; NR	EN; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)		possible nectivore	wetland	running water	seepages		seepage (calcareous): A, seepage (stable cliff): A, seepage (woodland): A											RedList_GB_post2001-EN			NR-includes											
NBNORG0000010704	NBNSYS0000008529	Animalia	Arthropoda	Insecta	Trichoptera	Leptoceridae	Adicella	Adicella reducta	(McLachlan, 1865)	Species			Y	Y		Y	Y	1		LC	IUCN Threat listing (1)		possible nectivore	wetland	running water	flow >> slow flow		coarse woody debris: d, grazing marsh - salinity: 0, grazing marsh - status: 1											RedList_GB_post2001-LC														
NBNORG0000043683	NBNSYS0100009270	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta barbata	Janson, 1893	Species				Y		Y	Y																																				
NBNORG0000043684	NBNSYS0100009271	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta gracilis	Janson, 1893	Species				Y		Y	Y																																				
NBNORG0000043685	NBNSYS0100009272	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta oculata	(Milne, 1886)	Species				Y		Y	Y																																				
NBNORG0000043686	NBNSYS0100009273	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta tuberculosa	Janson, 1893	Species				Y		Y	Y																																				
NBNORG0000043687	NBNSYS0100009274	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta vaga	(Davis, 1873)	Species	Adineta vaga subsp. major;Adineta vaga subsp. minor		Y	Y		Y	Y																																				
NBNORG0000011761	NBNSYS0000011587	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	(Linnaeus in Hasselquist, 1762)	Species	Culex aegypti	Y	Y	Y		Y	Y	1				saprophagous	haematophagous	open habitats																													
NBNORG0000122317	NHMSYS0021164648	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	(Skuse, 1894)	Species		Y	Y	Y		Y	Y																																				
NBNORG0000011763	NBNSYS0000011589	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cinereus	Meigen, 1818	Species			Y	Y		Y	Y	1				saprophagous	haematophagous	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated			Mammalia																								
NBNORG0000011762	NBNSYS0000011588	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes vexans	(Meigen, 1830)	Species	Culex vexans		Y	Y		Y	Y	1				saprophagous	haematophagous	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated, shallow freshwater pond >> temporary water dependant		grazing marsh - salinity: 0, grazing marsh - status: 2	Homo sapiens																								
NBNORG0000043689	NBNSYS0100009282	Animalia	Annelida			Aeolosomatidae	Aeolosoma	Aeolosoma beddardi	Michaelsen, 1900	Species			Y	Y		Y	Y																																				
NBNORG0000043690	NBNSYS0100009283	Animalia	Annelida			Aeolosomatidae	Aeolosoma	Aeolosoma headleyi	Beddard, 1888	Species			Y	Y		Y	Y																																				
NBNORG0000043691	NBNSYS0100009284	Animalia	Annelida			Aeolosomatidae	Aeolosoma	Aeolosoma hemprichi	Ehrenberg	Species			Y	Y		Y	Y																																				
NBNORG0000043692	NBNSYS0100009285	Animalia	Annelida			Aeolosomatidae	Aeolosoma	Aeolosoma quaternarium	Ehrenberg, 1831	Species			Y	Y		Y	Y																																				
NBNORG0000043693	NBNSYS0100009286	Animalia	Annelida			Aeolosomatidae	Aeolosoma	Aeolosoma tenebrarum	Vejdovský, 1880	Species			Y	Y		Y	Y																																				
NBNORG0000043694	NBNSYS0100009287	Animalia	Annelida			Aeolosomatidae	Aeolosoma	Aeolosoma variegatum	Vejdovský, 1886	Species			Y	Y		Y	Y																																				
NBNORG0000099276	NHMSYS0020546806	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Aeshna	Aeshna affinis	Vander Linden, 1820	Species			Y	Y		Y	Y	1		LC	IUCN Threat listing (1)																																
NBNORG0000008983	NBNSYS0000005623	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Aeshna	Aeshna caerulea	(Strom, 1783)	Species	Aeschna caerulea		Y	Y		Y	Y	8	NS; VU	Nationally Scarce; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated, sphagnum/moss lawn	W312		Arthropoda							RedList_Global_post2001-LC			RedList_GB_post2001-VU														
NBNORG0000008986	NBNSYS0000005626	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Aeshna	Aeshna cyanea	(Müller, 1764)	Species	Aeschna cyanea		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda										RedList_GB_post2001-LC														
NBNORG0000008985	NBNSYS0000005625	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Aeshna	Aeshna grandis	(Linnaeus, 1758)	Species	Aeschna grandis		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
NBNORG0000008988	NHMSYS0021689820	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Anaciaeschna	Aeshna isoceles	(Müller, 1767)	Species	Aeschna isosceles;Aeshna isosceles;Anaciaeschna isoceles;Anaciaeschna isosceles;Isoaeschna isoceles		Y	Y		Y	Y	16	EN; Legal Protection; NS; Section 41 Priority Species	EN; Legal protection; Nationally Scarce; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (2)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated	W314	grazing marsh - salinity: 0, grazing marsh - status: 5	Arthropoda							RedList_Global_post2001-LC			RedList_GB_post2001-EN					BAP-2007	England_NERC_S.41				WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c				
NBNORG0000008984	NBNSYS0000005624	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Aeshna	Aeshna juncea	(Linnaeus, 1758)	Species	Aeschna juncea		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		acid mire: C, grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda										RedList_GB_post2001-LC														
NBNORG0000008987	NBNSYS0000005627	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Aeshna	Aeshna mixta	Latreille, 1805	Species	Aeschna mixta		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated		grazing marsh - salinity: 0, grazing marsh - status: 2	Arthropoda							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
NBNORG0000087092	NBNSYS0000007585	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus affinis	(Paykull, 1798)	Species	Agabus (Gaurodytes) affinis		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	base status >> acid, shallow freshwater pond, sphagnum/moss lawn	W312	acid mire: B																									
NBNORG0000087084	NBNSYS0000007586	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus arcticus	(Paykull, 1798)	Species	Agabus (Acatodes) arcticus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats; lake	lakeside emergent/aquatic vegetation, shallow freshwater pond >> aquatic: well vegetated	W311	acid mire: C																				NI_Priority					
NBNORG0000087093	NBNSYS0000007587	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus biguttatus	(Olivier, 1795)	Species	Agabus (Gaurodytes) biguttatus		Y	Y		Y	Y	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	springs & caves		grazing marsh - salinity: 0, grazing marsh - status: 3, seepage (calcareous): B															NS-excludes										
NBNORG0000087094	NBNSYS0000007588	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus bipustulatus	(Linnaeus, 1767)	Species	Agabus (Gaurodytes) bipustulatus;Agabus solieri		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond		grazing marsh - salinity: 0, grazing marsh - status: 1																									
NBNORG0000087095	NBNSYS0000007589	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus brunneus	(Fabricius, 1798)	Species	Agabus (Gaurodytes) brunneus		Y	Y		Y	Y	8	NR; Section 41 Priority Species; VU	Nationally Rare; S41. Priority Species; VU	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	predator	predator	wetland	running water	flow >> fast flow, unmodified fast flowing streams			Arthropoda										RedList_GB_post2001-VU					BAP-2007	England_NERC_S.41								
NBNORG0000087085	NBNSYS0000007591	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus congener	(Thunberg, 1794)	Species	Agabus (Acatodes) congener		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	base status >> acid, shallow freshwater pond >> aquatic: sparsely vegetated	W311	acid mire: B, grazing marsh - salinity: 0, grazing marsh - status: 2																				NI_Priority					
NBNORG0000087096	NBNSYS0000007592	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus conspersus	(Marsham, 1802)	Species	Agabus (Gaurodytes) conspersus		Y	Y		Y	Y	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	brackish pools & ditches; saline lagoon; saltmarsh	aquatic: well vegetated		grazing marsh - salinity: 1, grazing marsh - status: 4	Animalia														NS-excludes					NI_Priority					
NBNORG0000087097	NBNSYS0000007593	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus didymus	(Olivier, 1795)	Species	Agabus (Gaurodytes) didymus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water	flow >> slow flow		grazing marsh - salinity: 0, grazing marsh - status: 2																									
NBNORG0000087098	NBNSYS0000007594	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus guttatus	(Paykull, 1798)	Species	Agabus (Gaurodytes) guttatus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water	unmodified fast flowing streams		seepage (acid-neutral): C																									
NBNORG0000087088	NBNSYS0000007595	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus labiatus	(Brahm, 1790)	Species	Agabus (Agabus) labiatus;Agabus femoralis		Y	Y		Y	Y	4	NS; NT	Nationally Scarce; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated, shallow freshwater pond >> aquatic: well vegetated, shallow freshwater pond >> temporary water dependant		grazing marsh - salinity: 0, grazing marsh - status: 4											RedList_GB_post2001-NT				Notable-B										
NBNORG0000087099	NBNSYS0000007596	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus melanarius	Aubé, 1837	Species	Agabus (Gaurodytes) melanarius;Agabus tarsatus		Y	Y		Y	Y	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	seepages >> shaded seepage, seepages >> woodland seepage	W126	grazing marsh - salinity: 0, grazing marsh - status: 4															NS-excludes										
NBNORG0000087100	NBNSYS0000007598	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus nebulosus	(Forster, 1771)	Species	Agabus (Gaurodytes) nebulosus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1																									
NBNORG0000087101	NBNSYS0000007599	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus paludosus	(Fabricius, 1801)	Species	Agabus (Gaurodytes) paludosus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water	flow >> slow flow		grazing marsh - salinity: 0, grazing marsh - status: 2																									
NBNORG0000087102	NBNSYS0000007600	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus striolatus	(Gyllenhal, 1808)	Species	Agabus (Gaurodytes) striolatus		Y	Y		Y	Y	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated; wetland	acid & sedge peats; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, shallow freshwater pond >> aquatic: well vegetated	W313												RedList_GB_post2001-VU														
NBNORG0000087086	NBNSYS0000007601	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus sturmii	(Gyllenhal in Schönherr, 1808)	Species	Agabus (Acatodes) sturmii;Agabus sturmi		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1																									
NBNORG0000087089	NBNSYS0000007602	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus uliginosus	(Linnaeus, 1761)	Species	Agabus (Agabus) uliginosus;Agabus dispar;Colymbetes dispar		Y	Y		Y	Y	4	NS; NT	Nationally Scarce; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		grazing marsh - salinity: 0, grazing marsh - status: 4											RedList_GB_post2001-NT				Notable-B			Scottish_Biodiversity_List							
NBNORG0000087090	NBNSYS0000007603	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus undulatus	(Schrank, 1776)	Species	Agabus (Agabus) undulatus;Agabus abbreviatus		Y	Y		Y	Y	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated	W314												RedList_GB_post2001-NT														
NBNORG0000087103	NBNSYS0000007604	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	Agabus unguicularis	(Thomson, C.G., 1867)	Species	Agabus (Gaurodytes) unguicularis		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated	W313	grazing marsh - salinity: 0, grazing marsh - status: 2																									
NBNORG0000010534	NBNSYS0000008346	Animalia	Arthropoda	Insecta	Trichoptera	Glossosomatidae	Agapetus	Agapetus delicatulus	McLachlan, 1884	Species			Y	Y		Y	Y	1		LC	IUCN Threat listing (1)		possible nectivore	wetland	running water														RedList_GB_post2001-LC														
NBNORG0000010535	NBNSYS0000008347	Animalia	Arthropoda	Insecta	Trichoptera	Glossosomatidae	Agapetus	Agapetus fuscipes	Curtis, 1834	Species			Y	Y		Y	Y	1		LC	IUCN Threat listing (1)		possible nectivore	wetland	running water			coarse woody debris: e											RedList_GB_post2001-LC														
NBNORG0000010536	NBNSYS0000008348	Animalia	Arthropoda	Insecta	Trichoptera	Glossosomatidae	Agapetus	Agapetus ochripes	Curtis, 1834	Species	Agapetus comatus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)		possible nectivore	wetland	running water														RedList_GB_post2001-LC														
NBNORG0000041007	NBNSYS0100001383	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Agassiziella	Agassiziella angulipennis	(Hampson, 1891)	Species	Oligostigma angulipennis	Y	Y	Y		Y	Y																																				
NBNORG0000010537	NBNSYS0000008349	Animalia	Arthropoda	Insecta	Trichoptera	Hydroptilidae	Agraylea	Agraylea multipunctata	Curtis, 1834	Species			Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	herbivore	possible nectivore	wetland	acid & sedge peats; marshland	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1											RedList_GB_post2001-LC														
NBNORG0000010538	NBNSYS0000008350	Animalia	Arthropoda	Insecta	Trichoptera	Hydroptilidae	Agraylea	Agraylea sexmaculata	Curtis, 1834	Species	Agraylea pallidula		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	herbivore	possible nectivore	wetland	acid & sedge peats; marshland	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 2											RedList_GB_post2001-LC														
NBNORG0000040861	NBNSYS0100000433	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Agrenia	Agrenia bidenticulata	(Tullberg, 1876)	Species			Y	Y		Y	Y																																				
NBNORG0000021716	NBNSYS0000031285	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Agriotypus	Agriotypus armatus	Curtis, 1832	Species	Agriotypus abnormis		Y	Y		Y	Y																																				
NBNORG0000095971	NHMSYS0021008788	Animalia	Arthropoda	Insecta	Trichoptera	Phryganeidae	Agrypnetes	Agrypnetes crassicornis	(McLachlan, 1876)	Species	Agrypnia crassicornis		Y	Y		Y	Y	32	CR; NR	CR; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)		possible nectivore	wetland	lake; marshland	deep water, shallow freshwater pond >> aquatic: sparsely vegetated, wave washed edges	W212		Characeae										RedList_GB_post2001-CR			NR-includes											
