organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000087574	NBNSYS0000173028	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Berosus	Berosus fulvus	Kuwert, 1888	Species	Berosus (Enoplurus) fulvus;Berosus spinosus		Y	Y		Y	Y	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	brackish pools & ditches; saline lagoon; saltmarsh	aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 5											RedList_GB_post2001-VU														
NBNORG0000087571	NBNSYS0000007739	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Berosus	Berosus luridus	(Linnaeus, 1761)	Species	Berosus (Berosus) luridus		Y	Y		Y	Y	4	NS; NT	Nationally Scarce; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated	W211	grazing marsh - salinity: 0, grazing marsh - status: 4											RedList_GB_post2001-NT				Notable-B			Scottish_Biodiversity_List							
NBNORG0000087572	NBNSYS0000007740	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Berosus	Berosus signaticollis	(Charpentier, 1825)	Species	Berosus (Berosus) signaticollis		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 2																									
NBNORG0000018685	NBNSYS0000027289	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia annulipes	(Meigen, 1830)	Species	Ceratopogon annulipes		Y	Y		Y	Y																																				
NBNORG0000041232	NBNSYS0100001990	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia bicolor	(Meigen, 1804)	Species	Ceratopogon bicolor		Y	Y		Y	Y																																				
NBNORG0000041233	NBNSYS0100001991	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia calceata	(Haliday in Walker, 1856)	Species	Ceratopogon calceatus		Y	Y		Y	Y																																				
NBNORG0000041235	NBNSYS0100001993	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia coracina	(Zetterstedt, 1850)	Species	Bezzia albipes;Ceratopogon albipes;Ceratopogon coracinus		Y	Y		Y	Y																																				
NBNORG0000018686	NBNSYS0000027290	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia decincta	Edwards, 1932	Species			Y	Y		Y	Y																																				
NBNORG0000041236	NBNSYS0100001994	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia fascispinosa	Clastrier, 1962	Species			Y	Y		Y	Y																																				
NBNORG0000018687	NBNSYS0000027291	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia flavicornis	(Staeger, 1839)	Species	Bezzia flavipalpis;Ceratopogon flavicornis;Ceratopogon flavipalpis		Y	Y		Y	Y																																				
NBNORG0000041237	NBNSYS0100001995	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia leucogaster	(Zetterstedt, 1850)	Species	Bezzia xanthocephala;Ceratopogon leucogaster		Y	Y		Y	Y																																				
NBNORG0000041238	NBNSYS0100001996	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia multiannulata	(Strobl, 1906)	Species	Ceratopogon multiannulatus		Y	Y		Y	Y																																				
NBNORG0000041239	NBNSYS0100001997	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia nigritula	(Zetterstedt, [1838])	Species	Ceratopogon nigritulus		Y	Y		Y	Y																																				
