informal_group	jncc_name	jncc_tvk	resolved_name	resolved_tvk	resolved_in_taxa
lichen	Gyalecta jenensis var. jenensis	NHMSYS0001483302	Secoliga jenensis	NHMSYS0021797602	YES
lichen	Gyalecta jenensis var. macrospora	NHMSYS0001483303	Secoliga macrospora	NHMSYS0021797652	YES
lichen	Gyalecta ulmi	NBNSYS0000016972	Phialopsis ulmi	NHMSYS0021797647	YES
lichen	Ionaspis lacustris	NHMSYS0001485520	Hymenelia lacustris	NHMSYS0001484714	YES
lichen	Ionaspis obtecta	NHMSYS0001485521	Hymenelia obtecta	NHMSYS0001484715	YES
lichen	Ionaspis odora	NHMSYS0001485522	Hymenelia odora	NHMSYS0021843021	YES
lichen	Ionaspis suaveolens	NHMSYS0001485524	Hymenelia suaveolens	NHMSYS0021843026	YES
lichen	Lecania subfuscula	NHMSYS0001486288	Bacidina subfuscula	NHMSYS0021645400	YES
lichen	Lecanographa dialeuca	NHMSYS0020039021	Lecanographa atlantica	NHMSYS0021761070	YES
lichen	Lecanographa dilleniana	BMSSYS0000046983	Psoronactis dilleniana	BMSSYS0000050266	YES
lichen	Lecanora achariana	NBNSYS0000018560	Protoparmeliopsis achariana	NHMSYS0001494845	YES
lichen	Lecanora carpinea	NBNSYS0000018576	Glaucomaria carpinea	NHMSYS0021645535	YES
lichen	Lecanora muralis	NBNSYS0000018604	Protoparmeliopsis muralis	NHMSYS0001494846	YES
lichen	Lecanora poliophaea	NBNSYS0000018610	Myriolecis poliophaea	NHMSYS0021645645	YES
lichen	Lecanora populicola	NBNSYS0000018612	Myriolecis populicola	NHMSYS0021645650	YES
lichen	Lecanora rupicola var. efflorens	NBNSYS0000018620	Glaucomaria rupicola var. efflorens	NHMSYS0021645865	YES
lichen	Lecanora rupicola var. rupicola	NHMSYS0001486447	Glaucomaria rupicola var. rupicola	NHMSYS0021645870	YES
lichen	Lecanora swartzii	NHMSYS0001486482	Glaucomaria swartzii	NHMSYS0021645540	YES
lichen	Lecidea alpestris	NHMSYS0001486577	Protomicarea alpestris	NHMSYS0021554144	YES
lichen	Lecidea commaculans	NBNSYS0000018656	Protomicarea commaculans	NHMSYS0021645745	YES
lichen	Lecidea exigua	NHMSYS0001486702	Traponora varians	NHMSYS0021645830	YES
lichen	Lecidea lichenicola	NBNSYS0000018684	Trapelia glebulosa s. str.	NHMSYS0020000048	YES
lichen	Lempholemma botryosum	NBNSYS0000018753	Synalissina botryosa	NHMSYS0021843276	YES
lichen	Lempholemma cladodes	NBNSYS0000018757	Synalissina cladodes	NHMSYS0021843286	YES
lichen	Lempholemma intricatum	NBNSYS0000018758	Synalissina intricata	NHMSYS0021843281	YES
lichen	Leprocaulon microscopicum	NHMSYS0001487394	Leprocaulon quisquiliare	NHMSYS0021554709	YES
lichen	Leptogium biatorinum	NBNSYS0000018768	Scytinium biatorinum	BMSSYS0000051048	YES
lichen	Leptogium byssinum	NBNSYS0000018772	Epiphloea byssina	NHMSYS0020990198	YES
lichen	Leptogium diffractum	NBNSYS0000018776	Pseudoleptogium diffractum	BMSSYS0000050196	YES
lichen	Leptogium gelatinosum	NHMSYS0001487425	Scytinium gelatinosum	BMSSYS0000051052	YES
lichen	Leptogium imbricatum	NHMSYS0001487427	Scytinium imbricatum	BMSSYS0000051053	YES
lichen	Leptogium intermedium	NBNSYS0000018784	Scytinium intermedium	BMSSYS0000051054	YES
lichen	Leptogium lichenoides	NBNSYS0000018782	Scytinium lichenoides	BMSSYS0000051055	YES
lichen	Leptogium massiliense	NBNSYS0000018783	Scytinium massiliense	BMSSYS0000051057	YES
lichen	Leptogium palmatum	NBNSYS0000150331	Scytinium palmatum	BMSSYS0000051058	YES
lichen	Leptogium plicatile	NBNSYS0000018786	Scytinium plicatile	BMSSYS0000051060	YES
lichen	Leptogium pulvinatum	NHMSYS0020535622	Scytinium pulvinatum	BMSSYS0000051061	YES
lichen	Leptogium schraderi	NBNSYS0000018788	Scytinium schraderi	BMSSYS0000534201	YES
lichen	Leptogium subtile	NHMSYS0001487441	Scytinium subtile	BMSSYS0000051063	YES
lichen	Leptogium subtorulosum	BMSSYS0000010340	Scytinium subtorulosum	BMSSYS0000534202	YES
lichen	Leptogium tenuissimum	NBNSYS0000018789	Scytinium tenuissimum	BMSSYS0000534203	YES
lichen	Leptogium teretiusculum	NHMSYS0001487442	Scytinium teretiusculum	BMSSYS0000051066	YES
lichen	Leptogium turgidum	NBNSYS0000018791	Scytinium turgidum	BMSSYS0000051067	YES
lichen	Lichenomphalia umbellifera	NHMSYS0001488367	Lichenomphalia ericetorum	NHMSYS0021797642	YES
lichen	Llimonaea sorediata	NHMSYS0020327873	Ingaderia vandenboomii	NHMSYS0021645555	YES
lichen	Lobaria amplissima	NBNSYS0000019310	Ricasolia amplissima	NHMSYS0001496455	YES
lichen	Lobaria scrobiculata	NBNSYS0000019312	Lobarina scrobiculata	BMSSYS0000010725	YES
lichen	Lobaria virens	NBNSYS0000019313	Ricasolia virens	BMSSYS0000534170	YES
lichen	Loxospora elatina	NHMSYS0001488586	Loxospora elatina s. lat.	NHMSYS0021843386	YES
lichen	Megaspora verrucosa	NBNSYS0000018855	Phlyctis agelaea	NHMSYS0001493251	YES
lichen	Melaspilea granitophila	NHMSYS0001489299	Arthonia granitophila	NHMSYS0001474948	YES
lichen	Micarea erratica	NHMSYS0001489449	Leimonis erratica	BMSSYS0000047272	YES
lichen	Micarea lynceola	NHMSYS0001489457	Leimonis lynceola	NHMSYS0021645585	YES
lichen	Micarea prasinella	NHMSYS0020535694	Micarea inopinula	NHMSYS0021553569	YES
lichen	Opegrapha atra	NBNSYS0000019199	Arthonia atra	NHMSYS0020989718	YES
lichen	Opegrapha calcarea	NBNSYS0000019201	Arthonia calcarea	BMSSYS0000533560	YES
lichen	Opegrapha corticola	NHMSYS0001491371	Thelopsis corticola	NHMSYS0021554554	YES
lichen	Opegrapha gyrocarpa	NBNSYS0000019207	Gyrographa gyrocarpa	BMSSYS0000045985	YES
lichen	Opegrapha herbarum	NBNSYS0000019208	Alyxoria culmigena	NHMSYS0020989700	YES
lichen	Opegrapha mougeotii	NHMSYS0001491388	Alyxoria mougeotii	BMSSYS0000042401	YES
lichen	Opegrapha ochrocheila	NBNSYS0000019216	Alyxoria ochrocheila	NHMSYS0020989703	YES
lichen	Opegrapha prosodea	NBNSYS0000019220	Zwackhia prosodea	NHMSYS0020991048	YES
lichen	Opegrapha saxigena	NBNSYS0000019227	Gyrographa saxigena	BMSSYS0000045986	YES
lichen	Opegrapha sorediifera	NHMSYS0001491416	Zwackhia sorediifera	BMSSYS0000052695	YES
lichen	Opegrapha subelevata	NBNSYS0000019229	Alyxoria subelevata	NHMSYS0020989704	YES
lichen	Opegrapha varia	NBNSYS0000019210	Alyxoria varia	NHMSYS0020989705	YES
lichen	Opegrapha viridipruinosa	NHMSYS0020990670	Alyxoria viridipruinosa	BMSSYS0000533552	YES
lichen	Opegrapha viridis	NBNSYS0000019232	Zwackhia viridis	BMSSYS0000534325	YES
lichen	Parmeliella triptophylla	NHMSYS0001491903	Parmeliella thriptophylla	NHMSYS0021645700	YES
lichen	Parmelinopsis horrescens	NBNSYS0000153257	Hypotrachyna horrescens	NHMSYS0020990291	YES
lichen	Parmelinopsis minarum	NHMSYS0001491907	Hypotrachyna minarum	NHMSYS0020990292	YES
lichen	Pertusaria albescens var. albescens	NHMSYS0001492275	Lepra albescens var. albescens	BMSSYS0000598520	YES
lichen	Pertusaria albescens var. corallina	NHMSYS0001492276	Lepra albescens var. corallina	BMSSYS0000598521	YES
lichen	Pertusaria amara f. amara	NHMSYS0001492278	Lepra amara	BMSSYS0000598522	YES
lichen	Pertusaria amara f. pulvinata	NBNSYS0000019410	Lepra pulvinata	BMSSYS0000598531	YES
lichen	Pertusaria aspergilla	BMSSYS0000013239	Lepra aspergilla	BMSSYS0000598523	YES
lichen	Pertusaria corallina	NBNSYS0000019387	Lepra corallina	BMSSYS0000598524	YES
lichen	Pertusaria dactylina	NBNSYS0000019389	Lepra dactylina	BMSSYS0000598525	YES
lichen	Pertusaria excludens	NBNSYS0000019391	Lepra excludens	BMSSYS0000598526	YES
lichen	Pertusaria melanochlora	NBNSYS0000019401	Lepra melanochlora	BMSSYS0000598527	YES
lichen	Pertusaria monogona	NBNSYS0000019402	Lepra monogona	BMSSYS0000598528	YES
lichen	Pertusaria multipuncta	NBNSYS0000019403	Lepra multipuncta	BMSSYS0000598529	YES
lichen	Pertusaria ophthalmiza	NBNSYS0000019405	Lepra ophthalmiza	BMSSYS0000598530	YES
lichen	Polysporina ferruginea	NHMSYS0001494551	Acarospora subfuscescens	NHMSYS0021576493	YES
lichen	Polysporina simplex	NHMSYS0001494552	Acarospora privigna	NHMSYS0021646075	YES
lichen	Porina chlorotica f. chlorotica	BMSSYS0000015229	Porina chlorotica f. chlorotica	NHMSYS0020990979	YES
lichen	Protoparmelia atriseda	NBNSYS0000018570	Miriquidica atriseda	NHMSYS0021645620	YES
lichen	Protoparmelia nephaea	NHMSYS0001494842	Miriquidica nephaea	NHMSYS0021645625	YES
lichen	Pseudocyphellaria aurata	NHMSYS0001495191	Crocodia aurata	BMSSYS0000044504	YES
lichen	Psorotichia schaereri	NBNSYS0000018972	Collemopsis schaereri	NHMSYS0021846614	YES
lichen	Pterygiopsis concordatula	NHMSYS0020535994	Forssellia concordatula	NHMSYS0021843211	YES
lichen	Pterygiopsis lacustris	NHMSYS0001495459	Thelignya lacustris	NHMSYS0021843291	YES
lichen	Pyrenopsis grumulifera	NBNSYS0000039735	Allopyrenis grumulifera	NHMSYS0021843201	YES
lichen	Pyrenopsis impolita	NHMSYS0001495906	Allopyrenis impolita	NHMSYS0021843206	YES
lichen	Ramonia chrysophaea	NHMSYS0001496084	Karstenia chrysophaea	NHMSYS0021797637	YES
lichen	Ramonia dictyospora	NBNSYS0000039740	Karstenia dictyospora	NHMSYS0021797612	YES
lichen	Ramonia interjecta	BMSSYS0000015988	Karstenia rhopaloides	BMSSYS0000046740	YES
lichen	Ramonia nigra	NBNSYS0000039741	Karstenia nigra	NHMSYS0021797617	YES
lichen	Rhizocarpon eupetraeoides	NHMSYS0001496261	Rhizocarpon atroalbescens	BMSSYS0000016199	YES
lichen	Rhizocarpon oederi	NHMSYS0001496284	Haugania oederi	NHMSYS0021797597	YES
lichen	Rinodina insularis	NHMSYS0020039057	Endohyalina insularis	NHMSYS0020990194	YES
lichen	Rinodina orculariopsis	NHMSYS0001496503	Rinodina sicula	NHMSYS0021761710	YES
lichen	Rinodina oxydata	NBNSYS0000019013	Mischoblastia oxydata	NHMSYS0021645630	YES
lichen	Staurothele hymenogonia	NHMSYS0001498853	Nesothele hymenogonia	NHMSYS0021645660	YES
lichen	Staurothele rugulosa	NBNSYS0000020643	Nesothele rugulosa	NHMSYS0021645665	YES
lichen	Staurothele succedens	NBNSYS0000020645	Nesothele succedens	NHMSYS0021645670	YES
lichen	Strigula confusa	NHMSYS0020105983	Swinscowia confusa	NHMSYS0021649035	YES
lichen	Strigula jamesii	NBNSYS0000019906	Swinscowia jamesii	NHMSYS0021649040	YES
lichen	Strigula muscicola	NHMSYS0020039060	Swinscowia muscicola	NHMSYS0021649045	YES
lichen	Strigula phaea	NHMSYS0001499161	Dichoporis phaea	NHMSYS0021647170	YES
lichen	Strigula stigmatella var. alpestris	NHMSYS0001499162	Swinscowia alpestris	NHMSYS0021649025	YES
lichen	Strigula stigmatella var. stigmatella	NHMSYS0001499163	Swinscowia stigmatella	NHMSYS0021649050	YES
lichen	Strigula tagananae	BMSSYS0000018126	Swinscowia tagananae	NHMSYS0021649055	YES
lichen	Strigula taylorii	NBNSYS0000019909	Dichoporis taylorii	NHMSYS0021647175	YES
lichen	Strigula thelopsidoides	NHMSYS0001499164	Swinscowia thelopsidoides	NHMSYS0021649060	YES
lichen	Teloschistes chrysophthalmus	NBNSYS0000020577	Teloschistes chrysophthalmos	NHMSYS0021646100	YES
lichen	Thelidium impressum	NBNSYS0000020652	Parabagliettoa impressa	NHMSYS0021645690	YES
lichen	Toninia aromatica	NHMSYS0001499835	Toniniopsis aromatica	BMSSYS0000731219	YES
lichen	Toninia coelestina	NHMSYS0001499838	Toniniopsis coelestina	BMSSYS0000731220	YES
lichen	Toninia diffracta	NHMSYS0001499839	Thalloidima diffractum	BMSSYS0000731213	YES
lichen	Toninia fusispora	NHMSYS0001499840	Toniniopsis fusispora	NHMSYS0021604907	YES
lichen	Toninia mesoidea	NBNSYS0000019096	Toniniopsis mesoidea	BMSSYS0000731221	YES
lichen	Toninia opuntioides	NBNSYS0000039802	Thalloidima opuntioides	BMSSYS0000731214	YES
lichen	Toninia physaroides	NBNSYS0000039801	Thalloidima physaroides	BMSSYS0000731215	YES
lichen	Toninia rosulata	NBNSYS0000039803	Thalloidima rosulatum	BMSSYS0000731216	YES
lichen	Toninia sedifolia	NBNSYS0000158101	Thalloidima sedifolium	BMSSYS0000731217	YES
lichen	Toninia squalescens	NHMSYS0001499843	Gilbertaria squalescens	NHMSYS0021645530	YES
lichen	Toninia verrucarioides	BMSSYS0000018654	Toniniopsis verrucarioides	BMSSYS0000731223	YES
lichen	Usnea cornuta	NHMSYS0001501160	Usnea cornuta s. lat.	NHMSYS0021646105	YES
lichen	Usnea fragilescens var. fragilescens	NHMSYS0001501169	Usnea fragilescens	NBNSYS0000019142	YES
lichen	Usnea fragilescens var. mollis	NHMSYS0001501170	Usnea fragilescens	NBNSYS0000019142	YES
lichen	Verrucaria baldensis	NHMSYS0001501536	Bagliettoa parmigera s. lat.	NHMSYS0021645960	YES
lichen	Verrucaria caerulea	NBNSYS0000020671	Verrucaria coerulea	BMSSYS0000290067	YES
lichen	Verrucaria calciseda	NHMSYS0000364470	Bagliettoa calciseda	NHMSYS0020989786	YES
lichen	Verrucaria cyanea	NBNSYS0000020675	Parabagliettoa cyanea	NHMSYS0020990693	YES
lichen	Verrucaria dufourii	NBNSYS0000020678	Parabagliettoa dufourii	NHMSYS0020990694	YES
lichen	Verrucaria latericola	NHMSYS0001501628	Verrucula latericola	NHMSYS0020991029	YES
lichen	Verrucaria mucosa	NBNSYS0000020696	Wahlenbergiella mucosa	NHMSYS0020991034	YES
lichen	Verrucaria parmigerella	NBNSYS0000039818	Bagliettoa parmigerella	NHMSYS0001475494	YES
lichen	Verrucaria pinguicula	NBNSYS0000020702	Parabagliettoa pinguicula	NHMSYS0021645695	YES
lichen	Verrucaria striatula	NBNSYS0000020708	Wahlenbergiella striatula	NHMSYS0020991035	YES
lichen	Vestergrenopsis elaeina	NBNSYS0000039820	Tingiopsidium elaeinum	BMSSYS0000534257	YES
lichen	Xanthoria candelaria s. str.	NHMSYS0020105998	Polycauliona candelaria s. str.	BMSSYS0000534105	YES
lichen	Xanthoria elegans	NHMSYS0001501921	Rusavskia elegans	BMSSYS0000534184	YES
lichen	Xanthoria fulva	NHMSYS0001501923	Xanthomendoza fulva	NHMSYS0001501912	YES
lichen	Xanthoria polycarpa	NHMSYS0000364560	Polycauliona polycarpa	BMSSYS0000534107	YES
lichen	Xanthoria ucrainica	BMSSYS0000019757	Polycauliona ucrainica	BMSSYS0000534108	YES
lichen	Xanthoria ulophyllodes	NBNSYS0000020583	Xanthomendoza ulophyllodes	NHMSYS0001501913	YES
liverwort	Cephaloziella massalongi	NHMSYS0000309602	Cephaloziella massalongoi	NBNSYS0100009936	YES
marine mammal	Cetacea	NHMSYS0000376171	Cetacea	NHMSYS0021036336	YES
millipede	Hylebainosoma nontronensis	NHMSYS0021118548	Maurieseuma nontronense	NHMSYS0021783500	YES
mollusc	Duvaucelia odhneri	NHMSYS0021457344	Candiella odhneri	NHMSYS0021738218	YES
mollusc	Mercuria anatina	NHMSYS0020755137	Mercuria tachoensis	NHMSYS0021666478	YES
mollusc	Simnia patula	NBNSYS0000177977	Xandarovula patula	NHMSYS0021055450	YES
moss	Atrichum undulatum	NBNSYS0000036148	Atrichum undulatum	NHMSYS0021600167	YES
moss	Dicranella varia	NBNSYS0000036213	Dicranella varia	NHMSYS0021635335	YES
moss	Fissidens bryoides s.l.	NHMSYS0021125871	Fissidens bryoides	NBNSYS0000036273	YES
moss	Oxystegus tenuirostris	NHMSYS0021239409	Chionoloma tenuirostre s.l.	NHMSYS0021769720	YES
slime mould	Lamproderma atrosporum	NBNSYS0000015190	Meriderma carestiae	BMSSYS0000047898	YES
spider (Araneae)	Mastigusa arietina	NBNSYS0000008850	Mastigusa diversa	NHMSYS0021813346	YES
spider (Araneae)	Mastigusa macrophthalma	NBNSYS0000008849	Mastigusa diversa	NHMSYS0021813346	YES
stonewort	Chara intermedia	NHMSYS0000457194	Chara papillosa	NHMSYS0000465483	YES
stonewort	Chara rudis	NHMSYS0000457210	Chara subspinosa	NHMSYS0021872482	YES
terrestrial mammal	Eptesicus serotinus	NHMSYS0000528008	Cnephaeus serotinus	NHMSYS0021949415	YES
