taxid	BAGS	OTU_ID	sharers
1	E	OTU_000002|OTU_000003|OTU_000006	|Klebsormidium flaccidum|
2	E	OTU_000003|OTU_000007	Klebsormidium sp.|
3	D	OTU_000008	
4	D	OTU_000005	
