taxid	BAGS	OTU_ID	sharers
40691	D	OTU_000013	
45384	D	OTU_000022	
51549	D	OTU_000018	
59663	D	OTU_000014	
195621	D	OTU_000016	
384849	D	OTU_000019	
384872	D	OTU_000015	
426095	D	OTU_000024	
448875	D	OTU_000023	
699827	D	OTU_000020	
2035446	D	OTU_000017	
2593981	D	OTU_000021	
