Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
25	Silba fumosa		Lonchaeidae	Diptera	1				saprophagous	cleptoparasite	open habitats; tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, shadiness >> light shade, woodland habitat				Silba		fumosa		Silba fumosa
26	Ammoecius brevis		Scarabaeidae	Coleoptera	32	CR(PE); NR	CR(PE); Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	coprophagous	open habitats	short sward & bare ground	dung & carrion >> dung, soil humidity >> dry	F111			Ammoecius		brevis		Ammoecius brevis
27	Onthophagus similis		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion >> dung				Onthophagus		similis		Onthophagus similis
28	Atheta aegra		Staphylinidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion, soil humidity >> variable humidity				Atheta		aegra		Atheta aegra
29	Atheta excelsa		Staphylinidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion, soil humidity >> variable humidity				Atheta		excelsa		Atheta excelsa
30	Atheta indubia		Staphylinidae	Coleoptera	1				coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion, habitats, soil humidity >> variable humidity				Atheta		indubia		Atheta indubia
31	Philonthus albipes		Staphylinidae	Coleoptera	1				coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion				Philonthus		albipes		Philonthus albipes
32	Platystethus arenarius		Staphylinidae	Coleoptera	1				coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion				Platystethus		arenarius		Platystethus arenarius
33	Lophosceles cinereiventris		Muscidae	Diptera					predator	coprophagous	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, shadiness >> heavy shade			Apiaceae, Plantae	Lophosceles		cinereiventris		Lophosceles cinereiventris
34	Lophosceles mutatus		Muscidae	Diptera					predator	coprophagous	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, shadiness >> heavy shade			Apiaceae, Plantae	Lophosceles		mutatus		Lophosceles mutatus
35	Morellia aenescens		Muscidae	Diptera					saprophagous	coprophagous	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, dung & carrion >> dung, shadiness >> light shade			Fagales, Phyllopertha horticola	Morellia		aenescens		Morellia aenescens
