organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000123118	NHMSYS0021843396	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Polycauliona	Polycauliona candelaria s. lat.		Species	Parmelia candelaria;Parmelia candelaria var. lychnea;Physcia lychnea;Physcia parietina var. lychnea;Polycauliona candelaria;Squamaria candelaria;Xanthoria candelaria;Xanthoria candelaria agg.;Xanthoria candelaria s. lat.;Xanthoria lychnea;Xanthoria lychnea var. perfusa		Y																																								
NBNORG0000125455	BMSSYS0000534105	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Polycauliona	Polycauliona candelaria s. str.	(L.) Fröden, Arup & Søchting	Species	Lecanora candelaria;Lichen candelarius;Massjukiella candelaria;Xanthoria candelaria s. str.		Y																										RedList_GB_post2001-LC														
NBNORG0000038357	NBNSYS0000185874	Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Polycirrus	Polycirrus n. sp.		Species					Y																																						
NBNORG0000031713	NBNSYS0000177374	Animalia	Porifera	Demospongiae	Hadromerida	Polymastiidae	Polymastia	Polymastia a		Species					Y																																						
NBNORG0000038373	NBNSYS0000185894	Animalia	Porifera	Demospongiae	Hadromerida	Polymastiidae	Polymastia	Polymastia b		Species					Y																																						
NBNORG0000096498	NHMSYS0020475576	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Polypedilum	Polypedilum (Other)		Species			Y	Y			Y																																				
NBNORG0000091404	NHMSYS0020063223	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Polypedilum	Polypedilum Pe 11	Langton	Species			Y	Y		Y	Y																																				
NBNORG0000050517	NHMSYS0021600187	Plantae	Bryophyta	Polytrichopsida	Polytrichales	Polytrichaceae	Polytrichum	Polytrichum commune s.str.	Hedw.	Species	Polytrichum commune var. commune		Y	Y			Y																																				
NBNORG0000134967	NHMSYS0021717233	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullariidae	Pomacea	Pomacea sp.		Species		Y		Y																																							
NBNORG0000106759	NHMSYS0020953703	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Porrhomma	Porrhomma sp. nov.		Species			Y																																								
NBNORG0000007879	NBNSYS0000003355	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Potentilla	Potentilla x		Species																																											
NBNORG0000075754	NHMSYS0001388920	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Potthastia	Potthastia Pe1	Langton & Visser 2003	Species			Y																																								
NBNORG0000052218	NHMSYS0000352675	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Potthastia	Potthastia Pe2	Langton	Species			Y																																								
NBNORG0000075755	NHMSYS0001388921	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Procladius	Procladius (Holotanypus) Pe4	Langton 1991	Species	Holotanypus Pe4;Procladius Pe4		Y																																								
NBNORG0000062454	NHMSYS0000551686	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Procladius	Procladius (Holotanypus) Type A	Fittkau & Murray	Species	Holotanypus Type A;Procladius Type A		Y																																								
NBNORG0000052219	NHMSYS0000352677	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Procladius	Procladius Pe2	Langton	Species			Y																																								
NBNORG0000132545	NHMSYS0021343089	Animalia	Arthropoda	Insecta	Diptera	Tachinidae		Prooppia	Townsend, 1926	Species	Prooppia stulta		Y																																								
NBNORG0000131867	NHMSYS0021293824	Animalia	Arthropoda	Arachnida	Trombidiformes	Eupodidae	Protereunetes	Protereunetes cf. boerneri	Thor, 1934	Species			Y																																								
NBNORG0000134012	NHMSYS0021595377	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Cephaloziellaceae		Protolophozia	(R.M.Schust.) Schljakov	Species	Protolophozia herzogiana		Y																																								
NBNORG0000038575	NBNSYS0000186140	Animalia	Mollusca	Solenogastres	Cavibelonia	Pruvotinidae	Pruvotina	Pruvotina sp.		Species					Y																																						
NBNORG0000096505	NHMSYS0020475583	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Psectrocladius	Psectrocladius (Other)		Species			Y	Y			Y																																				
NBNORG0000052221	NHMSYS0000352679	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Psectrocladius	Psectrocladius sp A		Species			Y																																								
NBNORG0000091497	NHMSYS0020102992	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Pseudevernia	Pseudevernia furfuracea s. str.	(L.) Zopf	Species	Pseudevernia furfuracea var. ceratea;Pseudevernia furfuracea var. furfuracea		Y																										RedList_GB_post2001-LC														
NBNORG0000038653	NBNSYS0000186272	Animalia	Annelida	Polychaeta	Sabellida	Fabriciidae	Pseudofabricia	Pseudofabricia sp.		Species					Y																																						
