TAXON_GROUP_NAME	TAXON_LIST_KEY	TAXON_LIST_VERSION_KEY	TAXON_LIST_ITEM_KEY	PARENT	TAXON_VERSION_KEY	PREFERRED_NAME	SORT_CODE	LST_ITM_CODE	TAXON_RANK_KEY	LONG_NAME	ITEM_NAME	AUTHORITY	ATTRIBUTE	LANGUAGE	NOTE	CHANGED_BY	CHANGED_DATE	DELETED_DATE
ribbon worm (Nemertea)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175826		NHMSYS0001909574	NHMSYS0021175826			NBNSYS0000000028	Species	Prostoma jenningsi	Gibson & Young, 1971		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171763		NBNSYS0000136926	NHMSYS0021171763			NBNSYS0000000022	Genus	Protanypus	Kieffer, 1906		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170868		NBNSYS0000027355	NHMSYS0021170868			NBNSYS0000000028	Species	Protanypus morio	(Zetterstedt, [1838])		la		NHMSYS0020970929	15/06/2017	
lichen	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179261		NHMSYS0001494797	NHMSYS0021179261			NBNSYS0000000022	Genus	Protoblastenia	(Zahlbr.) J. Steiner		la				
lichen	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179262		NBNSYS0000020575	NHMSYS0021179262			NBNSYS0000000028	Species	Protoblastenia rupestris	(Scop.) J. Steiner		la				
coelenterate (=cnidarian)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175827		NHMSYS0019997144	NHMSYS0021175827			NBNSYS0000000022	Genus	Protohydra	Greeff, 1869		la		NHMSYS0020970929	15/06/2017	
coelenterate (=cnidarian)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176879		NHMSYS0021053767	NHMSYS0021176879			NBNSYS0000000028	Species	Protohydra leuckarti	Greeff, 1870		la		NHMSYS0020970929	15/06/2017	
insect - stonefly (Plecoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176106		NHMSYS0020316289	NHMSYS0021176106			NBNSYS0000000022	Genus	Protonemura	Kempny, 1898		la		NHMSYS0020970929	15/06/2017	
insect - stonefly (Plecoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170604		NBNSYS0000022425	NHMSYS0021170604			NBNSYS0000000028	Species	Protonemura meyeri	(Pictet, 1841)		la		NHMSYS0020970929	15/06/2017	
insect - stonefly (Plecoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170605		NBNSYS0000022426	NHMSYS0021170605			NBNSYS0000000028	Species	Protonemura montana	Kimmins, 1941		la		NHMSYS0020970929	15/06/2017	
insect - stonefly (Plecoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170606		NBNSYS0000022427	NHMSYS0021170606			NBNSYS0000000028	Species	Protonemura praecox	(Morton, 1894)		la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176674		NHMSYS0020930850	NHMSYS0021176674			NBNSYS0000000022	Genus	Protzia	Piersig, 1896		la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173318		NBNSYS0100014818	NHMSYS0021173318			NBNSYS0000000023	Subgenus	Protzia (Calonyx)			la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173319		NBNSYS0100014819	NHMSYS0021173319			NBNSYS0000000023	Subgenus	Protzia (Protzia)			la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173320		NBNSYS0100014820	NHMSYS0021173320			NBNSYS0000000028	Species	Protzia eximia	(Protz)		la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173321		NBNSYS0100014821	NHMSYS0021173321			NBNSYS0000000028	Species	Protzia rotunda	Walter		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169587		NBNSYS0000004225	NHMSYS0021169587			NBNSYS0000000028	Species	Prunella vulgaris	L.		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175687		NHMSYS0001754529	NHMSYS0021175687			NBNSYS0000000029	Species hybrid	Prunella vulgaris x laciniata = P. x intermedia	Link		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179789		NHMSYS0000462080	NHMSYS0021179789			NBNSYS0000000022	Genus	Prunus	L.		la				
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179790		NBNSYS0000003419	NHMSYS0021179790			NBNSYS0000000028	Species	Prunus padus	L.		la				
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171764		NBNSYS0000136955	NHMSYS0021171764			NBNSYS0000000022	Genus	Psacadina	Enderlein, 1939		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170524		NBNSYS0000013007	NHMSYS0021170524			NBNSYS0000000028	Species	Psacadina verbekei	Rozkosný in Knutson Rozkosný & Berg, 1975		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170525		NBNSYS0000013008	NHMSYS0021170525			NBNSYS0000000028	Species	Psacadina vittigera	(Schiner, 1864)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170526		NBNSYS0000013009	NHMSYS0021170526			NBNSYS0000000028	Species	Psacadina zernyi	(Mayer, 1953)		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176432		NHMSYS0020703629	NHMSYS0021176432			NBNSYS0000000022	Genus	Psammoryctides	Hrabe, 1964		la		NHMSYS0020970929	15/06/2017	
