For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
marine mammal	Grampus griseus	(G. Cuvier, 1812)		NHMSYS0000080194	Bern-A2		CMS_A2,CMS_ASCOBANS		HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority	WACA-Sch5_sect9.4A,WACA-Sch5_sect9.5a		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Halichoerus grypus	(Fabricius, 1791)		NBNSYS0000005137	Bern-A3		CMS_A2		HabDir-A2*,HabDir-A5		RedList_Global_post2001-LC														W(NI)O-Sch5	HabReg-Sch4	ConsRegsNI-Sch3	
marine mammal	Hyperoodon ampullatus	(Forster, 1770)		NBNSYS0000005166	Bern-A3		CMS_A2,CMS_ASCOBANS		HabDir-A4	ECCITES-A	RedList_Global_post2001-DD								BAP-2007		Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Kogia breviceps	(de Blainville, 1838)		NHMSYS0000080198	Bern-A2,Bern-A3				HabDir-A4	ECCITES-A	RedList_Global_post2001-DD													WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Lagenodelphis hosei	Fraser, 1956		NHMSYS0000376810					HabDir-A4																	HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Lagenorhynchus acutus	(Gray, 1828)		NHMSYS0000080195	Bern-A2		CMS_A2,CMS_ASCOBANS		HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.4A,WACA-Sch5_sect9.5a		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Lagenorhynchus albirostris	(Gray, 1846)		NHMSYS0000080196	Bern-A2		CMS_A2,CMS_ASCOBANS		HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.4A,WACA-Sch5_sect9.5a		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Megaptera novaeangliae	(Borowski, 1781)		NBNSYS0000005159	Bern-A2		CMS_A1		HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007		Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority	WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Mesoplodon bidens	(Sowerby, 1804)		NBNSYS0000005168	Bern-A2				HabDir-A4	ECCITES-A	RedList_Global_post2001-DD								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List			WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Mesoplodon densirostris	(Blainville, 1817)		NHMSYS0000376912					HabDir-A4		RedList_Global_post2001-DD															HabReg-Sch2	ConsRegsNI-Sch2	
